"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","23.00","23.19","23.19","22.51","179.98K","1.50%"
"05/18/2023","22.66","22.80","23.35","22.33","83.24K","-0.31%"
"05/17/2023","22.73","23.00","23.10","22.40","287.09K","-1.52%"
"05/16/2023","23.08","23.20","23.20","22.40","383.33K","-1.28%"
"05/15/2023","23.38","23.50","23.85","23.25","2.15M","-0.17%"
"05/14/2023","23.42","21.01","23.80","21.00","2.42M","8.93%"
"05/11/2023","21.50","21.75","21.75","20.87","414.71K","0.09%"
"05/10/2023","21.48","21.97","22.20","21.25","154.87K","-1.24%"
"05/09/2023","21.75","22.25","22.55","21.75","1.18M","-1.05%"
"05/08/2023","21.98","21.20","21.98","21.20","1.02M","3.68%"
"05/07/2023","21.20","21.67","21.67","21.10","88.70K","-2.30%"
"05/03/2023","21.70","21.34","21.70","20.91","595.43K","1.69%"
"05/02/2023","21.34","21.08","21.47","20.80","347.65K","1.23%"
"05/01/2023","21.08","21.00","21.39","20.30","597.57K","0.43%"
"04/30/2023","20.99","21.99","22.50","20.91","1.38M","-3.27%"
"04/27/2023","21.70","20.86","21.94","20.60","396.50K","3.93%"
"04/26/2023","20.88","21.00","21.10","20.00","671.25K","-1.46%"
"04/19/2023","21.19","21.43","21.57","20.77","292.19K","-0.94%"
"04/18/2023","21.39","19.40","21.60","19.40","1.80M","9.97%"
"04/13/2023","19.45","19.00","19.60","18.75","853.49K","2.80%"
"04/12/2023","18.92","19.00","19.25","18.80","159.89K","-0.26%"
"04/11/2023","18.97","19.00","19.40","18.90","295.19K","1.34%"
"04/10/2023","18.72","19.00","19.23","18.65","1.20M","-0.11%"
"04/09/2023","18.74","19.13","19.13","18.50","328.83K","-2.14%"
"04/06/2023","19.15","19.50","19.78","18.80","457.65K","-1.90%"
"04/05/2023","19.52","20.10","20.25","19.31","582.73K","-2.40%"
"04/04/2023","20.00","19.47","20.08","19.18","1.25M","3.15%"
"04/03/2023","19.39","18.78","19.47","18.68","799.88K","3.52%"
"04/02/2023","18.73","18.45","18.90","18.40","645.11K","1.63%"
"03/30/2023","18.43","18.90","19.50","18.26","1.17M","-1.29%"
