"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","0.360","0.352","0.360","0.350","15.53M","2.27%"
"05/18/2023","0.352","0.352","0.354","0.346","12.77M","1.15%"
"05/17/2023","0.348","0.356","0.358","0.347","11.92M","-0.85%"
"05/16/2023","0.351","0.351","0.360","0.346","15.70M","0.29%"
"05/15/2023","0.350","0.365","0.366","0.349","12.47M","-3.85%"
"05/14/2023","0.364","0.363","0.367","0.357","7.54M","0.55%"
"05/11/2023","0.362","0.363","0.368","0.359","14.11M","-0.28%"
"05/10/2023","0.363","0.361","0.366","0.353","16.10M","0.55%"
"05/09/2023","0.361","0.379","0.379","0.360","23.24M","-3.73%"
"05/08/2023","0.375","0.380","0.382","0.369","24.03M","0.00%"
"05/07/2023","0.375","0.363","0.380","0.354","46.88M","4.46%"
"05/03/2023","0.359","0.343","0.371","0.341","69.40M","5.90%"
"05/02/2023","0.339","0.332","0.341","0.330","10.18M","2.73%"
"05/01/2023","0.330","0.342","0.344","0.327","12.67M","-2.94%"
"04/30/2023","0.340","0.343","0.351","0.339","17.14M","0.00%"
"04/27/2023","0.340","0.335","0.341","0.334","12.10M","1.49%"
"04/26/2023","0.335","0.339","0.339","0.330","15.74M","-0.30%"
"04/19/2023","0.336","0.335","0.339","0.333","6.83M","0.90%"
"04/18/2023","0.333","0.337","0.337","0.330","4.15M","0.00%"
"04/13/2023","0.333","0.334","0.340","0.332","9.12M","-0.60%"
"04/12/2023","0.335","0.343","0.344","0.334","9.78M","-1.18%"
"04/11/2023","0.339","0.343","0.344","0.336","13.60M","-0.59%"
"04/10/2023","0.341","0.338","0.343","0.332","8.83M","1.79%"
"04/09/2023","0.335","0.339","0.339","0.332","4.25M","-0.30%"
"04/06/2023","0.336","0.346","0.347","0.330","6.24M","-2.61%"
"04/05/2023","0.345","0.346","0.350","0.342","10.82M","0.29%"
"04/04/2023","0.344","0.336","0.345","0.335","12.40M","2.69%"
"04/03/2023","0.335","0.327","0.336","0.327","8.97M","3.08%"
"04/02/2023","0.325","0.323","0.330","0.320","4.74M","1.56%"
"03/30/2023","0.320","0.327","0.327","0.317","7.48M","-0.93%"
