"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","0.239","0.243","0.243","0.237","2.17M","-2.85%"
"05/18/2023","0.246","0.244","0.244","0.236","480.07K","0.00%"
"05/17/2023","0.246","0.240","0.245","0.239","537.83K","0.00%"
"05/16/2023","0.246","0.245","0.245","0.238","550.98K","0.00%"
"05/15/2023","0.246","0.246","0.246","0.244","585.77K","0.00%"
"05/14/2023","0.246","0.248","0.249","0.240","1.05M","0.00%"
"05/11/2023","0.246","0.248","0.248","0.241","1.35M","2.07%"
"05/10/2023","0.241","0.247","0.248","0.245","258.52K","0.00%"
"05/09/2023","0.241","0.247","0.248","0.245","779.83K","0.00%"
"05/08/2023","0.241","0.245","0.247","0.240","1.06M","0.00%"
"05/07/2023","0.241","0.244","0.244","0.236","609.35K","0.00%"
"05/03/2023","0.241","0.248","0.248","0.237","490.32K","0.00%"
"05/02/2023","0.241","0.240","0.248","0.240","160.15K","0.00%"
"05/01/2023","0.241","0.250","0.250","0.240","1.24M","-2.03%"
"04/30/2023","0.246","0.244","0.250","0.241","2.17M","2.50%"
"04/27/2023","0.240","0.240","0.244","0.240","680.67K","0.00%"
"04/26/2023","0.240","0.244","0.249","0.240","291.95K","0.00%"
"04/19/2023","0.240","0.240","0.243","0.239","346.45K","0.00%"
"04/18/2023","0.240","0.240","0.244","0.238","415.57K","0.00%"
"04/13/2023","0.240","0.241","0.244","0.239","415.96K","0.00%"
"04/12/2023","0.240","0.246","0.246","0.240","210.97K","0.00%"
"04/11/2023","0.240","0.246","0.246","0.239","894.68K","0.00%"
"04/10/2023","0.240","0.247","0.247","0.240","142.54K","0.00%"
"04/09/2023","0.240","0.239","0.249","0.239","1.66M","0.00%"
"04/06/2023","0.240","0.242","0.250","0.240","1.74M","0.00%"
"04/05/2023","0.240","0.247","0.249","0.245","1.20M","0.00%"
"04/04/2023","0.240","0.247","0.247","0.240","319.80K","0.00%"
"04/03/2023","0.240","0.240","0.249","0.237","426.15K","0.00%"
"04/02/2023","0.240","0.241","0.248","0.236","541.31K","0.00%"
"03/30/2023","0.240","0.250","0.250","0.237","2.24M","-0.83%"
"03/29/2023","0.242","0.248","0.250","0.240","502.10K","0.00%"
"03/28/2023","0.242","0.240","0.248","0.240","245.90K","0.00%"
"03/27/2023","0.242","0.252","0.253","0.241","709.09K","0.00%"
"03/26/2023","0.242","0.250","0.250","0.240","115.04K","0.00%"
"03/23/2023","0.242","0.243","0.244","0.230","398.83K","0.00%"
"03/22/2023","0.242","0.242","0.248","0.240","318.11K","0.00%"
"03/21/2023","0.242","0.248","0.248","0.241","292.97K","0.00%"
"03/20/2023","0.242","0.238","0.247","0.229","2.05M","1.26%"
"03/19/2023","0.239","0.249","0.249","0.226","494.78K","0.00%"
"03/16/2023","0.239","0.221","0.239","0.221","754.30K","0.00%"
"03/15/2023","0.239","0.250","0.260","0.219","1.25M","0.00%"
"03/14/2023","0.239","0.233","0.245","0.233","377.52K","0.00%"
"03/13/2023","0.239","0.250","0.252","0.232","2.29M","-8.08%"
"03/12/2023","0.260","0.270","0.270","0.250","957.62K","0.00%"
"03/09/2023","0.260","0.266","0.270","0.258","918.93K","0.00%"
"03/08/2023","0.260","0.261","0.269","0.255","1.60M","-3.70%"
"03/07/2023","0.270","0.270","0.275","0.264","717.82K","0.00%"
"03/06/2023","0.270","0.278","0.279","0.268","1.42M","-1.10%"
"03/05/2023","0.273","0.277","0.282","0.270","2.06M","-1.44%"
"03/02/2023","0.277","0.280","0.281","0.275","657.12K","0.00%"
"03/01/2023","0.277","0.271","0.280","0.270","2.21M","2.59%"
"02/28/2023","0.270","0.266","0.273","0.266","932.39K","0.00%"
"02/27/2023","0.270","0.272","0.279","0.267","1.90M","-1.82%"
"02/26/2023","0.275","0.279","0.280","0.273","4.52M","-4.84%"
"02/23/2023","0.289","0.288","0.288","0.279","817.37K","0.00%"
"02/22/2023","0.289","0.288","0.289","0.280","862.13K","0.00%"
"02/21/2023","0.289","0.287","0.287","0.278","371.75K","0.00%"
"02/20/2023","0.289","0.288","0.288","0.279","727.79K","0.00%"
"02/19/2023","0.289","0.282","0.293","0.282","351.71K","0.00%"
"02/16/2023","0.289","0.292","0.294","0.283","281.73K","0.00%"
"02/15/2023","0.289","0.280","0.292","0.280","1.67M","3.21%"
