"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","3.470","3.180","3.470","3.180","11.12M","9.46%"
"05/18/2023","3.170","3.230","3.270","3.140","4.60M","-1.25%"
"05/17/2023","3.210","3.150","3.330","3.150","8.64M","2.23%"
"05/16/2023","3.140","3.110","3.190","3.080","2.62M","0.64%"
"05/15/2023","3.120","3.210","3.230","3.070","2.47M","-3.41%"
"05/14/2023","3.230","3.230","3.230","3.110","1.72M","0.94%"
"05/11/2023","3.200","3.280","3.280","3.200","3.17M","-1.23%"
"05/10/2023","3.240","3.210","3.270","3.150","3.46M","0.93%"
"05/09/2023","3.210","3.360","3.400","3.200","5.00M","-3.02%"
"05/08/2023","3.310","3.200","3.350","3.200","5.32M","4.09%"
"05/07/2023","3.180","3.170","3.220","3.140","1.86M","0.00%"
"05/03/2023","3.180","3.200","3.250","3.160","2.60M","-0.93%"
"05/02/2023","3.210","3.240","3.300","3.160","2.60M","-1.23%"
"05/01/2023","3.250","3.320","3.350","3.160","4.12M","-2.40%"
"04/30/2023","3.330","3.400","3.510","3.290","5.76M","-1.48%"
"04/27/2023","3.380","3.320","3.420","3.320","3.75M","2.11%"
"04/26/2023","3.310","3.380","3.380","3.250","1.70M","-0.60%"
"04/19/2023","3.330","3.370","3.440","3.280","4.85M","0.00%"
"04/18/2023","3.330","3.280","3.370","3.250","2.56M","1.22%"
"04/13/2023","3.290","3.370","3.400","3.260","3.43M","-2.37%"
"04/12/2023","3.370","3.450","3.570","3.340","12.14M","-0.59%"
"04/11/2023","3.390","3.390","3.440","3.340","5.59M","0.30%"
"04/10/2023","3.380","3.430","3.460","3.330","7.26M","-0.59%"
"04/09/2023","3.400","3.170","3.410","3.160","11.24M","7.26%"
"04/06/2023","3.170","3.190","3.280","3.130","8.23M","-0.63%"
"04/05/2023","3.190","3.350","3.350","3.170","9.32M","-4.49%"
"04/04/2023","3.340","3.150","3.360","3.120","11.62M","8.44%"
"04/03/2023","3.080","3.080","3.160","3.020","8.88M","2.67%"
"04/02/2023","3.000","2.990","3.050","2.930","4.82M","2.39%"
"03/30/2023","2.930","3.060","3.170","2.880","13.55M","-3.30%"
"03/29/2023","3.030","2.700","3.030","2.670","12.18M","12.64%"
