"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","11.75","11.99","12.05","11.70","452.32K","-1.18%"
"05/18/2023","11.89","11.84","11.97","11.43","763.76K","1.62%"
"05/17/2023","11.70","12.00","12.14","11.68","716.88K","-2.50%"
"05/16/2023","12.00","12.24","12.30","11.68","1.38M","-2.20%"
"05/15/2023","12.27","11.33","12.30","11.22","3.92M","8.30%"
"05/14/2023","11.33","10.20","11.39","10.01","3.88M","11.08%"
"05/11/2023","10.20","9.95","10.20","9.87","737.20K","2.82%"
"05/10/2023","9.92","10.15","10.15","9.83","979.80K","-0.50%"
"05/09/2023","9.97","10.45","10.48","9.91","398.86K","-3.76%"
"05/08/2023","10.36","10.25","10.50","10.10","539.80K","0.48%"
"05/07/2023","10.31","10.40","10.40","10.02","266.79K","-1.81%"
"05/03/2023","10.50","10.50","10.50","10.15","514.10K","1.16%"
"05/02/2023","10.38","10.28","10.69","10.00","1.55M","0.97%"
"05/01/2023","10.28","10.30","10.31","10.10","666.06K","-0.19%"
"04/30/2023","10.30","10.19","10.45","10.10","917.56K","1.18%"
"04/27/2023","10.18","10.04","10.33","9.95","621.57K","1.90%"
"04/26/2023","9.99","9.98","10.09","9.82","1.06M","0.10%"
"04/19/2023","9.98","10.02","10.10","9.80","656.71K","-0.40%"
"04/18/2023","10.02","9.40","10.23","9.40","2.45M","6.71%"
"04/13/2023","9.39","9.35","9.40","9.22","626.28K","0.43%"
"04/12/2023","9.35","9.21","9.39","9.21","690.81K","1.41%"
"04/11/2023","9.22","9.25","9.39","9.19","422.29K","-0.22%"
"04/10/2023","9.24","9.25","9.35","9.20","553.37K","0.43%"
"04/09/2023","9.20","9.50","9.50","9.01","963.05K","-3.16%"
"04/06/2023","9.50","9.56","9.61","9.45","2.01M","-0.11%"
"04/05/2023","9.51","9.40","9.57","9.30","2.24M","2.26%"
"04/04/2023","9.30","8.95","9.39","8.95","1.64M","4.61%"
"04/03/2023","8.89","8.60","8.99","8.57","758.12K","4.10%"
"04/02/2023","8.54","8.50","8.65","8.50","426.68K","0.59%"
"03/30/2023","8.49","8.95","9.50","8.25","1.52M","0.24%"
"03/29/2023","8.47","8.26","8.51","8.21","1.23M","2.54%"
"03/28/2023","8.26","8.54","8.54","8.10","474.70K","-1.43%"
"03/27/2023","8.38","8.74","8.77","8.00","3.79M","-5.95%"
"03/26/2023","8.91","8.88","9.10","8.75","654.66K","-0.56%"
"03/23/2023","8.96","8.50","9.00","8.46","557.14K","5.41%"
"03/22/2023","8.50","8.70","8.83","8.50","980.13K","-1.85%"
"03/21/2023","8.66","8.73","8.80","8.55","581.27K","1.05%"
"03/20/2023","8.57","8.73","8.85","8.40","650.83K","-1.27%"
"03/19/2023","8.68","8.69","8.75","8.12","336.08K","3.70%"
"03/16/2023","8.37","7.85","8.76","7.80","531.16K","4.62%"
"03/15/2023","8.00","8.70","8.95","7.85","664.58K","-8.26%"
"03/14/2023","8.72","8.77","8.79","8.02","621.39K","2.83%"
"03/13/2023","8.48","9.48","9.50","8.11","1.13M","-8.52%"
"03/12/2023","9.27","9.80","9.90","9.12","433.48K","-6.36%"
"03/09/2023","9.90","9.93","9.93","9.71","478.12K","1.33%"
"03/08/2023","9.77","9.90","9.95","9.62","399.14K","-0.81%"
"03/07/2023","9.85","10.00","10.15","9.80","397.34K","-2.18%"
"03/06/2023","10.07","10.20","10.30","10.01","650.02K","-0.49%"
"03/05/2023","10.12","10.17","10.23","10.00","589.84K","0.00%"
"03/02/2023","10.12","10.55","10.56","9.96","1.75M","-2.69%"
"03/01/2023","10.40","10.31","10.52","10.31","859.65K","0.87%"
"02/28/2023","10.31","10.30","10.49","10.20","1.59M","1.08%"
"02/27/2023","10.20","10.03","10.40","10.03","865.41K","2.10%"
"02/26/2023","9.99","10.03","10.20","9.97","789.87K","-0.40%"
"02/23/2023","10.03","10.05","10.30","9.90","600.95K","1.01%"
"02/22/2023","9.93","10.37","10.44","9.86","444.75K","-4.24%"
"02/21/2023","10.37","10.30","10.46","10.10","562.10K","1.07%"
"02/20/2023","10.26","10.66","10.85","10.16","495.95K","-4.47%"
"02/19/2023","10.74","10.56","11.05","10.56","742.57K","-1.01%"
"02/16/2023","10.85","11.01","11.08","10.51","1.58M","-1.18%"
"02/15/2023","10.98","10.47","11.04","10.34","4.93M","6.40%"
"02/14/2023","10.32","9.94","10.40","9.85","1.98M","4.88%"
"02/13/2023","9.84","10.40","10.50","9.56","2.86M","-4.56%"
"02/12/2023","10.31","10.60","10.80","10.16","371.90K","-2.74%"
"02/09/2023","10.60","10.16","10.64","10.10","2.31M","5.05%"
"02/08/2023","10.09","10.00","10.47","9.84","811.90K","0.60%"
"02/07/2023","10.03","9.90","10.20","9.80","1.34M","2.87%"
"02/06/2023","9.75","9.95","10.04","9.75","1.34M","-1.12%"
"02/05/2023","9.86","9.80","10.08","9.11","838.85K","0.61%"
"02/02/2023","9.80","9.70","10.03","9.60","1.41M","1.24%"
"02/01/2023","9.68","9.83","10.28","9.62","1.51M","-1.33%"
"01/31/2023","9.81","10.61","10.78","8.80","1.11M","-7.28%"
"01/30/2023","10.58","10.70","11.50","10.50","4.00M","-0.56%"
"01/29/2023","10.64","10.25","10.78","10.20","3.93M","6.40%"
"01/25/2023","10.00","9.24","10.14","9.24","4.97M","9.05%"
"01/24/2023","9.17","9.08","9.24","8.99","2.49M","2.00%"
"01/23/2023","8.99","8.96","9.13","8.91","842.09K","0.56%"
"01/22/2023","8.94","9.00","9.21","8.91","175.87K","-0.45%"
"01/19/2023","8.98","9.00","9.28","8.90","987.06K","-0.22%"
"01/18/2023","9.00","9.32","9.47","8.96","971.42K","-3.64%"
"01/17/2023","9.34","9.56","9.58","9.31","826.00K","-1.27%"
"01/16/2023","9.46","9.33","9.63","9.30","818.21K","2.71%"
"01/15/2023","9.21","9.05","9.38","8.90","710.50K","2.11%"
"01/12/2023","9.02","9.15","9.49","8.81","927.14K","-2.49%"
"01/11/2023","9.25","9.21","10.00","9.01","1.29M","-1.91%"
"01/10/2023","9.43","9.90","9.98","9.22","961.43K","-3.78%"
"01/09/2023","9.80","9.51","10.10","9.50","1.31M","3.70%"
"01/05/2023","9.45","8.75","9.50","8.75","2.58M","8.00%"
"01/04/2023","8.75","8.80","9.10","8.31","3.58M","0.46%"
"01/03/2023","8.71","8.66","8.84","8.52","461.60K","1.28%"
"01/02/2023","8.60","8.55","8.68","8.47","200.86K","1.65%"
"12/29/2022","8.46","8.75","8.75","8.43","153.31K","-0.94%"
"12/28/2022","8.54","8.75","8.82","8.51","171.39K","0.47%"
"12/27/2022","8.50","8.70","8.85","8.49","755.57K","-2.30%"
"12/26/2022","8.70","8.50","8.73","8.40","197.79K","1.99%"
"12/25/2022","8.53","8.68","8.68","8.50","530.05K","-1.39%"
"12/22/2022","8.65","8.57","8.75","8.55","372.31K","1.17%"
"12/21/2022","8.55","8.44","8.70","8.31","185.97K","1.54%"
"12/20/2022","8.42","8.68","8.68","8.40","465.90K","-1.64%"
"12/19/2022","8.56","8.50","8.74","8.42","314.89K","0.71%"
"12/18/2022","8.50","8.65","8.79","8.39","289.23K","-1.51%"
"12/15/2022","8.63","8.85","8.99","8.60","795.11K","-2.38%"
"12/14/2022","8.84","9.00","9.07","8.70","1.92M","-1.12%"
"12/13/2022","8.94","8.51","9.03","8.51","1.36M","4.56%"
"12/12/2022","8.55","8.39","8.62","8.21","475.07K","3.26%"
"12/11/2022","8.28","8.70","8.70","8.21","474.78K","-3.72%"
"12/08/2022","8.60","8.66","8.80","8.35","540.81K","-0.69%"
"12/07/2022","8.66","8.60","8.99","8.60","1.71M","1.29%"
