"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","51.70","51.79","51.93","51.25","2.68M","1.17%"
"05/18/2023","51.10","52.50","52.73","51.10","9.82M","-2.67%"
"05/17/2023","52.50","52.00","52.89","51.75","5.74M","0.96%"
"05/16/2023","52.00","52.10","52.20","51.50","4.31M","0.00%"
"05/15/2023","52.00","52.40","53.00","51.81","7.06M","-0.29%"
"05/14/2023","52.15","51.99","52.28","50.70","3.43M","0.66%"
"05/11/2023","51.81","52.49","52.60","51.20","6.93M","-1.13%"
"05/10/2023","52.40","52.12","52.77","52.00","3.81M","0.58%"
"05/09/2023","52.10","53.40","54.05","51.50","8.17M","-2.07%"
"05/08/2023","53.20","53.00","53.21","52.80","1.92M","0.36%"
"05/07/2023","53.01","53.11","53.25","52.76","2.41M","-0.19%"
"05/03/2023","53.11","52.88","53.25","52.60","4.42M","0.68%"
"05/02/2023","52.75","52.90","53.15","52.56","3.68M","-0.47%"
"05/01/2023","53.00","53.70","53.75","52.60","4.71M","-1.51%"
"04/30/2023","53.81","53.95","55.26","53.15","4.73M","0.77%"
"04/27/2023","53.40","52.42","54.08","52.40","4.06M","1.91%"
"04/26/2023","52.40","53.71","53.90","52.15","8.69M","-2.24%"
"04/19/2023","53.60","54.60","54.80","53.31","3.19M","-1.83%"
"04/18/2023","54.60","53.72","55.00","53.55","5.16M","-6.67%"
"04/13/2023","58.50","51.60","58.50","51.10","5.63M","14.48%"
"04/12/2023","51.10","51.40","51.62","49.85","3.27M","-1.14%"
"04/11/2023","51.69","51.55","51.80","51.00","4.67M","0.37%"
"04/10/2023","51.50","51.99","51.99","51.25","2.93M","-0.39%"
"04/09/2023","51.70","51.55","52.00","51.21","730.77K","0.19%"
"04/06/2023","51.60","53.00","53.28","51.60","5.14M","-3.17%"
"04/05/2023","53.29","52.50","53.40","52.31","3.42M","1.50%"
"04/04/2023","52.50","52.50","52.96","52.11","4.63M","0.00%"
"04/03/2023","52.50","51.57","53.20","51.57","4.76M","1.94%"
"04/02/2023","51.50","51.39","51.85","50.90","1.25M","0.96%"
"03/30/2023","51.01","50.50","52.00","50.21","4.42M","2.22%"
"03/29/2023","49.90","49.37","50.17","49.10","4.37M","1.84%"
"03/28/2023","49.00","50.89","50.89","49.00","3.01M","-3.92%"
"03/27/2023","51.00","51.19","51.41","50.55","2.70M","-0.39%"
"03/26/2023","51.20","51.00","51.47","50.56","2.67M","0.41%"
"03/23/2023","50.99","49.77","50.99","49.12","2.99M","2.29%"
"03/22/2023","49.85","50.21","50.50","48.88","3.85M","0.71%"
"03/21/2023","49.50","49.80","50.90","49.26","6.71M","2.06%"
"03/20/2023","48.50","48.39","50.05","47.80","4.13M","1.04%"
"03/19/2023","48.00","48.96","48.96","47.32","4.57M","0.00%"
"03/16/2023","48.00","48.55","51.00","48.00","7.37M","-1.03%"
"03/15/2023","48.50","49.95","51.24","47.99","9.40M","-1.02%"
"03/14/2023","49.00","50.05","50.60","49.00","4.92M","-2.00%"
"03/13/2023","50.00","52.50","52.80","50.00","10.03M","-3.94%"
"03/12/2023","52.05","53.07","53.47","51.92","8.94M","-1.83%"
"03/09/2023","53.02","52.98","54.15","52.51","8.69M","0.06%"
"03/08/2023","52.99","52.05","53.25","52.00","6.20M","1.90%"
"03/07/2023","52.00","53.21","53.65","51.92","7.87M","-2.26%"
"03/06/2023","53.20","52.80","54.50","52.70","5.23M","1.03%"
"03/05/2023","52.66","53.02","53.60","52.02","2.83M","-0.32%"
"03/02/2023","52.83","54.16","54.69","52.79","10.54M","-2.44%"
"03/01/2023","54.15","53.70","54.20","53.05","4.85M","1.96%"
"02/28/2023","53.11","54.50","54.90","53.11","7.95M","-2.35%"
"02/27/2023","54.39","55.95","55.99","54.38","4.69M","-2.00%"
"02/26/2023","55.50","54.48","56.24","54.30","2.45M","1.30%"
"02/23/2023","54.79","53.10","54.79","52.91","4.33M","2.89%"
"02/22/2023","53.25","54.07","54.47","52.70","3.01M","-1.28%"
"02/21/2023","53.94","53.92","54.18","52.50","5.22M","1.39%"
"02/20/2023","53.20","55.20","55.80","52.65","6.23M","-3.59%"
"02/19/2023","55.18","55.49","55.95","55.01","1.27M","0.22%"
"02/16/2023","55.06","56.67","56.96","55.06","5.75M","-1.50%"
"02/15/2023","55.90","56.24","57.30","55.50","7.02M","-0.69%"
"02/14/2023","56.29","56.01","56.92","55.75","2.48M","0.50%"
"02/13/2023","56.01","56.89","57.50","55.00","12.91M","-0.34%"
"02/12/2023","56.20","55.99","57.79","54.90","5.18M","-4.73%"
"02/09/2023","58.99","55.75","59.00","55.75","8.54M","6.19%"
"02/08/2023","55.55","54.53","56.00","53.20","5.58M","1.91%"
"02/07/2023","54.51","54.00","55.05","53.51","6.34M","3.08%"
"02/06/2023","52.88","51.41","52.88","51.41","4.56M","3.06%"
"02/05/2023","51.31","50.65","52.20","48.60","3.46M","1.40%"
"02/02/2023","50.60","50.99","51.15","49.99","3.87M","1.00%"
"02/01/2023","50.10","49.80","51.50","49.75","5.26M","1.19%"
