"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","27.13","26.91","27.30","26.70","23.13K","1.23%"
"05/18/2023","26.80","26.89","27.00","26.70","21.09K","-0.48%"
"05/17/2023","26.93","27.27","27.27","26.88","35.26K","-0.77%"
"05/16/2023","27.14","27.70","27.70","26.80","59.03K","-1.27%"
"05/15/2023","27.49","27.70","28.09","27.41","64.44K","-1.12%"
"05/14/2023","27.80","28.00","28.24","27.40","49.22K","-0.71%"
"05/11/2023","28.00","27.90","28.38","27.73","48.12K","0.79%"
"05/10/2023","27.78","28.20","28.37","27.70","47.97K","-1.38%"
"05/09/2023","28.17","28.00","28.49","27.85","78.54K","0.90%"
"05/08/2023","27.92","27.80","28.46","27.63","50.17K","1.53%"
"05/07/2023","27.50","27.50","27.60","27.25","132.35K","0.07%"
"05/03/2023","27.48","27.34","27.50","27.34","72.60K","1.14%"
"05/02/2023","27.17","27.70","27.70","27.02","107.68K","-1.98%"
"05/01/2023","27.72","28.62","28.87","27.59","141.23K","-3.18%"
"04/30/2023","28.63","29.51","29.95","28.25","141.29K","-4.05%"
"04/27/2023","29.84","28.60","30.00","28.50","213.33K","4.89%"
"04/26/2023","28.45","28.15","28.55","28.14","63.78K","1.10%"
"04/19/2023","28.14","28.01","28.45","27.75","103.05K","0.50%"
"04/18/2023","28.00","27.12","28.00","27.02","254.88K","3.70%"
"04/13/2023","27.00","26.18","27.49","26.10","143.99K","3.33%"
"04/12/2023","26.13","25.98","26.22","25.72","63.16K","1.40%"
"04/11/2023","25.77","25.25","26.11","25.25","63.20K","2.02%"
"04/10/2023","25.26","25.20","25.39","25.08","63.32K","0.80%"
"04/09/2023","25.06","26.00","26.30","25.05","463.71K","-3.28%"
"04/06/2023","25.91","26.80","26.84","25.80","124.08K","-2.52%"
"04/05/2023","26.58","26.96","26.96","26.50","76.54K","-0.97%"
"04/04/2023","26.84","26.64","26.90","26.39","108.08K","-5.46%"
"04/03/2023","28.39","28.89","28.95","28.19","188.46K","-0.46%"
"04/02/2023","28.52","28.00","28.97","27.95","89.64K","2.04%"
"03/30/2023","27.95","27.84","28.50","27.25","47.11K","0.58%"
"03/29/2023","27.79","27.00","28.00","26.55","106.02K","3.31%"
"03/28/2023","26.90","27.45","27.45","26.80","96.22K","-1.93%"
"03/27/2023","27.43","27.10","27.49","26.80","46.62K","1.71%"
"03/26/2023","26.97","25.99","27.30","25.99","56.82K","4.82%"
"03/23/2023","25.73","25.35","25.99","25.31","54.84K","1.54%"
"03/22/2023","25.34","25.79","25.79","25.26","62.02K","-0.67%"
"03/21/2023","25.51","25.50","25.86","25.16","49.61K","1.84%"
"03/20/2023","25.05","25.00","25.21","24.56","136.52K","2.66%"
"03/19/2023","24.40","24.51","24.89","23.50","170.71K","1.67%"
"03/16/2023","24.00","22.70","24.29","22.50","60.59K","1.10%"
"03/15/2023","23.74","24.99","25.70","21.00","175.60K","-3.10%"
"03/14/2023","24.50","25.00","25.00","24.07","180.44K","-2.04%"
"03/13/2023","25.01","26.40","26.82","24.95","78.98K","-3.81%"
"03/12/2023","26.00","27.64","27.80","25.90","322.83K","-5.45%"
"03/09/2023","27.50","28.30","28.30","27.41","137.74K","-1.57%"
"03/08/2023","27.94","28.24","28.48","27.81","70.97K","-1.83%"
"03/07/2023","28.46","28.35","29.45","28.23","49.71K","-0.49%"
"03/06/2023","28.60","28.22","28.65","28.02","42.19K","2.07%"
"03/05/2023","28.02","28.00","28.19","27.95","41.96K","0.07%"
"03/02/2023","28.00","28.23","28.23","27.91","21.23K","0.07%"
"03/01/2023","27.98","27.75","28.50","27.75","33.72K","-0.11%"
"02/28/2023","28.01","28.00","28.10","27.53","32.82K","-0.14%"
"02/27/2023","28.05","28.00","28.09","27.84","76.40K","0.11%"
"02/26/2023","28.02","28.00","28.50","27.90","71.89K","-1.51%"
"02/23/2023","28.45","28.16","28.50","27.80","40.91K","0.85%"
"02/22/2023","28.21","28.35","28.72","28.15","14.78K","-0.56%"
"02/21/2023","28.37","28.01","28.55","27.95","14.67K","1.18%"
"02/20/2023","28.04","28.41","28.70","28.00","43.84K","-1.75%"
"02/19/2023","28.54","29.00","29.02","28.40","51.16K","-1.28%"
"02/16/2023","28.91","29.70","29.90","28.71","57.94K","-2.56%"
"02/15/2023","29.67","27.05","32.00","27.02","239.54K","9.69%"
"02/14/2023","27.05","26.55","27.27","26.25","61.79K","1.92%"
"02/13/2023","26.54","26.48","26.60","26.30","67.47K","0.68%"
"02/12/2023","26.36","26.69","26.70","26.26","20.06K","-0.60%"
"02/09/2023","26.52","26.26","26.69","26.26","36.46K","0.99%"
"02/08/2023","26.26","26.24","26.69","26.04","49.00K","0.08%"
"02/07/2023","26.24","26.50","26.60","26.06","21.01K","0.85%"
"02/06/2023","26.02","26.00","26.49","25.71","32.13K","2.16%"
"02/05/2023","25.47","26.70","26.81","25.00","63.66K","-4.86%"
"02/02/2023","26.77","27.00","27.35","26.55","38.49K","-1.73%"
"02/01/2023","27.24","27.50","27.50","26.61","30.07K","-0.33%"
"01/31/2023","27.33","27.33","27.70","27.21","78.39K","-0.04%"
"01/30/2023","27.34","27.90","27.95","27.30","66.03K","-1.51%"
"01/29/2023","27.76","26.80","27.95","26.60","171.39K","4.36%"
"01/25/2023","26.60","26.48","26.70","26.32","100.43K","0.87%"
"01/24/2023","26.37","26.49","26.60","26.25","35.41K","0.00%"
"01/23/2023","26.37","26.77","26.77","25.91","43.12K","1.03%"
"01/22/2023","26.10","26.81","26.82","25.02","121.54K","-2.25%"
"01/19/2023","26.70","26.83","26.86","26.53","62.43K","-0.04%"
"01/18/2023","26.71","26.76","26.88","26.70","44.47K","-0.19%"
"01/17/2023","26.76","26.91","26.97","26.70","40.20K","-0.56%"
"01/16/2023","26.91","27.00","27.00","26.71","66.95K","-0.22%"
"01/15/2023","26.97","26.90","27.09","26.70","48.04K","0.15%"
"01/12/2023","26.93","27.20","27.30","26.70","120.60K","-0.11%"
"01/11/2023","26.96","26.16","27.24","25.80","283.94K","3.06%"
"01/10/2023","26.16","26.79","26.94","25.90","133.73K","-2.21%"
"01/09/2023","26.75","27.30","27.30","26.51","102.61K","-1.00%"
"01/05/2023","27.02","27.10","27.43","26.40","167.07K","0.52%"
"01/04/2023","26.88","26.50","27.40","22.10","324.44K","1.32%"
"01/03/2023","26.53","25.81","26.60","25.81","64.58K","2.12%"
"01/02/2023","25.98","25.50","26.10","25.50","67.31K","1.88%"
"12/29/2022","25.50","25.20","25.52","25.10","125.80K","1.55%"
"12/28/2022","25.11","24.21","25.50","24.00","152.03K","4.10%"
"12/27/2022","24.12","23.43","24.40","23.40","140.13K","2.94%"
"12/26/2022","23.43","23.59","23.70","23.33","66.31K","-0.04%"
"12/25/2022","23.44","23.68","23.88","23.16","52.38K","-1.01%"
"12/22/2022","23.68","23.00","24.84","23.00","141.25K","2.96%"
"12/21/2022","23.00","24.00","24.05","22.27","219.57K","-4.41%"
"12/20/2022","24.06","24.91","24.98","24.00","236.76K","-3.41%"
"12/19/2022","24.91","25.92","26.18","24.30","156.47K","-3.90%"
"12/18/2022","25.92","27.22","27.25","21.95","376.47K","-4.85%"
"12/15/2022","27.24","27.46","27.83","26.71","240.47K","-0.40%"
"12/14/2022","27.35","26.72","27.89","26.58","168.05K","4.39%"
"12/13/2022","26.20","23.51","26.86","23.51","236.78K","11.68%"
"12/12/2022","23.46","23.24","23.63","23.01","106.40K","1.12%"
"12/11/2022","23.20","23.01","23.25","22.90","191.77K","1.40%"
"12/08/2022","22.88","22.97","23.25","22.62","176.99K","0.35%"
"12/07/2022","22.80","22.10","23.23","22.10","146.81K","3.31%"
"12/06/2022","22.07","22.40","22.60","21.61","121.57K","-1.52%"
"12/05/2022","22.41","22.00","22.50","22.00","241.62K","2.99%"
"12/04/2022","21.76","19.80","21.94","19.80","352.73K","11.48%"
"12/01/2022","19.52","18.64","19.60","18.41","139.61K","6.32%"
"11/30/2022","18.36","18.30","18.65","18.15","141.80K","0.88%"
"11/29/2022","18.20","17.85","18.39","17.85","221.28K","2.77%"
"11/28/2022","17.71","17.48","17.80","17.42","78.05K","1.37%"
"11/27/2022","17.47","17.42","17.55","17.42","63.04K","0.29%"
"11/24/2022","17.42","17.42","17.54","17.35","36.99K","-0.29%"
"11/23/2022","17.47","17.30","17.58","17.20","107.87K","1.04%"
"11/22/2022","17.29","17.31","17.45","17.27","80.31K","-0.63%"
"11/21/2022","17.40","17.21","17.46","17.21","33.23K","0.17%"
"11/20/2022","17.37","17.20","17.48","17.20","64.18K","2.36%"
"11/17/2022","16.97","16.77","17.04","16.77","150.12K","1.43%"
"11/16/2022","16.73","16.39","16.98","16.20","138.74K","3.08%"
