"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","17.37","17.75","17.75","17.35","13.21K","0.00%"
"05/18/2023","17.37","17.50","17.60","17.30","31.00K","-0.74%"
"05/17/2023","17.50","18.00","18.00","17.30","85.36K","-2.23%"
"05/16/2023","17.90","18.25","18.25","17.75","66.28K","-0.56%"
"05/15/2023","18.00","18.61","18.70","18.00","156.23K","-2.70%"
"05/14/2023","18.50","17.70","18.63","17.70","348.39K","3.01%"
"05/11/2023","17.96","17.21","17.99","17.00","194.22K","4.42%"
"05/10/2023","17.20","17.10","17.20","16.75","102.91K","0.82%"
"05/09/2023","17.06","17.18","17.25","16.90","118.22K","0.29%"
"05/08/2023","17.01","16.88","17.10","16.72","116.24K","2.10%"
"05/07/2023","16.66","17.00","17.38","16.27","134.24K","-2.23%"
"05/03/2023","17.04","17.33","17.55","16.90","343.44K","-1.62%"
"05/02/2023","17.32","17.55","17.78","17.21","101.52K","-1.31%"
"05/01/2023","17.55","18.00","18.18","17.40","214.50K","-2.61%"
"04/30/2023","18.02","18.16","18.50","17.92","188.30K","-0.77%"
"04/27/2023","18.16","17.84","18.30","17.82","178.83K","1.45%"
"04/26/2023","17.90","17.94","18.00","17.77","142.56K","0.73%"
"04/19/2023","17.77","18.00","18.25","17.70","353.62K","-0.11%"
"04/18/2023","17.79","19.19","19.19","17.47","1.66M","-8.49%"
"04/13/2023","19.44","19.11","19.50","19.11","46.30K","1.73%"
"04/12/2023","19.11","19.33","19.80","19.02","55.84K","-1.09%"
"04/11/2023","19.32","19.41","19.99","19.10","29.00K","0.10%"
"04/10/2023","19.30","19.20","19.50","19.00","70.23K","0.78%"
"04/09/2023","19.15","19.15","19.50","19.00","26.05K","0.63%"
"04/06/2023","19.03","19.00","19.15","18.82","25.39K","0.74%"
"04/05/2023","18.89","18.89","19.19","18.81","12.04K","0.00%"
"04/04/2023","18.89","18.90","19.15","18.75","53.83K","-0.05%"
"04/03/2023","18.90","18.72","19.00","18.72","35.91K","2.66%"
"04/02/2023","18.41","18.40","18.90","18.26","64.84K","0.38%"
"03/30/2023","18.34","19.00","19.18","18.00","86.61K","-3.01%"
"03/29/2023","18.91","19.00","19.00","18.62","28.66K","-0.47%"
"03/28/2023","19.00","18.90","19.37","18.40","37.08K","1.44%"
"03/27/2023","18.73","18.93","19.40","18.50","19.68K","-2.55%"
"03/26/2023","19.22","19.50","19.50","18.81","12.29K","0.00%"
"03/23/2023","19.22","19.01","19.70","19.00","11.67K","0.00%"
"03/22/2023","19.22","19.94","20.10","18.60","24.43K","-2.54%"
"03/21/2023","19.72","19.30","19.95","19.01","19.05K","3.95%"
"03/20/2023","18.97","18.64","19.44","18.64","26.55K","-0.32%"
"03/19/2023","19.03","19.25","19.49","18.50","55.28K","-1.55%"
"03/16/2023","19.33","19.30","20.00","16.52","199.58K","0.05%"
"03/15/2023","19.32","20.50","21.25","19.00","240.84K","-4.07%"
"03/14/2023","20.14","20.98","20.98","19.32","31.58K","-1.76%"
"03/13/2023","20.50","20.98","21.10","20.35","156.38K","-2.38%"
"03/12/2023","21.00","21.21","21.89","20.95","215.53K","-0.99%"
"03/09/2023","21.21","21.49","21.49","20.83","253.89K","1.00%"
"03/08/2023","21.00","21.00","21.48","20.28","44.24K","-0.76%"
"03/07/2023","21.16","21.63","21.85","21.00","31.52K","-2.17%"
"03/06/2023","21.63","21.00","21.70","20.86","294.98K","3.00%"
"03/05/2023","21.00","21.60","21.60","20.80","212.79K","-2.60%"
"03/02/2023","21.56","21.99","22.08","21.38","69.67K","-0.19%"
"03/01/2023","21.60","22.00","22.00","21.15","68.65K","-1.73%"
"02/28/2023","21.98","21.75","22.49","21.75","35.11K","-0.68%"
"02/27/2023","22.13","21.62","22.20","21.62","16.88K","0.68%"
"02/26/2023","21.98","21.99","22.10","21.50","67.82K","0.87%"
"02/23/2023","21.79","21.68","21.88","21.50","30.33K","1.30%"
"02/22/2023","21.51","21.50","21.94","21.01","41.80K","-0.55%"
"02/21/2023","21.63","21.81","21.97","21.21","37.84K","-0.41%"
"02/20/2023","21.72","22.00","22.20","20.01","45.51K","-1.32%"
"02/19/2023","22.01","22.02","22.29","21.95","57.28K","-0.05%"
"02/16/2023","22.02","22.20","22.34","22.00","59.75K","-0.77%"
"02/15/2023","22.19","21.66","22.30","21.50","110.91K","2.26%"
"02/14/2023","21.70","21.57","21.99","21.46","179.61K","0.65%"
"02/13/2023","21.56","21.25","21.97","21.25","204.52K","-0.09%"
"02/12/2023","21.58","21.50","21.98","21.11","36.52K","-0.09%"
"02/09/2023","21.60","21.95","21.95","21.01","59.06K","2.66%"
"02/08/2023","21.04","20.50","21.50","20.40","49.59K","1.94%"
"02/07/2023","20.64","20.50","20.92","20.32","55.18K","1.62%"
"02/06/2023","20.31","19.90","20.49","19.90","33.29K","1.60%"
"02/05/2023","19.99","20.50","20.50","18.45","105.06K","-2.39%"
"02/02/2023","20.48","20.97","20.97","20.23","78.72K","0.54%"
"02/01/2023","20.37","21.00","21.74","20.05","80.11K","-2.86%"
"01/31/2023","20.97","22.20","22.20","20.63","77.79K","-6.17%"
"01/30/2023","22.35","22.85","23.12","22.02","222.17K","-1.54%"
"01/29/2023","22.70","22.00","22.96","22.00","189.94K","4.90%"
"01/25/2023","21.64","21.59","22.59","21.00","403.91K","1.07%"
"01/24/2023","21.41","20.54","21.59","20.54","334.03K","3.28%"
"01/23/2023","20.73","21.25","21.60","20.06","328.48K","-1.05%"
"01/22/2023","20.95","19.19","21.39","19.11","656.92K","10.26%"
"01/19/2023","19.00","18.42","19.20","18.42","283.79K","2.10%"
"01/18/2023","18.61","18.30","18.99","18.24","276.05K","1.92%"
"01/17/2023","18.26","18.40","18.70","18.01","219.75K","-0.81%"
"01/16/2023","18.41","18.09","18.70","17.80","281.31K","3.31%"
"01/15/2023","17.82","17.80","18.00","17.54","100.02K","0.34%"
"01/12/2023","17.76","18.09","18.20","17.51","120.35K","-0.78%"
"01/11/2023","17.90","17.50","18.09","17.45","385.31K","1.30%"
"01/10/2023","17.67","17.90","17.90","17.45","259.90K","0.51%"
"01/09/2023","17.58","17.48","18.25","17.37","410.08K","0.80%"
"01/05/2023","17.44","17.79","17.79","17.25","384.07K","0.23%"
"01/04/2023","17.40","17.35","17.97","16.80","446.94K","0.93%"
"01/03/2023","17.24","17.30","17.60","17.10","116.77K","0.64%"
"01/02/2023","17.13","17.18","17.35","17.01","49.90K","0.65%"
"12/29/2022","17.02","17.00","17.27","17.00","54.17K","-0.29%"
"12/28/2022","17.07","17.08","17.40","16.87","106.27K","1.19%"
"12/27/2022","16.87","16.94","17.00","16.82","68.88K","-0.41%"
"12/26/2022","16.94","17.01","17.01","16.80","53.96K","0.83%"
"12/25/2022","16.80","17.00","17.20","16.77","113.50K","-1.70%"
"12/22/2022","17.09","17.13","17.44","17.00","184.97K","-0.47%"
"12/21/2022","17.17","17.27","17.35","17.01","49.71K","-0.46%"
"12/20/2022","17.25","17.37","17.38","17.15","153.42K","0.58%"
"12/19/2022","17.15","17.25","17.49","16.90","195.98K","0.00%"
"12/18/2022","17.15","17.44","17.44","17.05","281.18K","-0.17%"
"12/15/2022","17.18","17.30","17.67","17.15","359.33K","0.00%"
"12/14/2022","17.18","17.20","17.43","17.11","329.39K","0.12%"
"12/13/2022","17.16","17.20","17.50","17.07","1.98M","1.00%"
"12/12/2022","16.99","16.88","17.10","16.82","108.92K","1.01%"
"12/11/2022","16.82","16.90","17.85","16.70","399.19K","-0.12%"
"12/08/2022","16.84","16.81","18.00","16.55","559.84K","0.42%"
"12/07/2022","16.77","17.00","17.33","16.41","319.86K","-1.41%"
"12/06/2022","17.01","17.26","17.49","16.75","273.58K","-1.22%"
"12/05/2022","17.22","14.62","17.40","14.62","1.30M","18.35%"
"12/04/2022","14.55","14.00","14.70","14.00","848.19K","4.23%"
"12/01/2022","13.96","13.99","14.10","13.81","252.08K","0.79%"
"11/30/2022","13.85","13.60","14.15","13.55","752.12K","2.44%"
"11/29/2022","13.52","12.98","13.80","12.98","767.62K","4.73%"
"11/28/2022","12.91","12.86","13.07","12.81","726.07K","0.08%"
"11/27/2022","12.90","12.79","13.00","12.74","481.92K","1.26%"
"11/24/2022","12.74","12.49","12.88","12.24","486.09K","3.49%"
"11/23/2022","12.31","12.22","12.40","12.22","96.62K","-0.08%"
"11/22/2022","12.32","12.21","12.40","12.21","55.88K","0.16%"
"11/21/2022","12.30","12.45","12.50","12.24","125.13K","-0.73%"
"11/20/2022","12.39","12.48","12.50","12.32","92.23K","-0.16%"
"11/17/2022","12.41","12.20","12.49","12.00","354.57K","1.89%"
"11/16/2022","12.18","11.85","12.25","11.80","365.63K","3.31%"
"11/15/2022","11.79","11.80","11.95","11.70","198.16K","-0.08%"
"11/14/2022","11.80","11.63","11.89","11.63","126.81K","1.46%"
"11/13/2022","11.63","11.70","11.77","11.61","211.37K","0.00%"
"11/10/2022","11.63","11.45","11.69","11.35","165.45K","2.20%"
"11/09/2022","11.38","11.35","11.50","11.35","34.09K","-0.44%"
"11/08/2022","11.43","11.39","11.55","11.34","129.07K","1.06%"
"11/07/2022","11.31","11.25","11.42","11.25","105.50K","0.35%"
"11/06/2022","11.27","11.35","11.35","11.23","191.07K","0.00%"
"11/03/2022","11.27","11.30","11.30","11.21","102.66K","0.09%"
"11/02/2022","11.26","11.35","11.45","11.21","118.45K","-0.27%"
"11/01/2022","11.29","11.30","11.46","11.16","166.01K","0.53%"
"10/31/2022","11.23","11.35","11.35","11.05","115.65K","0.36%"
"10/30/2022","11.19","11.73","11.73","11.13","154.91K","-2.27%"
"10/27/2022","11.45","11.99","12.45","11.30","523.36K","-2.26%"
"10/26/2022","11.71","11.64","11.73","11.53","825.67K","2.19%"
"10/25/2022","11.46","11.41","11.48","11.29","318.91K","0.43%"
