"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","18.52","18.60","18.70","18.40","3.29M","-0.43%"
"05/18/2023","18.60","18.46","18.60","18.22","5.80M","1.09%"
"05/17/2023","18.40","18.95","19.00","18.32","11.94M","-2.85%"
"05/16/2023","18.94","18.79","18.96","18.42","12.63M","0.74%"
"05/15/2023","18.80","19.21","19.33","18.65","13.58M","-2.08%"
"05/14/2023","19.20","19.05","19.23","18.72","7.70M","1.32%"
"05/11/2023","18.95","19.29","19.45","18.92","12.80M","-1.76%"
"05/10/2023","19.29","18.51","19.47","18.40","20.35M","3.43%"
"05/09/2023","18.65","18.70","19.08","18.52","18.24M","0.38%"
"05/08/2023","18.58","18.00","18.64","17.93","9.45M","3.68%"
"05/07/2023","17.92","18.11","18.19","17.75","8.43M","-1.54%"
"05/03/2023","18.20","18.15","18.24","17.78","11.45M","1.00%"
"05/02/2023","18.02","18.02","18.15","17.71","7.36M","0.61%"
"05/01/2023","17.91","18.20","18.38","17.66","12.28M","-1.59%"
"04/30/2023","18.20","18.46","18.88","18.16","17.74M","-0.27%"
"04/27/2023","18.25","17.50","18.70","17.45","16.35M","5.31%"
"04/26/2023","17.33","17.63","17.68","17.33","5.50M","-1.42%"
"04/19/2023","17.58","17.80","17.90","17.39","10.24M","-0.11%"
"04/18/2023","17.60","17.05","17.70","16.92","11.68M","4.76%"
"04/13/2023","16.80","17.00","17.20","16.80","8.07M","-0.94%"
"04/12/2023","16.96","17.35","17.38","16.92","5.85M","-1.97%"
"04/11/2023","17.30","16.90","17.38","16.84","7.00M","2.85%"
"04/10/2023","16.82","16.97","17.09","16.73","5.11M","0.12%"
"04/09/2023","16.80","17.20","17.24","16.72","5.21M","-2.04%"
"04/06/2023","17.15","17.58","17.58","17.01","8.15M","-1.83%"
"04/05/2023","17.47","17.59","17.72","17.42","7.34M","-0.63%"
"04/04/2023","17.58","17.91","18.00","17.55","9.46M","-1.24%"
"04/03/2023","17.80","17.00","17.81","17.00","20.86M","5.33%"
"04/02/2023","16.90","16.75","17.00","16.73","3.96M","0.90%"
"03/30/2023","16.75","16.99","17.15","16.66","9.53M","-0.30%"
"03/29/2023","16.80","16.28","16.92","16.25","10.83M","3.58%"
"03/28/2023","16.22","16.51","16.70","15.82","10.38M","-1.70%"
"03/27/2023","16.50","17.18","17.20","16.50","38.60M","-2.94%"
"03/26/2023","17.00","16.58","17.14","16.50","12.34M","3.03%"
"03/23/2023","16.50","16.76","17.10","16.43","19.05M","-2.42%"
"03/22/2023","16.91","17.05","17.40","16.72","3.48M","-0.41%"
"03/21/2023","16.98","16.66","17.06","16.60","3.01M","3.54%"
"03/20/2023","16.40","15.95","16.78","15.70","4.64M","2.50%"
"03/19/2023","16.00","16.24","16.25","15.36","2.01M","0.00%"
"03/16/2023","16.00","15.80","16.90","15.50","3.21M","2.24%"
"03/15/2023","15.65","17.52","18.10","15.51","3.57M","-12.76%"
"03/14/2023","17.94","17.78","17.94","17.10","1.77M","0.79%"
"03/13/2023","17.80","18.99","18.99","16.50","6.52M","-4.35%"
"03/12/2023","18.61","19.71","19.72","18.61","2.82M","-5.58%"
"03/09/2023","19.71","19.28","19.95","19.20","2.99M","2.23%"
"03/08/2023","19.28","19.31","19.37","18.91","1.70M","-0.67%"
"03/07/2023","19.41","19.65","19.70","19.27","1.12M","-1.22%"
"03/06/2023","19.65","19.76","20.00","19.50","1.57M","0.20%"
"03/05/2023","19.61","19.92","20.10","19.52","2.65M","-1.51%"
"03/02/2023","19.91","20.48","20.48","19.86","3.60M","-2.35%"
"03/01/2023","20.39","20.32","20.57","20.00","4.26M","-1.26%"
"02/28/2023","20.65","20.25","20.65","19.80","6.90M","2.18%"
"02/27/2023","20.21","20.04","20.61","20.04","6.10M","1.86%"
"02/26/2023","19.84","19.55","20.10","19.46","3.98M","1.48%"
"02/23/2023","19.55","19.65","19.74","19.30","2.68M","-1.26%"
"02/22/2023","19.80","20.24","20.24","19.11","4.48M","-0.80%"
"02/21/2023","19.96","19.45","20.10","19.20","5.04M","2.62%"
"02/20/2023","19.45","20.45","20.58","19.30","4.83M","-4.14%"
"02/19/2023","20.29","21.05","21.20","20.20","2.66M","-2.97%"
"02/16/2023","20.91","20.75","21.34","20.70","10.53M","1.31%"
"02/15/2023","20.64","20.11","20.72","19.91","8.91M","3.20%"
"02/14/2023","20.00","19.98","20.50","19.91","11.60M","0.96%"
"02/13/2023","19.81","19.30","19.90","18.91","8.14M","2.54%"
"02/12/2023","19.32","19.26","19.63","18.93","4.19M","-0.67%"
"02/09/2023","19.45","18.01","19.47","17.91","8.11M","8.18%"
"02/08/2023","17.98","18.40","18.47","17.90","4.66M","-2.28%"
"02/07/2023","18.40","18.25","18.60","18.20","3.24M","1.66%"
"02/06/2023","18.10","18.40","18.47","17.90","2.11M","-0.98%"
"02/05/2023","18.28","18.25","18.35","17.52","3.06M","0.77%"
"02/02/2023","18.14","18.68","19.00","17.81","2.86M","-2.05%"
"02/01/2023","18.52","18.94","19.20","18.40","3.27M","-2.42%"
"01/31/2023","18.98","19.82","19.90","18.61","6.04M","-3.41%"
"01/30/2023","19.65","20.50","20.70","19.31","11.24M","-2.92%"
"01/29/2023","20.24","19.31","20.34","19.21","10.80M","5.31%"
"01/25/2023","19.22","19.38","19.80","19.16","11.05M","-0.10%"
"01/24/2023","19.24","18.50","19.35","18.20","16.25M","4.68%"
"01/23/2023","18.38","18.19","18.52","18.12","6.53M","1.83%"
"01/22/2023","18.05","17.90","18.30","17.84","4.30M","1.35%"
"01/19/2023","17.81","18.20","18.30","17.77","3.28M","-1.87%"
"01/18/2023","18.15","18.50","18.50","17.90","3.40M","-1.36%"
"01/17/2023","18.40","18.25","18.60","18.15","8.31M","1.66%"
"01/16/2023","18.10","17.56","18.25","17.56","7.08M","3.08%"
"01/15/2023","17.56","17.91","17.95","17.50","2.75M","-1.90%"
"01/12/2023","17.90","17.50","18.00","16.85","5.80M","3.47%"
"01/11/2023","17.30","17.80","18.47","17.11","14.10M","-2.26%"
"01/10/2023","17.70","18.90","19.00","17.70","9.89M","-6.35%"
"01/09/2023","18.90","19.40","19.63","18.60","7.93M","-2.07%"
"01/05/2023","19.30","18.62","19.34","18.60","5.90M","3.93%"
"01/04/2023","18.57","18.39","18.88","17.60","6.42M","2.03%"
"01/03/2023","18.20","18.07","18.49","18.07","3.09M","0.78%"
"01/02/2023","18.06","17.88","18.09","17.71","2.86M","1.01%"
"12/29/2022","17.88","17.90","18.09","17.69","1.13M","-0.11%"
"12/28/2022","17.90","17.90","18.05","17.72","1.05M","0.00%"
"12/27/2022","17.90","18.00","18.09","17.70","1.62M","-0.33%"
"12/26/2022","17.96","17.75","18.04","17.30","2.59M","1.93%"
"12/25/2022","17.62","17.10","17.70","16.83","1.94M","0.69%"
"12/22/2022","17.50","17.38","17.90","17.36","3.59M","0.81%"
"12/21/2022","17.36","17.51","17.60","17.16","2.65M","-0.69%"
"12/20/2022","17.48","18.40","18.40","17.43","14.57M","-4.11%"
"12/19/2022","18.23","18.15","18.23","17.52","4.14M","0.72%"
"12/18/2022","18.10","18.39","18.50","17.80","7.02M","-1.25%"
"12/15/2022","18.33","18.30","19.23","18.25","8.34M","0.88%"
"12/14/2022","18.17","18.49","18.73","18.10","4.39M","-1.25%"
"12/13/2022","18.40","18.02","18.74","18.02","12.83M","2.22%"
"12/12/2022","18.00","17.90","18.18","17.13","9.70M","0.45%"
"12/11/2022","17.92","17.70","18.68","17.70","8.60M","1.24%"
"12/08/2022","17.70","17.98","18.10","17.30","13.80M","-1.39%"
"12/07/2022","17.95","16.87","18.15","16.85","9.85M","6.78%"
"12/06/2022","16.81","16.14","16.95","15.90","8.84M","4.09%"
"12/05/2022","16.15","16.15","16.55","15.85","9.25M","0.31%"
"12/04/2022","16.10","15.59","16.56","15.56","4.41M","4.21%"
"12/01/2022","15.45","15.15","15.45","15.03","3.38M","2.32%"
"11/30/2022","15.10","14.30","15.10","14.30","20.56M","5.82%"
"11/29/2022","14.27","14.05","14.33","14.05","5.91M","1.28%"
"11/28/2022","14.09","14.31","14.31","13.93","6.99M","-1.26%"
"11/27/2022","14.27","14.10","14.37","14.09","7.85M","1.86%"
"11/24/2022","14.01","13.70","14.06","13.62","10.74M","2.41%"
"11/23/2022","13.68","13.64","13.86","13.61","5.28M","0.00%"
"11/22/2022","13.68","13.39","13.71","13.28","6.88M","2.17%"
"11/21/2022","13.39","13.59","13.59","13.30","7.44M","-0.89%"
"11/20/2022","13.51","13.51","13.62","13.37","3.43M","0.07%"
"11/17/2022","13.50","13.62","13.70","13.40","5.87M","-0.74%"
"11/16/2022","13.60","13.25","13.62","13.25","5.75M","2.64%"
"11/15/2022","13.25","13.54","13.58","13.17","3.79M","-1.56%"
"11/14/2022","13.46","13.75","13.75","13.25","5.85M","-1.46%"
"11/13/2022","13.66","13.60","13.85","13.60","3.25M","1.11%"
"11/10/2022","13.51","13.50","13.75","13.32","7.07M","0.07%"
"11/09/2022","13.50","13.27","13.50","13.00","4.77M","1.50%"
"11/08/2022","13.30","13.37","13.65","13.14","8.53M","0.76%"
"11/07/2022","13.20","13.15","13.24","12.99","2.30M","1.23%"
"11/06/2022","13.04","13.08","13.28","13.00","1.45M","-0.31%"
"11/03/2022","13.08","13.00","13.08","12.90","3.11M","0.62%"
"11/02/2022","13.00","13.30","13.32","12.95","2.96M","-2.40%"
"11/01/2022","13.32","13.40","13.50","13.25","3.94M","-0.60%"
"10/31/2022","13.40","12.84","13.40","12.70","9.58M","4.36%"
"10/30/2022","12.84","13.10","13.30","12.77","4.97M","-1.23%"
"10/27/2022","13.00","12.95","13.15","12.76","10.23M","3.83%"
"10/26/2022","12.52","12.40","12.70","12.39","5.50M","1.62%"
"10/25/2022","12.32","12.20","12.44","12.10","5.18M","0.82%"
"10/24/2022","12.22","12.30","12.38","12.14","3.72M","-0.41%"
"10/23/2022","12.27","12.44","12.50","12.23","2.49M","-0.81%"
