"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","0.4900","0.5000","0.5010","0.4800","622.65K","0.20%"
"05/18/2023","0.4890","0.4660","0.4970","0.4660","699.35K","2.73%"
"05/17/2023","0.4760","0.4800","0.4970","0.4660","639.54K","-0.21%"
"05/16/2023","0.4770","0.5000","0.5000","0.4700","1.37M","-2.45%"
"05/15/2023","0.4890","0.5050","0.5050","0.4800","1.08M","-2.98%"
"05/14/2023","0.5040","0.5080","0.5080","0.4850","1.28M","0.60%"
"05/11/2023","0.5010","0.5120","0.5150","0.4990","4.19M","-0.99%"
"05/10/2023","0.5060","0.5030","0.5130","0.4970","2.32M","-0.59%"
"05/09/2023","0.5090","0.5200","0.5250","0.5040","4.59M","-1.17%"
"05/08/2023","0.5150","0.4900","0.5200","0.4900","4.45M","3.21%"
"05/07/2023","0.4990","0.4800","0.5160","0.4650","2.32M","3.74%"
"05/03/2023","0.4810","0.4900","0.5020","0.4740","917.12K","-0.21%"
"05/02/2023","0.4820","0.4600","0.4930","0.4600","661.18K","0.63%"
"05/01/2023","0.4790","0.5030","0.5030","0.4550","1.33M","0.42%"
"04/30/2023","0.4770","0.4600","0.5100","0.4500","642.14K","5.07%"
"04/27/2023","0.4540","0.4570","0.4640","0.4450","341.74K","0.00%"
"04/26/2023","0.4540","0.4600","0.4600","0.4440","606.00K","0.00%"
"04/19/2023","0.4540","0.4520","0.4590","0.4450","166.53K","0.00%"
"04/18/2023","0.4540","0.4650","0.4650","0.4430","112.69K","0.00%"
"04/13/2023","0.4540","0.4650","0.4650","0.4500","918.25K","2.48%"
"04/12/2023","0.4430","0.4660","0.4680","0.4500","139.96K","0.00%"
"04/11/2023","0.4430","0.4600","0.4610","0.4450","211.51K","0.00%"
"04/10/2023","0.4430","0.4650","0.4650","0.4450","221.58K","0.00%"
"04/09/2023","0.4430","0.4530","0.4680","0.4500","299.71K","0.00%"
"04/06/2023","0.4430","0.4650","0.4700","0.4510","344.92K","0.00%"
"04/05/2023","0.4430","0.4600","0.4690","0.4510","462.40K","0.00%"
"04/04/2023","0.4430","0.4590","0.4650","0.4440","103.37K","0.00%"
"04/03/2023","0.4430","0.4450","0.4580","0.4450","459.23K","0.00%"
"04/02/2023","0.4430","0.4420","0.4580","0.4420","2.56K","0.00%"
"03/30/2023","0.4430","0.4600","0.4600","0.4400","21.99K","0.00%"
"03/29/2023","0.4430","0.4400","0.4600","0.4400","92.88K","0.00%"
"03/28/2023","0.4430","0.4320","0.4650","0.4320","333.18K","0.00%"
"03/27/2023","0.4430","0.4500","0.4690","0.4500","403.50K","0.00%"
"03/26/2023","0.4430","0.4460","0.4610","0.4460","302.04K","0.00%"
"03/22/2023","0.4430","0.4500","0.4610","0.4500","90.52K","0.00%"
"03/21/2023","0.4430","0.4700","0.4770","0.4560","156.92K","0.00%"
"03/20/2023","0.4430","0.4570","0.4770","0.4410","130.68K","0.00%"
"03/19/2023","0.4430","0.4580","0.4580","0.4320","125.70K","0.00%"
"03/16/2023","0.4430","0.4530","0.4540","0.4200","296.10K","0.00%"
"03/15/2023","0.4430","0.4800","0.4970","0.4120","1.19M","-7.52%"
"03/14/2023","0.4790","0.4610","0.4900","0.4600","496.70K","0.00%"
"03/13/2023","0.4790","0.4900","0.5100","0.4710","1.43M","-5.71%"
"03/12/2023","0.5080","0.5140","0.5140","0.4850","552.18K","0.00%"
"03/08/2023","0.5080","0.4850","0.5110","0.4850","1.56M","1.80%"
"03/07/2023","0.4990","0.5000","0.5130","0.4900","1.12M","-0.20%"
"03/06/2023","0.5000","0.4980","0.5100","0.4920","454.25K","0.00%"
"03/05/2023","0.5000","0.5110","0.5110","0.4820","1.15M","1.01%"
"03/02/2023","0.4950","0.5040","0.5140","0.4940","1.80M","0.20%"
"03/01/2023","0.4940","0.5100","0.5280","0.4930","1.75M","-2.76%"
"02/28/2023","0.5080","0.4700","0.5120","0.4600","6.73M","8.78%"
"02/27/2023","0.4670","0.4730","0.4730","0.4600","755.46K","1.52%"
"02/26/2023","0.4600","0.4600","0.4740","0.4600","610.78K","0.00%"
"02/23/2023","0.4600","0.4660","0.4660","0.4500","2.22M","-0.22%"
"02/22/2023","0.4610","0.4620","0.4670","0.4560","246.20K","0.00%"
"02/21/2023","0.4610","0.4670","0.4670","0.4530","692.81K","0.00%"
"02/20/2023","0.4610","0.4720","0.4720","0.4600","778.66K","-1.91%"
"02/19/2023","0.4700","0.4730","0.4790","0.4640","520.94K","0.00%"
"02/16/2023","0.4700","0.4750","0.4800","0.4690","1.43M","-1.05%"
"02/15/2023","0.4750","0.4750","0.4850","0.4700","809.82K","0.00%"
"02/14/2023","0.4750","0.4820","0.4850","0.4720","812.94K","-0.84%"
"02/13/2023","0.4790","0.4790","0.4900","0.4780","2.53M","1.05%"
"02/12/2023","0.4740","0.4750","0.4870","0.4720","1.08M","-3.27%"
"02/09/2023","0.4900","0.4870","0.4890","0.4760","65.23K","0.00%"
"02/08/2023","0.4900","0.4750","0.4890","0.4730","98.37K","0.00%"
"02/07/2023","0.4900","0.4880","0.4970","0.4750","444.62K","0.00%"
"02/06/2023","0.4900","0.4710","0.4990","0.4710","510.26K","0.00%"
"02/05/2023","0.4900","0.5020","0.5020","0.4670","533.93K","0.00%"
"02/02/2023","0.4900","0.4990","0.4990","0.4800","156.65K","0.00%"
"02/01/2023","0.4900","0.4920","0.4930","0.4740","1.58M","-0.61%"
"01/31/2023","0.4930","0.5180","0.5200","0.4910","778.87K","-3.14%"
"01/30/2023","0.5090","0.5170","0.5270","0.5070","1.16M","-2.86%"
"01/29/2023","0.5240","0.5240","0.5280","0.5180","478.34K","0.00%"
"01/25/2023","0.5240","0.5360","0.5390","0.5200","1.30M","0.38%"
"01/24/2023","0.5220","0.5230","0.5390","0.5200","1.13M","-0.38%"
"01/23/2023","0.5240","0.5300","0.5400","0.5230","871.35K","-1.50%"
"01/22/2023","0.5320","0.5400","0.5500","0.5320","868.30K","-0.75%"
"01/19/2023","0.5360","0.5280","0.5400","0.5210","725.00K","1.71%"
"01/18/2023","0.5270","0.5390","0.5500","0.5230","1.72M","-0.94%"
"01/17/2023","0.5320","0.5180","0.5400","0.5100","3.01M","3.10%"
"01/16/2023","0.5160","0.5200","0.5240","0.5050","2.07M","-0.77%"
"01/15/2023","0.5200","0.5270","0.5270","0.5120","2.04M","1.17%"
"01/12/2023","0.5140","0.5280","0.5290","0.5030","847.70K","0.19%"
"01/11/2023","0.5130","0.5280","0.5440","0.5110","1.10M","-1.54%"
"01/10/2023","0.5210","0.5230","0.5350","0.5170","962.44K","-1.70%"
"01/09/2023","0.5300","0.5490","0.5700","0.5270","1.17M","-1.67%"
"01/05/2023","0.5390","0.5440","0.5520","0.5340","1.91M","-0.92%"
"01/04/2023","0.5440","0.5400","0.5530","0.5150","4.23M","1.12%"
"01/03/2023","0.5380","0.5200","0.5440","0.5170","5.54M","4.67%"
"01/02/2023","0.5140","0.5060","0.5150","0.5050","955.14K","1.58%"
"12/29/2022","0.5060","0.5210","0.5210","0.5010","600.63K","-0.39%"
"12/28/2022","0.5080","0.5040","0.5140","0.5020","1.14M","0.59%"
"12/27/2022","0.5050","0.5170","0.5170","0.5000","661.78K","-0.79%"
"12/26/2022","0.5090","0.5100","0.5190","0.5010","1.47M","0.20%"
"12/25/2022","0.5080","0.5060","0.5080","0.4950","421.51K","0.00%"
"12/22/2022","0.5080","0.5100","0.5170","0.5080","1.12M","-0.78%"
"12/21/2022","0.5120","0.5300","0.5300","0.5020","2.75M","-2.10%"
"12/20/2022","0.5230","0.5200","0.5250","0.5080","1.56M","3.56%"
"12/19/2022","0.5050","0.5380","0.5380","0.5000","5.70M","-4.72%"
"12/18/2022","0.5300","0.5310","0.5400","0.5230","1.10M","-1.67%"
"12/15/2022","0.5390","0.5370","0.5600","0.5320","6.00M","0.19%"
"12/14/2022","0.5380","0.5430","0.5490","0.5350","3.79M","-0.19%"
"12/13/2022","0.5390","0.5150","0.5400","0.5130","7.16M","5.89%"
"12/12/2022","0.5090","0.5200","0.5200","0.5040","4.32M","-0.59%"
"12/11/2022","0.5120","0.5200","0.5250","0.5110","3.06M","-0.19%"
"12/08/2022","0.5130","0.5170","0.5200","0.5100","1.60M","-1.16%"
"12/07/2022","0.5190","0.5420","0.5420","0.5100","3.33M","0.00%"
"12/06/2022","0.5190","0.5300","0.5350","0.5150","1.82M","-2.81%"
"12/05/2022","0.5340","0.5360","0.5400","0.5320","1.12M","-0.74%"
"12/04/2022","0.5380","0.5500","0.5580","0.5300","1.83M","-1.65%"
"12/01/2022","0.5470","0.5430","0.5570","0.5390","1.72M","0.74%"
"11/30/2022","0.5430","0.5350","0.5450","0.5310","1.61M","1.69%"
"11/29/2022","0.5340","0.5500","0.5500","0.5300","1.57M","-0.93%"
"11/28/2022","0.5390","0.5430","0.5490","0.5320","1.41M","0.00%"
