"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2023","17.86","18.17","18.30","17.55","33.84K","-1.05%"
"05/18/2023","18.05","18.11","18.30","18.00","140.52K","-0.28%"
"05/17/2023","18.10","18.14","18.30","18.05","91.77K","0.00%"
"05/16/2023","18.10","18.10","18.15","17.82","247.35K","0.50%"
"05/15/2023","18.01","18.10","18.55","18.00","54.97K","-0.06%"
"05/14/2023","18.02","17.90","18.25","17.50","127.85K","0.22%"
"05/11/2023","17.98","17.93","18.10","17.75","166.18K","1.87%"
"05/10/2023","17.65","17.95","17.95","17.50","31.79K","-1.23%"
"05/09/2023","17.87","17.81","17.95","17.77","62.28K","0.51%"
"05/08/2023","17.78","17.56","17.94","17.52","1.40M","1.25%"
"05/07/2023","17.56","17.60","17.70","17.14","158.72K","-0.62%"
"05/03/2023","17.67","17.96","18.10","17.61","2.75M","-1.72%"
"05/02/2023","17.98","18.02","18.15","17.81","46.66K","-0.28%"
"05/01/2023","18.03","18.19","18.30","17.90","47.47K","-0.50%"
"04/30/2023","18.12","18.10","18.56","18.07","74.54K","0.17%"
"04/27/2023","18.09","17.90","18.25","17.90","409.99K","0.89%"
"04/26/2023","17.93","17.65","17.98","17.60","55.31K","1.87%"
"04/19/2023","17.60","17.55","17.94","17.52","82.42K","0.28%"
"04/18/2023","17.55","17.50","17.80","17.30","78.67K","0.29%"
"04/13/2023","17.50","17.64","17.64","17.43","238.13K","0.29%"
"04/12/2023","17.45","17.50","17.70","17.36","134.80K","1.16%"
"04/11/2023","17.25","17.37","17.90","17.07","71.17K","0.29%"
"04/10/2023","17.20","17.26","17.50","17.11","151.56K","-0.23%"
"04/09/2023","17.24","17.60","17.60","17.16","105.38K","-1.88%"
"04/06/2023","17.57","17.58","17.80","17.40","153.52K","-0.06%"
"04/05/2023","17.58","17.51","17.95","17.45","65.05K","0.46%"
"04/04/2023","17.50","17.60","17.65","17.33","22.50K","0.40%"
"04/03/2023","17.43","17.50","17.73","17.33","51.46K","-0.34%"
"04/02/2023","17.49","17.45","17.80","17.20","74.45K","1.75%"
"03/30/2023","17.19","17.40","17.45","17.05","22.85K","-0.98%"
"03/29/2023","17.36","17.10","17.50","17.03","44.84K","2.00%"
"03/28/2023","17.02","17.20","17.20","16.50","21.10K","-0.82%"
"03/27/2023","17.16","17.22","17.25","17.01","251.98K","-0.35%"
"03/26/2023","17.22","17.40","17.47","16.90","120.01K","0.12%"
"03/23/2023","17.20","17.48","17.48","17.20","35.05K","0.17%"
"03/22/2023","17.17","17.19","17.48","17.10","786.45K","1.24%"
"03/21/2023","16.96","17.00","17.24","16.90","12.92K","0.00%"
"03/20/2023","16.96","16.60","17.99","16.22","18.50K","3.73%"
"03/19/2023","16.35","17.00","17.00","16.00","20.24K","-2.79%"
"03/16/2023","16.82","17.01","17.32","16.50","25.39K","-1.00%"
"03/15/2023","16.99","18.50","18.56","16.71","66.51K","-7.36%"
"03/14/2023","18.34","18.86","18.86","17.50","31.99K","-3.83%"
"03/13/2023","19.07","19.01","19.50","19.00","71.88K","-1.60%"
"03/12/2023","19.38","19.85","19.99","19.02","48.26K","-1.72%"
"03/09/2023","19.72","19.81","19.89","19.56","37.81K","0.20%"
"03/08/2023","19.68","19.90","19.90","19.50","205.07K","-0.20%"
"03/07/2023","19.72","20.40","20.40","19.50","616.31K","-1.94%"
"03/06/2023","20.11","20.32","20.43","20.01","350.83K","-0.64%"
"03/05/2023","20.24","20.25","20.50","20.03","34.41K","0.05%"
"03/02/2023","20.23","20.69","20.75","20.12","41.13K","-1.70%"
"03/01/2023","20.58","20.59","20.86","20.51","222.79K","-0.05%"
"02/28/2023","20.59","20.90","20.90","20.50","420.64K","0.19%"
"02/27/2023","20.55","20.80","21.50","20.51","474.92K","-0.68%"
"02/26/2023","20.69","20.80","20.90","20.50","15.44K","0.44%"
"02/23/2023","20.60","20.92","20.92","20.50","7.49K","0.00%"
"02/22/2023","20.60","20.99","21.00","20.40","514.21K","-0.29%"
"02/21/2023","20.66","20.48","20.88","20.00","139.30K","0.73%"
"02/20/2023","20.51","21.01","21.01","20.45","141.97K","-0.58%"
"02/19/2023","20.63","21.51","21.80","20.50","56.16K","-3.64%"
"02/16/2023","21.41","21.22","21.80","21.22","566.84K","-1.25%"
"02/15/2023","21.68","20.70","21.94","20.44","822.26K","5.70%"
"02/14/2023","20.51","20.45","20.78","20.10","53.36K","1.13%"
"02/13/2023","20.28","20.49","20.49","19.81","50.32K","0.70%"
"02/12/2023","20.14","20.59","20.70","20.00","36.61K","-2.19%"
"02/09/2023","20.59","20.20","20.75","20.03","166.95K","2.13%"
"02/08/2023","20.16","20.10","20.88","19.51","249.87K","0.75%"
"02/07/2023","20.01","19.22","20.84","18.90","120.14K","6.15%"
"02/06/2023","18.85","19.00","19.35","18.70","66.17K","-0.79%"
"02/05/2023","19.00","19.49","19.49","18.95","144.65K","-0.31%"
"02/02/2023","19.06","19.90","19.90","19.00","132.94K","-1.45%"
"02/01/2023","19.34","20.47","20.60","18.50","97.69K","-2.77%"
"01/31/2023","19.89","20.54","20.54","19.60","58.32K","-1.92%"
"01/30/2023","20.28","20.87","21.33","20.25","246.73K","-1.65%"
"01/29/2023","20.62","20.69","20.80","20.32","210.87K","0.54%"
"01/25/2023","20.51","20.48","20.60","20.26","101.81K","0.59%"
"01/24/2023","20.39","20.20","20.67","20.20","175.83K","0.20%"
"01/23/2023","20.35","20.50","20.50","20.10","81.03K","-0.83%"
"01/22/2023","20.52","20.70","21.00","20.44","16.36K","-0.44%"
"01/19/2023","20.61","20.30","20.74","20.25","25.39K","-0.43%"
"01/18/2023","20.70","20.10","20.70","20.00","483.44K","3.04%"
"01/17/2023","20.09","19.00","20.30","19.00","320.01K","5.74%"
"01/16/2023","19.00","19.12","19.34","18.90","3.08M","0.00%"
"01/15/2023","19.00","19.26","19.54","18.90","180.54K","-1.35%"
"01/12/2023","19.26","18.75","19.50","18.46","345.68K","4.33%"
"01/11/2023","18.46","17.73","19.00","17.73","175.43K","3.71%"
