"Date","Price","Open","High","Low","Vol.","Change %"
"07/27/2023","46.52","47.01","47.05","46.50","546.84K","-1.04%"
"07/26/2023","47.01","47.30","47.39","47.01","385.39K","-0.30%"
"07/25/2023","47.15","47.20","47.69","47.12","842.85K","0.00%"
"07/24/2023","47.15","47.97","47.99","47.05","587.03K","-1.40%"
"07/19/2023","47.82","48.40","48.60","47.78","785.40K","-1.32%"
"07/18/2023","48.46","48.35","48.54","48.16","674.82K","0.31%"
"07/17/2023","48.31","48.50","48.64","47.71","1.03M","0.02%"
"07/16/2023","48.30","47.88","49.15","47.82","2.35M","1.64%"
"07/13/2023","47.52","46.80","47.78","46.70","2.12M","1.97%"
"07/12/2023","46.60","45.86","46.99","45.85","2.37M","1.70%"
"07/11/2023","45.82","44.77","45.90","44.45","2.35M","2.71%"
"07/10/2023","44.61","43.40","44.85","43.11","540.65K","2.76%"
"07/09/2023","43.41","44.55","44.99","43.40","522.98K","-2.56%"
"07/06/2023","44.55","45.47","45.98","44.51","749.75K","-2.02%"
"07/05/2023","45.47","45.00","45.88","45.00","610.68K","1.07%"
"07/04/2023","44.99","44.65","45.07","44.65","802.51K","0.99%"
"06/26/2023","44.55","44.00","44.55","43.91","423.18K","1.34%"
"06/25/2023","43.96","45.00","45.00","43.95","566.39K","-1.21%"
"06/22/2023","44.50","43.80","44.50","43.72","609.89K","1.81%"
"06/21/2023","43.71","45.00","45.09","43.70","1.33M","-2.78%"
"06/20/2023","44.96","45.30","45.60","44.94","780.56K","-0.64%"
"06/19/2023","45.25","45.26","45.94","45.09","1.54M","0.29%"
"06/18/2023","45.12","45.00","45.75","45.00","1.04M","0.49%"
"06/15/2023","44.90","45.70","45.80","44.90","1.36M","-1.97%"
"06/14/2023","45.80","46.85","46.96","45.51","2.14M","-1.55%"
"06/13/2023","46.52","45.00","47.67","44.95","7.42M","4.30%"
"06/12/2023","44.60","43.88","44.60","43.76","1.32M","2.43%"
"06/11/2023","43.54","43.20","44.14","43.16","2.20M","1.14%"
"06/08/2023","43.05","43.22","43.50","42.42","1.47M","0.12%"
"06/07/2023","43.00","43.70","43.95","43.00","5.34M","-0.69%"
"06/06/2023","43.30","43.32","44.44","43.02","2.88M","0.42%"
"06/05/2023","43.12","44.90","44.90","42.96","2.78M","-3.45%"
"06/04/2023","44.66","46.55","46.90","44.65","2.60M","-3.54%"
"06/01/2023","46.30","47.37","47.37","46.30","1.49M","-2.46%"
"05/31/2023","47.47","47.95","47.99","46.46","2.27M","-0.11%"
"05/30/2023","47.52","47.80","48.24","47.36","1.30M","0.36%"
"05/29/2023","47.35","47.79","47.98","46.90","560.86K","0.47%"
"05/28/2023","47.13","48.00","48.85","47.12","648.16K","-1.65%"
"05/25/2023","47.92","48.39","48.79","47.72","512.39K","-0.17%"
"05/24/2023","48.00","47.66","48.29","47.49","615.43K","1.20%"
"05/23/2023","47.43","48.02","48.02","46.65","667.77K","-1.04%"
"05/22/2023","47.93","48.80","49.42","47.85","357.79K","-1.94%"
"05/21/2023","48.88","48.50","49.35","48.01","133.38K","1.03%"
"05/18/2023","48.38","48.99","48.99","47.70","428.28K","-0.86%"
"05/17/2023","48.80","49.80","50.00","48.70","442.78K","-1.71%"
"05/16/2023","49.65","50.99","50.99","49.00","813.46K","-2.51%"
"05/15/2023","50.93","52.15","52.30","50.75","801.02K","-2.34%"
"05/14/2023","52.15","52.50","52.60","51.80","430.67K","0.10%"
"05/11/2023","52.10","52.15","53.20","51.67","551.15K","0.00%"
"05/10/2023","52.10","50.00","52.50","49.92","954.02K","4.16%"
"05/09/2023","50.02","52.51","52.85","49.90","1.00M","-4.72%"
"05/08/2023","52.50","48.00","52.60","47.63","1.64M","9.38%"
"05/07/2023","48.00","48.50","48.50","47.30","316.91K","-0.56%"
"05/03/2023","48.27","48.11","49.00","47.80","647.15K","-0.29%"
"05/02/2023","48.41","47.37","48.50","46.50","1.04M","2.20%"
"05/01/2023","47.37","49.50","49.50","47.02","693.20K","-4.71%"
"04/30/2023","49.71","50.62","50.89","49.20","823.47K","-1.35%"
"04/27/2023","50.39","50.51","50.99","49.50","1.32M","0.80%"
"04/26/2023","49.99","48.50","49.99","48.39","1.00M","3.22%"
"04/19/2023","48.43","48.71","49.44","48.23","520.65K","-0.60%"
"04/18/2023","48.72","46.60","49.48","46.30","1.09M","6.19%"
"04/13/2023","45.88","45.00","46.39","44.80","535.49K","2.41%"
"04/12/2023","44.80","45.50","45.90","44.70","821.34K","-1.39%"
"04/11/2023","45.43","44.39","45.97","44.11","841.15K","3.04%"
"04/10/2023","44.09","43.71","44.58","43.64","647.62K","0.94%"
"04/09/2023","43.68","44.81","44.98","43.66","709.69K","-2.52%"
"04/06/2023","44.81","46.18","46.20","44.80","1.07M","-2.97%"
"04/05/2023","46.18","46.80","46.80","46.00","579.85K","-1.47%"
"04/04/2023","46.87","47.53","47.60","45.88","1.23M","-1.37%"
"04/03/2023","47.52","44.66","51.00","44.66","1.79M","6.79%"
"04/02/2023","44.50","43.90","44.69","43.70","848.55K","1.57%"
"03/30/2023","43.81","43.30","44.37","42.44","2.04M","1.48%"
"03/29/2023","43.17","40.90","43.29","40.80","2.53M","5.94%"
"03/28/2023","40.75","41.00","41.19","40.48","1.41M","-0.49%"
"03/27/2023","40.95","41.04","41.40","40.60","1.79M","-0.12%"
"03/26/2023","41.00","40.00","41.70","40.00","2.57M","2.65%"
"03/23/2023","39.94","39.61","40.28","39.61","1.27M","0.71%"
"03/22/2023","39.66","39.80","40.24","39.61","1.09M","-0.38%"
"03/21/2023","39.81","39.80","40.25","39.72","2.21M","1.14%"
"03/20/2023","39.36","39.39","40.48","38.90","1.02M","-0.18%"
"03/19/2023","39.43","39.40","39.58","37.50","464.60K","0.08%"
"03/16/2023","39.40","37.01","39.40","37.00","938.48K","-0.51%"
"03/15/2023","39.60","39.85","40.50","36.07","1.21M","-0.50%"
"03/14/2023","39.80","39.12","39.90","38.00","942.87K","1.53%"
"03/13/2023","39.20","40.00","40.20","37.93","4.56M","-2.00%"
"03/12/2023","40.00","41.00","41.00","39.92","2.99M","-2.44%"
"03/09/2023","41.00","39.95","41.36","39.90","2.57M","2.73%"
"03/08/2023","39.91","40.18","40.38","39.71","2.49M","-0.60%"
"03/07/2023","40.15","41.05","41.15","40.15","2.29M","-2.05%"
"03/06/2023","40.99","41.05","41.49","40.70","1.21M","-0.24%"
"03/05/2023","41.09","41.00","41.20","40.65","454.61K","0.29%"
"03/02/2023","40.97","41.09","41.29","40.76","851.10K","0.15%"
"03/01/2023","40.91","41.75","41.88","40.91","1.12M","-1.89%"
"02/28/2023","41.70","41.70","41.94","41.35","1.57M","0.39%"
"02/27/2023","41.54","41.99","42.18","41.30","1.06M","-0.69%"
"02/26/2023","41.83","40.88","41.95","40.53","1.14M","2.47%"
"02/23/2023","40.82","40.61","41.05","39.90","708.69K","-0.44%"
"02/22/2023","41.00","41.72","42.00","40.20","1.40M","-1.44%"
"02/21/2023","41.60","40.75","41.60","39.86","1.26M","1.02%"
"02/20/2023","41.18","41.80","41.97","40.00","1.27M","-1.48%"
"02/19/2023","41.80","42.43","42.68","41.72","584.79K","-0.71%"
"02/16/2023","42.10","41.80","42.65","41.80","2.40M","1.13%"
"02/15/2023","41.63","41.40","42.49","41.40","1.57M","0.63%"
"02/14/2023","41.37","41.40","41.62","41.30","765.11K","0.24%"
"02/13/2023","41.27","41.55","41.90","40.88","593.33K","-0.31%"
"02/12/2023","41.40","41.92","42.19","41.32","1.00M","-1.43%"
"02/09/2023","42.00","41.18","42.29","41.06","2.94M","2.19%"
"02/08/2023","41.10","40.30","41.39","39.52","1.93M","2.14%"
"02/07/2023","40.24","40.35","40.75","39.90","2.22M","0.60%"
"02/06/2023","40.00","40.80","41.35","39.81","1.55M","-1.91%"
"02/05/2023","40.78","41.77","41.77","39.25","2.09M","-2.67%"
"02/02/2023","41.90","42.50","42.62","41.14","1.15M","-1.04%"
"02/01/2023","42.34","42.90","42.90","41.72","594.47K","-1.49%"
"01/31/2023","42.98","43.05","43.10","41.80","1.19M","-0.12%"
"01/30/2023","43.03","43.63","44.25","42.71","2.92M","-0.55%"
"01/29/2023","43.27","43.50","43.69","43.12","2.04M","0.49%"
"01/25/2023","43.06","43.00","43.47","42.75","1.75M","0.73%"
"01/24/2023","42.75","43.10","43.89","42.22","1.86M","-0.58%"
"01/23/2023","43.00","43.38","43.44","42.33","1.10M","-0.72%"
"01/22/2023","43.31","43.50","44.25","43.10","501.52K","-1.12%"
"01/19/2023","43.80","43.77","43.98","42.22","1.63M","0.02%"
"01/18/2023","43.79","44.25","44.35","42.06","2.99M","-0.95%"
"01/17/2023","44.21","45.15","45.44","44.00","701.20K","-1.97%"
"01/16/2023","45.10","45.11","45.77","44.95","525.77K","0.20%"
"01/15/2023","45.01","45.17","45.60","44.62","700.21K","0.02%"
"01/12/2023","45.00","46.05","46.35","43.21","3.49M","-2.17%"
"01/11/2023","46.00","44.30","46.77","43.50","2.98M","3.86%"
"01/10/2023","44.29","45.08","45.25","43.50","1.29M","-1.80%"
"01/09/2023","45.10","45.71","45.88","44.81","1.44M","-0.22%"
"01/05/2023","45.20","45.20","47.99","45.00","1.49M","0.33%"
"01/04/2023","45.05","41.10","45.80","38.50","2.73M","9.58%"
