"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2023","4.400","3.950","4.400","3.950","2.42M","10.55%"
"08/02/2023","3.980","4.250","4.270","3.400","289.17K","-5.46%"
"08/01/2023","4.210","4.150","4.360","4.150","789.41K","1.94%"
"07/31/2023","4.130","3.960","4.150","3.950","323.47K","4.03%"
"07/30/2023","3.970","4.000","4.000","3.940","146.26K","-0.75%"
"07/27/2023","4.000","4.000","4.040","3.920","71.46K","0.00%"
"07/26/2023","4.000","4.010","4.060","3.930","225.89K","-0.25%"
"07/25/2023","4.010","3.990","4.050","3.940","273.13K","1.01%"
"07/24/2023","3.970","3.940","4.000","3.900","95.64K","1.53%"
"07/19/2023","3.910","3.950","3.960","3.910","145.13K","-1.01%"
"07/18/2023","3.950","4.000","4.000","3.940","66.29K","0.00%"
"07/17/2023","3.950","3.980","4.000","3.940","164.49K","-0.25%"
"07/16/2023","3.960","4.000","4.060","3.930","151.97K","-1.25%"
"07/13/2023","4.010","3.980","4.090","3.980","204.81K","1.26%"
"07/12/2023","3.960","4.000","4.030","3.950","439.66K","-1.00%"
"07/11/2023","4.000","4.000","4.000","3.950","78.82K","0.00%"
"07/10/2023","4.000","3.900","4.050","3.850","1.15M","0.00%"
"07/09/2023","4.000","4.000","4.090","3.910","224.52K","-0.99%"
"07/06/2023","4.040","4.050","4.100","4.000","336.65K","-1.22%"
"07/05/2023","4.090","4.160","4.190","4.040","199.69K","-0.73%"
"07/04/2023","4.120","4.240","4.240","4.100","200.29K","-2.37%"
"06/26/2023","4.220","3.920","4.250","3.920","487.54K","6.03%"
"06/25/2023","3.980","4.100","4.100","3.920","919.77K","-2.45%"
"06/22/2023","4.080","4.140","4.190","4.050","265.02K","-1.92%"
"06/21/2023","4.160","4.260","4.280","4.070","210.54K","-0.72%"
"06/20/2023","4.190","4.240","4.250","4.150","211.54K","0.24%"
"06/19/2023","4.180","4.170","4.200","4.150","441.30K","-0.24%"
"06/18/2023","4.190","4.200","4.280","4.150","178.49K","-0.48%"
"06/15/2023","4.210","4.250","4.290","4.200","188.58K","-0.47%"
"06/14/2023","4.230","4.310","4.320","4.210","182.50K","-1.17%"
"06/13/2023","4.280","5.050","5.050","4.260","147.88K","0.00%"
"06/12/2023","4.280","4.250","4.330","4.230","91.52K","0.00%"
"06/11/2023","4.280","4.200","4.330","4.200","523.59K","1.18%"
"06/08/2023","4.230","4.190","4.350","4.150","161.93K","-0.24%"
"06/07/2023","4.240","4.340","4.380","4.200","467.19K","-2.30%"
"06/06/2023","4.340","4.300","4.350","4.120","432.61K","2.36%"
"06/05/2023","4.240","4.390","4.420","4.200","731.67K","-3.20%"
"06/04/2023","4.380","4.430","4.480","4.350","856.02K","-0.23%"
"06/01/2023","4.390","4.400","4.460","4.360","784.82K","0.46%"
"05/31/2023","4.370","4.490","4.490","4.360","597.93K","-1.80%"
"05/30/2023","4.450","4.450","4.620","4.400","1.86M","0.91%"
"05/29/2023","4.410","4.050","4.450","4.010","3.16M","9.16%"
"05/28/2023","4.040","4.050","4.060","4.000","302.50K","1.00%"
"05/25/2023","4.000","4.000","4.070","3.990","1.13M","0.00%"
"05/24/2023","4.000","4.050","4.100","3.990","741.37K","-0.99%"
"05/23/2023","4.040","3.900","4.070","3.810","1.72M","3.86%"
"05/22/2023","3.890","3.960","4.060","3.880","1.15M","-0.51%"
"05/21/2023","3.910","3.920","3.970","3.890","917.40K","0.00%"
"05/18/2023","3.910","3.990","4.020","3.860","1.00M","-1.76%"
"05/17/2023","3.980","3.950","4.120","3.900","2.86M","0.76%"
"05/16/2023","3.950","3.820","3.960","3.770","1.80M","2.86%"
"05/15/2023","3.840","4.000","4.000","3.830","515.63K","-3.27%"
"05/14/2023","3.970","3.710","4.010","3.670","3.19M","6.72%"
"05/11/2023","3.720","3.470","3.750","3.470","3.04M","7.51%"
"05/10/2023","3.460","3.400","3.490","3.370","559.35K","1.76%"
"05/09/2023","3.400","3.480","3.550","3.380","1.16M","-2.30%"
"05/08/2023","3.480","3.390","3.490","3.390","924.91K","2.65%"
"05/07/2023","3.390","3.380","3.430","3.340","942.65K","0.30%"
"05/03/2023","3.380","3.360","3.410","3.250","2.15M","0.60%"
"05/02/2023","3.360","3.310","3.380","3.270","810.62K","1.51%"
"05/01/2023","3.310","3.340","3.380","3.250","564.59K","-0.90%"
"04/30/2023","3.340","3.380","3.480","3.330","1.18M","0.00%"
"04/27/2023","3.340","3.250","3.400","3.250","466.90K","2.14%"
"04/26/2023","3.270","3.310","3.350","3.150","192.86K","-1.51%"
"04/19/2023","3.320","3.400","3.400","3.300","225.71K","-0.60%"
"04/18/2023","3.340","3.360","3.430","3.330","736.94K","-0.60%"
"04/13/2023","3.360","3.290","3.430","3.290","1.04M","1.82%"
"04/12/2023","3.300","3.320","3.350","3.250","977.01K","0.00%"
"04/11/2023","3.300","3.300","3.350","3.280","881.34K","1.23%"
"04/10/2023","3.260","3.380","3.380","3.250","1.25M","-1.51%"
"04/09/2023","3.310","3.380","3.450","3.300","1.18M","-3.22%"
"04/06/2023","3.420","3.390","3.450","3.320","2.00M","2.09%"
"04/05/2023","3.350","3.280","3.360","3.250","1.93M","2.76%"
"04/04/2023","3.260","3.230","3.310","3.160","1.92M","2.52%"
"04/03/2023","3.180","3.140","3.230","3.070","1.41M","3.58%"
"04/02/2023","3.070","3.100","3.100","3.030","123.97K","0.99%"
"03/30/2023","3.040","3.080","3.120","3.020","744.80K","-0.33%"
"03/29/2023","3.050","3.030","3.070","3.020","204.01K","0.99%"
