"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2023","7.15","7.05","7.32","7.01","89.45K","2.14%"
"08/03/2023","7.00","7.00","7.18","6.96","119.92K","0.00%"
"08/02/2023","7.00","7.25","7.35","6.99","116.36K","-3.58%"
"08/01/2023","7.26","7.22","7.31","7.10","64.41K","2.25%"
"07/31/2023","7.10","7.30","7.35","7.09","133.94K","-1.39%"
"07/30/2023","7.20","7.45","7.45","7.18","59.37K","-0.28%"
"07/27/2023","7.22","7.14","7.25","7.08","68.77K","0.70%"
"07/26/2023","7.17","7.45","7.57","7.14","272.21K","-3.24%"
"07/25/2023","7.41","7.55","7.75","7.35","235.88K","-3.39%"
"07/24/2023","7.67","7.67","7.88","7.55","35.47K","0.00%"
"07/19/2023","7.67","7.75","7.80","7.63","105.92K","-0.52%"
"07/18/2023","7.71","7.92","7.92","7.63","169.11K","-2.16%"
"07/17/2023","7.88","8.01","8.18","7.82","88.68K","-1.87%"
"07/16/2023","8.03","7.95","8.20","7.95","91.85K","1.01%"
"07/13/2023","7.95","7.96","8.10","7.85","71.68K","0.89%"
"07/12/2023","7.88","7.86","8.10","7.76","28.23K","0.00%"
"07/11/2023","7.88","7.71","7.90","7.71","5.27K","0.00%"
"07/10/2023","7.88","7.90","7.95","7.56","19.72K","0.00%"
"07/09/2023","7.88","8.00","8.00","7.51","28.89K","0.00%"
"07/06/2023","7.88","8.24","8.28","7.80","38.90K","-5.06%"
"07/05/2023","8.30","8.32","8.40","7.86","36.01K","0.00%"
"07/04/2023","8.30","8.30","8.44","8.15","103.75K","-2.35%"
"06/26/2023","8.50","8.10","8.50","7.70","204.05K","6.92%"
"06/25/2023","7.95","7.56","8.00","7.56","59.62K","-0.63%"
"06/22/2023","8.00","7.70","8.13","7.70","686.58K","3.76%"
"06/21/2023","7.71","7.65","7.73","7.61","96.95K","0.13%"
"06/20/2023","7.70","7.50","7.75","7.50","65.99K","2.80%"
"06/19/2023","7.49","7.35","7.60","7.30","119.75K","1.49%"
"06/18/2023","7.38","7.50","7.50","7.26","42.82K","2.07%"
"06/15/2023","7.23","7.29","7.35","7.20","64.42K","-0.41%"
"06/14/2023","7.26","7.50","7.73","7.20","148.61K","-3.20%"
"06/13/2023","7.50","7.55","7.70","7.49","296.73K","-2.22%"
"06/12/2023","7.67","7.55","7.85","7.51","25.74K","-2.66%"
"06/11/2023","7.88","7.75","7.75","7.55","6.37K","0.00%"
"06/08/2023","7.88","7.70","7.84","7.44","21.13K","0.00%"
"06/07/2023","7.88","7.90","7.90","7.50","28.06K","0.00%"
"06/06/2023","7.88","7.70","7.95","7.60","33.62K","0.00%"
"06/05/2023","7.88","7.97","7.98","7.71","21.74K","0.00%"
"06/04/2023","7.88","8.00","8.00","7.73","44.39K","-1.38%"
"06/01/2023","7.99","8.15","8.15","7.88","214.54K","0.13%"
"05/31/2023","7.98","7.99","8.19","7.82","300.57K","-0.13%"
"05/30/2023","7.99","8.05","8.24","7.91","461.27K","0.76%"
"05/29/2023","7.93","7.99","8.00","7.80","201.63K","-0.63%"
"05/28/2023","7.98","7.90","8.00","7.77","13.57K","0.00%"
"05/25/2023","7.98","7.60","8.00","7.60","133.40K","5.70%"
"05/24/2023","7.55","7.42","7.99","7.30","1.78M","0.67%"
"05/23/2023","7.50","7.66","7.85","7.12","1.04M","-0.13%"
"05/22/2023","7.51","7.42","7.71","7.42","50.36K","-6.59%"
"05/21/2023","8.04","7.53","7.80","7.44","24.63K","0.00%"
"05/18/2023","8.04","7.80","7.80","7.25","29.28K","0.00%"
"05/17/2023","8.04","7.80","7.89","7.60","21.29K","0.00%"
"05/16/2023","8.04","8.00","8.16","6.61","20.02K","0.00%"
"05/15/2023","8.04","8.19","8.23","7.95","13.88K","0.00%"
"05/14/2023","8.04","8.00","8.29","7.92","69.23K","-0.12%"
"05/11/2023","8.05","7.92","8.10","7.92","515.16K","-1.23%"
"05/10/2023","8.15","8.01","8.15","7.92","16.39K","0.00%"
"05/09/2023","8.15","8.16","8.34","8.01","26.01K","0.00%"
"05/08/2023","8.15","8.05","8.30","7.92","329.55K","-3.66%"
"05/07/2023","8.46","8.11","8.25","7.85","23.10K","0.00%"
"05/03/2023","8.46","8.30","8.43","8.00","31.89K","0.00%"
"05/02/2023","8.46","8.48","8.48","8.15","33.05K","0.00%"
"05/01/2023","8.46","8.61","8.65","8.26","66.33K","-0.94%"
"04/30/2023","8.54","8.25","8.89","8.25","657.53K","4.02%"
"04/27/2023","8.21","8.11","8.25","7.90","62.63K","3.66%"
"04/26/2023","7.92","8.00","8.20","7.84","42.70K","0.64%"
"04/19/2023","7.87","8.20","8.30","7.76","38.03K","-1.63%"
"04/18/2023","8.00","8.11","8.42","8.00","3.27M","-2.68%"
"04/13/2023","8.22","8.35","8.39","8.03","517.27K","1.36%"
"04/12/2023","8.11","7.90","8.67","7.75","667.65K","4.65%"
"04/11/2023","7.75","7.70","7.90","7.70","7.48M","0.65%"
"04/10/2023","7.70","7.89","7.90","7.70","13.04K","0.00%"
"04/09/2023","7.70","7.80","7.87","7.70","6.59K","0.00%"
"04/06/2023","7.70","7.70","7.89","7.70","129.17K","-0.26%"
"04/05/2023","7.72","7.85","7.85","7.66","5.42K","0.00%"
"04/04/2023","7.72","7.88","7.90","7.60","19.74K","0.00%"
"04/03/2023","7.72","7.66","7.88","7.61","3.74K","0.00%"
"04/02/2023","7.72","7.73","7.90","7.56","23.66K","0.00%"
"03/30/2023","7.72","7.67","7.87","7.66","94.11K","-2.28%"
"03/29/2023","7.90","7.63","7.89","7.63","9.54K","0.00%"
"03/28/2023","7.90","7.95","7.95","7.60","833.50K","1.28%"
"03/27/2023","7.80","7.70","7.98","7.61","556.13K","2.50%"
"03/26/2023","7.61","7.30","7.70","7.30","1.03M","4.25%"
"03/23/2023","7.30","7.20","7.44","7.11","51.00K","2.67%"
"03/22/2023","7.11","7.20","7.20","6.78","31.11K","0.00%"
"03/21/2023","7.11","7.01","7.50","7.01","676.32K","1.57%"
"03/20/2023","7.00","6.85","7.00","6.65","336.60K","5.90%"
"03/19/2023","6.61","7.13","7.13","6.60","56.55K","-5.30%"
"03/16/2023","6.98","6.80","7.09","6.52","21.11K","0.00%"
"03/15/2023","6.98","7.40","7.42","6.90","65.68K","-5.03%"
"03/14/2023","7.35","6.80","7.40","6.50","12.04K","0.00%"
"03/13/2023","7.35","7.75","7.75","7.30","45.64K","-5.16%"
"03/12/2023","7.75","7.70","7.90","7.40","26.45K","0.00%"
"03/09/2023","7.75","7.60","7.90","7.40","21.32K","0.00%"
"03/08/2023","7.75","7.75","7.75","7.33","31.23K","0.00%"
"03/07/2023","7.75","7.70","7.90","7.26","34.93K","0.00%"
"03/06/2023","7.75","7.94","8.00","7.70","53.92K","-3.97%"
"03/05/2023","8.07","7.75","8.00","7.75","29.48K","0.00%"
"03/02/2023","8.07","7.90","8.08","7.75","24.51K","0.00%"
"03/01/2023","8.07","8.13","8.13","7.90","15.21K","0.00%"
"02/28/2023","8.07","7.35","8.15","7.35","98.59K","1.38%"
"02/27/2023","7.96","8.11","8.18","7.80","100.11K","-1.85%"
"02/26/2023","8.11","7.09","8.29","7.09","603.83K","17.37%"
"02/23/2023","6.91","6.74","7.00","6.71","170.86K","1.62%"
"02/22/2023","6.80","6.71","6.85","6.70","33.44K","0.00%"
"02/21/2023","6.80","6.80","6.81","6.72","47.18K","1.19%"
"02/20/2023","6.72","6.83","6.83","6.70","53.18K","0.15%"
"02/19/2023","6.71","6.70","6.84","6.70","74.00K","0.00%"
"02/16/2023","6.71","6.87","6.87","6.70","118.30K","-0.59%"
"02/15/2023","6.75","6.79","6.88","6.70","24.96K","0.00%"
"02/14/2023","6.75","6.70","6.79","6.70","1.28M","0.75%"
"02/13/2023","6.70","6.70","6.80","6.70","28.25K","0.00%"
"02/12/2023","6.70","6.80","6.88","6.70","16.70K","0.00%"
"02/09/2023","6.70","6.79","6.79","6.70","44.41K","0.00%"
"02/08/2023","6.70","6.70","6.80","6.66","52.55K","0.30%"
"02/07/2023","6.68","6.60","6.80","6.60","67.00K","1.06%"
"02/06/2023","6.61","6.50","6.80","6.50","1.13M","1.69%"
"02/05/2023","6.50","6.50","6.65","6.22","111.47K","0.31%"
"02/02/2023","6.48","6.47","6.47","6.28","15.01K","0.00%"
"02/01/2023","6.48","6.69","6.69","6.18","24.15K","0.00%"
"01/31/2023","6.48","6.85","6.95","6.40","100.45K","-4.71%"
"01/30/2023","6.80","6.60","6.98","6.37","162.01K","4.62%"
"01/29/2023","6.50","6.47","6.69","6.26","82.58K","3.67%"
"01/25/2023","6.27","6.28","6.39","6.21","20.32K","0.00%"
"01/24/2023","6.27","6.40","6.48","6.19","52.02K","-2.03%"
"01/23/2023","6.40","6.50","6.50","6.30","71.04K","-0.31%"
"01/22/2023","6.42","6.39","6.54","6.20","35.27K","0.00%"
"01/19/2023","6.42","6.35","6.57","6.35","39.41K","0.00%"
"01/18/2023","6.42","6.60","6.64","6.35","251.30K","-2.87%"
"01/17/2023","6.61","6.41","6.66","6.41","130.14K","2.64%"
"01/16/2023","6.44","6.44","6.65","6.16","83.43K","-0.77%"
"01/15/2023","6.49","6.50","6.70","6.41","77.43K","-0.15%"
"01/12/2023","6.50","6.60","6.70","6.25","95.02K","2.52%"
"01/11/2023","6.34","6.80","6.89","6.05","89.89K","-7.31%"
"01/10/2023","6.84","7.10","7.11","6.71","367.75K","-10.12%"
"01/09/2023","7.61","7.40","7.74","7.12","657.72K","2.42%"
"01/05/2023","7.43","7.51","7.64","7.40","151.71K","-0.67%"
"01/04/2023","7.48","7.62","7.65","7.01","108.06K","-0.80%"
"01/03/2023","7.54","7.46","7.57","7.40","204.60K","2.59%"
"01/02/2023","7.35","6.89","7.48","6.89","301.79K","7.14%"
"12/29/2022","6.86","6.89","6.90","6.77","67.03K","1.63%"
"12/28/2022","6.75","6.89","6.89","6.73","113.51K","-0.88%"
"12/27/2022","6.81","6.85","6.98","6.80","55.96K","-0.29%"
"12/26/2022","6.83","6.90","6.90","6.80","115.67K","-0.15%"
"12/25/2022","6.84","6.49","6.96","6.38","331.09K","6.71%"
"12/22/2022","6.41","6.27","6.58","6.25","220.65K","4.23%"
