"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2023","2.340","2.280","2.360","2.280","25.42M","2.63%"
"08/03/2023","2.280","2.300","2.310","2.270","10.68M","0.00%"
"08/02/2023","2.280","2.320","2.350","2.260","27.65M","-0.87%"
"08/01/2023","2.300","2.300","2.360","2.280","26.47M","0.88%"
"07/31/2023","2.280","2.310","2.330","2.240","35.05M","-0.44%"
"07/30/2023","2.290","2.370","2.370","2.280","20.68M","-2.97%"
"07/27/2023","2.360","2.330","2.390","2.330","20.13M","1.29%"
"07/26/2023","2.330","2.390","2.400","2.320","16.56M","-2.51%"
"07/25/2023","2.390","2.490","2.500","2.350","19.76M","-3.63%"
"07/24/2023","2.480","2.520","2.540","2.470","15.58M","-1.20%"
"07/19/2023","2.510","2.550","2.560","2.500","28.64M","-1.57%"
"07/18/2023","2.550","2.450","2.550","2.440","45.36M","4.08%"
"07/17/2023","2.450","2.460","2.490","2.430","28.79M","0.00%"
"07/16/2023","2.450","2.470","2.510","2.420","42.54M","0.00%"
"07/13/2023","2.450","2.520","2.540","2.430","49.37M","-2.39%"
"07/12/2023","2.510","2.610","2.630","2.480","62.91M","-3.46%"
"07/11/2023","2.600","2.650","2.670","2.580","38.85M","-1.52%"
"07/10/2023","2.640","2.500","2.660","2.420","66.30M","7.76%"
"07/09/2023","2.450","2.950","2.960","2.440","83.44M","-16.10%"
"07/06/2023","2.920","2.960","2.990","2.880","50.83M","1.74%"
"07/05/2023","2.870","2.880","2.920","2.840","26.40M","0.35%"
"07/04/2023","2.860","2.950","2.960","2.850","16.98M","-1.72%"
"06/26/2023","2.910","2.870","2.950","2.860","37.78M","2.11%"
"06/25/2023","2.850","3.030","3.060","2.850","67.40M","-4.36%"
"06/22/2023","2.980","2.780","2.980","2.760","50.25M","7.19%"
"06/21/2023","2.780","2.800","2.830","2.760","30.57M","-0.71%"
"06/20/2023","2.800","2.850","2.870","2.790","27.04M","-1.41%"
"06/19/2023","2.840","2.880","2.900","2.760","76.51M","-1.39%"
"06/18/2023","2.880","2.930","2.960","2.870","55.23M","0.35%"
"06/15/2023","2.870","2.980","3.000","2.850","86.47M","-3.04%"
"06/14/2023","2.960","2.960","3.030","2.930","73.25M","1.72%"
"06/13/2023","2.910","2.770","2.910","2.740","80.71M","5.05%"
"06/12/2023","2.770","2.820","2.840","2.770","24.26M","-1.07%"
"06/11/2023","2.800","2.790","2.860","2.770","64.48M","1.82%"
"06/08/2023","2.750","2.760","2.830","2.730","49.29M","0.36%"
"06/07/2023","2.740","2.860","2.900","2.710","102.98M","-2.49%"
"06/06/2023","2.810","2.650","2.840","2.650","97.46M","7.25%"
"06/05/2023","2.620","2.670","2.730","2.600","65.07M","-0.76%"
"06/04/2023","2.640","2.620","2.800","2.520","152.69M","10.00%"
"06/01/2023","2.400","2.280","2.420","2.280","102.60M","6.19%"
"05/31/2023","2.260","2.260","2.310","2.250","71.82M","0.89%"
"05/30/2023","2.240","2.250","2.290","2.230","55.86M","0.00%"
"05/29/2023","2.240","2.210","2.250","2.170","36.86M","1.82%"
"05/28/2023","2.200","2.180","2.230","2.170","24.31M","1.38%"
"05/25/2023","2.170","2.220","2.220","2.160","22.14M","-1.36%"
"05/24/2023","2.200","2.160","2.230","2.130","59.13M","2.80%"
"05/23/2023","2.140","2.140","2.150","2.090","38.81M","0.47%"
"05/22/2023","2.130","2.170","2.200","2.120","19.59M","-1.39%"
"05/21/2023","2.160","2.170","2.200","2.150","16.88M","0.00%"
"05/18/2023","2.160","2.150","2.160","2.100","29.84M","0.47%"
"05/17/2023","2.150","2.210","2.220","2.140","24.35M","-1.83%"
"05/16/2023","2.190","2.220","2.230","2.160","39.43M","-1.79%"
"05/15/2023","2.230","2.300","2.330","2.210","63.68M","-1.76%"
"05/14/2023","2.270","2.210","2.270","2.200","66.70M","4.13%"
"05/11/2023","2.180","2.250","2.260","2.170","40.36M","-2.68%"
"05/10/2023","2.240","2.180","2.250","2.120","61.23M","3.23%"
"05/09/2023","2.170","2.260","2.280","2.160","60.16M","-3.56%"
"05/08/2023","2.250","2.150","2.250","2.150","56.24M","5.63%"
"05/07/2023","2.130","2.130","2.150","2.080","26.60M","0.95%"
"05/03/2023","2.110","2.120","2.140","2.070","25.06M","0.48%"
"05/02/2023","2.100","2.130","2.160","2.080","34.53M","-1.41%"
"05/01/2023","2.130","2.240","2.250","2.100","44.91M","-4.48%"
"04/30/2023","2.230","2.300","2.340","2.210","59.29M","-1.76%"
"04/27/2023","2.270","2.230","2.290","2.230","51.39M","2.25%"
"04/26/2023","2.220","2.220","2.240","2.180","27.36M","0.45%"
"04/19/2023","2.210","2.240","2.270","2.190","48.81M","-0.45%"
"04/18/2023","2.220","2.160","2.230","2.130","40.75M","2.83%"
"04/13/2023","2.159","2.131","2.175","2.123","33.86M","1.36%"
"04/12/2023","2.130","2.175","2.200","2.120","40.99M","-1.75%"
"04/11/2023","2.168","2.200","2.216","2.153","35.71M","-1.00%"
"04/10/2023","2.190","2.098","2.200","2.091","87.26M","5.80%"
"04/09/2023","2.070","1.980","2.080","1.962","81.22M","4.33%"
"04/06/2023","1.984","2.050","2.060","1.962","38.70M","-2.75%"
"04/05/2023","2.040","2.069","2.080","2.021","29.43M","-1.26%"
"04/04/2023","2.066","2.100","2.123","2.054","74.01M","0.29%"
"04/03/2023","2.060","1.902","2.060","1.902","67.06M","8.76%"
"04/02/2023","1.894","1.863","1.899","1.852","10.05M","1.66%"
"03/30/2023","1.863","1.930","1.940","1.851","28.22M","-2.61%"
"03/29/2023","1.913","1.831","1.940","1.831","42.64M","4.71%"
"03/28/2023","1.827","1.794","1.841","1.751","15.27M","1.11%"
"03/27/2023","1.807","1.867","1.876","1.760","26.70M","-1.47%"
"03/26/2023","1.834","1.800","1.838","1.790","25.46M","3.32%"
"03/23/2023","1.775","1.720","1.790","1.701","14.54M","2.36%"
"03/22/2023","1.734","1.787","1.810","1.724","19.92M","-2.03%"
"03/21/2023","1.770","1.689","1.784","1.689","27.50M","5.61%"
"03/20/2023","1.676","1.585","1.700","1.570","26.40M","6.08%"
"03/19/2023","1.580","1.598","1.600","1.510","23.87M","-1.25%"
"03/16/2023","1.600","1.580","1.660","1.530","63.31M","0.00%"
"03/15/2023","1.600","1.880","1.920","1.510","35.72M","-14.89%"
"03/14/2023","1.880","1.840","1.900","1.770","28.98M","3.30%"
"03/13/2023","1.820","2.000","2.020","1.750","50.67M","-7.61%"
"03/12/2023","1.970","2.090","2.090","1.970","33.21M","-6.19%"
"03/09/2023","2.100","2.090","2.130","2.070","17.79M","1.45%"
"03/08/2023","2.070","2.090","2.110","2.020","30.04M","-1.43%"
"03/07/2023","2.100","2.210","2.230","2.090","26.37M","-4.55%"
"03/06/2023","2.200","2.230","2.270","2.180","27.32M","-0.45%"
"03/05/2023","2.210","2.280","2.280","2.190","26.20M","-2.21%"
"03/02/2023","2.260","2.320","2.330","2.240","25.88M","-1.74%"
"03/01/2023","2.300","2.240","2.320","2.220","78.42M","3.60%"
"02/28/2023","2.220","2.160","2.230","2.140","61.93M","3.26%"
"02/27/2023","2.150","2.150","2.200","2.130","65.68M","0.94%"
"02/26/2023","2.130","2.090","2.150","2.050","32.95M","2.40%"
"02/23/2023","2.080","2.090","2.100","2.000","25.47M","0.48%"
"02/22/2023","2.070","2.150","2.150","2.060","28.65M","-3.27%"
"02/21/2023","2.140","2.090","2.140","2.050","33.61M","1.90%"
"02/20/2023","2.100","2.170","2.190","2.070","45.45M","-3.23%"
"02/19/2023","2.170","2.200","2.240","2.150","78.27M","-0.91%"
"02/16/2023","2.190","2.120","2.190","2.090","71.80M","3.79%"
"02/15/2023","2.110","2.120","2.150","2.080","52.16M","0.96%"
"02/14/2023","2.090","2.020","2.120","2.020","80.51M","4.50%"
"02/13/2023","2.000","2.020","2.030","1.980","23.62M","0.00%"
"02/12/2023","2.000","2.010","2.060","1.970","33.13M","-0.35%"
"02/09/2023","2.007","1.966","2.020","1.956","47.71M","2.40%"
"02/08/2023","1.960","2.050","2.054","1.960","52.71M","-3.92%"
"02/07/2023","2.040","1.940","2.040","1.940","57.00M","6.19%"
"02/06/2023","1.921","1.933","1.968","1.894","24.82M","0.58%"
"02/05/2023","1.910","2.027","2.027","1.823","58.42M","-4.02%"
"02/02/2023","1.990","2.120","2.150","1.980","49.44M","-5.24%"
"02/01/2023","2.100","2.130","2.160","2.070","35.28M","-0.94%"
"01/31/2023","2.120","2.240","2.250","2.120","45.27M","-5.36%"
"01/30/2023","2.240","2.400","2.400","2.240","70.60M","-5.49%"
"01/29/2023","2.370","2.380","2.400","2.330","43.29M","0.85%"
"01/25/2023","2.350","2.370","2.390","2.330","46.64M","-0.42%"
"01/24/2023","2.360","2.410","2.410","2.310","66.80M","-1.26%"
"01/23/2023","2.390","2.390","2.460","2.370","124.77M","1.27%"
"01/22/2023","2.360","2.390","2.440","2.340","53.70M","1.29%"
"01/19/2023","2.330","2.300","2.400","2.280","87.48M","2.19%"
"01/18/2023","2.280","2.320","2.360","2.260","42.55M","0.00%"
"01/17/2023","2.280","2.330","2.360","2.280","33.81M","-0.44%"
"01/16/2023","2.290","2.250","2.330","2.250","40.20M","2.23%"
"01/15/2023","2.240","2.320","2.340","2.230","32.97M","-1.75%"
"01/12/2023","2.280","2.330","2.370","2.230","37.32M","-0.44%"
"01/11/2023","2.290","2.250","2.470","2.250","94.30M","1.78%"
"01/10/2023","2.250","2.350","2.400","2.250","71.09M","-4.26%"
"01/09/2023","2.350","2.240","2.420","2.210","101.73M","6.33%"
"01/05/2023","2.210","2.260","2.280","2.190","44.62M","-1.34%"
"01/04/2023","2.240","2.250","2.280","2.050","74.17M","0.45%"
"01/03/2023","2.230","2.270","2.320","2.200","83.18M","-0.89%"
"01/02/2023","2.250","2.110","2.250","2.080","52.24M","8.17%"
"12/29/2022","2.080","2.120","2.170","2.070","38.77M","-1.42%"
"12/28/2022","2.110","2.120","2.140","2.080","27.42M","0.48%"
"12/27/2022","2.100","2.200","2.200","2.090","46.50M","-2.78%"
"12/26/2022","2.160","2.020","2.170","1.950","64.28M","8.54%"
"12/25/2022","1.990","2.120","2.170","1.950","81.19M","-8.72%"
"12/22/2022","2.180","2.280","2.350","2.150","52.60M","-4.39%"
"12/21/2022","2.280","2.270","2.380","2.210","70.22M","1.33%"
"12/20/2022","2.250","2.380","2.410","2.250","71.32M","-1.32%"
"12/19/2022","2.280","2.100","2.320","2.040","106.57M","10.68%"
"12/18/2022","2.060","2.100","2.210","2.020","90.39M","-1.90%"
"12/15/2022","2.100","2.134","2.179","2.010","60.49M","-0.47%"
"12/14/2022","2.110","2.160","2.238","2.107","78.69M","-0.94%"
"12/13/2022","2.130","1.888","2.199","1.845","134.81M","15.76%"
"12/12/2022","1.840","1.693","1.840","1.662","89.25M","8.68%"
"12/11/2022","1.693","1.649","1.746","1.640","82.25M","4.44%"
"12/08/2022","1.621","1.630","1.654","1.603","54.49M","-0.25%"
"12/07/2022","1.625","1.551","1.665","1.550","99.63M","5.93%"
"12/06/2022","1.534","1.495","1.540","1.475","32.08M","2.54%"
"12/05/2022","1.496","1.540","1.563","1.492","30.65M","-2.35%"
"12/04/2022","1.532","1.520","1.568","1.520","38.56M","1.79%"
"12/01/2022","1.505","1.450","1.520","1.450","45.68M","4.22%"
"11/30/2022","1.444","1.451","1.459","1.421","30.46M","-0.28%"
"11/29/2022","1.448","1.467","1.473","1.445","34.92M","-0.41%"
"11/28/2022","1.454","1.430","1.470","1.425","64.03M","2.18%"
"11/27/2022","1.423","1.384","1.444","1.384","60.22M","3.64%"
"11/24/2022","1.373","1.380","1.390","1.364","11.26M","-0.29%"
"11/23/2022","1.377","1.369","1.398","1.360","40.66M","2.30%"
"11/22/2022","1.346","1.340","1.357","1.327","11.85M","0.52%"
"11/21/2022","1.339","1.377","1.377","1.333","14.73M","-1.33%"
"11/20/2022","1.357","1.365","1.378","1.352","15.21M","0.07%"
"11/17/2022","1.356","1.362","1.380","1.351","36.80M","-0.29%"
"11/16/2022","1.360","1.329","1.363","1.320","29.21M","3.42%"
"11/15/2022","1.315","1.330","1.339","1.311","13.33M","-0.53%"
"11/14/2022","1.322","1.331","1.333","1.301","16.09M","-0.60%"
"11/13/2022","1.330","1.299","1.345","1.299","34.50M","4.40%"
"11/10/2022","1.274","1.274","1.290","1.268","9.79M","0.63%"
"11/09/2022","1.266","1.274","1.289","1.264","7.89M","-0.24%"
"11/08/2022","1.269","1.281","1.300","1.264","14.40M","-0.78%"
"11/07/2022","1.279","1.286","1.299","1.275","7.59M","-0.39%"
"11/06/2022","1.284","1.295","1.315","1.275","12.73M","0.55%"
"11/03/2022","1.277","1.290","1.294","1.267","7.16M","-0.31%"
"11/02/2022","1.281","1.318","1.320","1.280","13.05M","-2.29%"
"11/01/2022","1.311","1.329","1.329","1.296","17.05M","0.31%"
"10/31/2022","1.307","1.291","1.309","1.273","23.53M","1.08%"
"10/30/2022","1.293","1.343","1.354","1.292","27.71M","-3.29%"
"10/27/2022","1.337","1.360","1.380","1.336","40.77M","-0.07%"
"10/26/2022","1.338","1.329","1.351","1.320","19.52M","1.29%"
"10/25/2022","1.321","1.335","1.342","1.311","15.57M","-0.15%"
"10/24/2022","1.323","1.350","1.352","1.320","9.25M","-1.34%"
"10/23/2022","1.341","1.342","1.370","1.340","18.14M","0.90%"
"10/20/2022","1.329","1.320","1.347","1.320","9.00M","0.68%"
"10/19/2022","1.320","1.346","1.356","1.317","9.94M","-1.86%"
"10/18/2022","1.345","1.350","1.360","1.340","12.59M","0.45%"
"10/17/2022","1.339","1.349","1.360","1.334","17.80M","-0.07%"
"10/16/2022","1.340","1.340","1.360","1.330","19.29M","0.68%"
"10/13/2022","1.331","1.320","1.343","1.312","19.24M","1.45%"
"10/12/2022","1.312","1.335","1.350","1.304","27.68M","-1.58%"
"10/11/2022","1.333","1.370","1.383","1.325","30.31M","-3.13%"
"10/10/2022","1.376","1.414","1.419","1.367","39.68M","-2.06%"
"10/09/2022","1.405","1.381","1.410","1.367","51.52M","1.96%"
