"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2023","17.75","18.25","18.50","17.75","290.97K","-1.39%"
"08/02/2023","18.00","17.95","18.29","17.66","2.45M","2.56%"
"08/01/2023","17.55","18.70","18.70","17.42","1.05M","-6.05%"
"07/31/2023","18.68","18.70","19.00","18.50","1.16M","-0.90%"
"07/30/2023","18.85","17.50","19.00","17.41","676.62K","8.65%"
"07/27/2023","17.35","17.85","18.45","17.30","945.32K","-2.20%"
"07/26/2023","17.74","18.40","18.50","17.74","711.75K","-2.95%"
"07/25/2023","18.28","18.55","18.99","18.15","400.07K","-1.88%"
"07/24/2023","18.63","19.00","19.00","18.35","264.10K","-1.90%"
"07/19/2023","18.99","19.30","19.30","18.71","149.80K","-1.09%"
"07/18/2023","19.20","19.29","19.30","19.09","2.00M","0.37%"
"07/17/2023","19.13","18.90","19.41","18.72","1.04M","1.16%"
"07/16/2023","18.91","19.15","19.25","18.62","189.74K","-0.47%"
"07/13/2023","19.00","18.45","19.30","18.36","413.27K","4.17%"
"07/12/2023","18.24","18.65","18.65","18.15","2.35M","0.50%"
"07/11/2023","18.15","18.85","18.90","18.01","1.84M","-2.68%"
"07/10/2023","18.65","19.00","19.00","18.26","1.72M","-2.41%"
"07/09/2023","19.11","19.70","19.70","18.50","70.63K","-0.47%"
"07/06/2023","19.20","19.99","19.99","19.01","268.64K","-3.03%"
"07/05/2023","19.80","20.68","20.99","19.70","201.75K","-4.26%"
"07/04/2023","20.68","21.34","21.34","19.61","1.18M","-3.09%"
"06/26/2023","21.34","20.90","21.34","20.35","1.14M","1.62%"
"06/25/2023","21.00","20.80","21.00","20.10","1.05M","0.00%"
"06/22/2023","21.00","21.24","21.24","20.50","1.47M","0.00%"
"06/21/2023","21.00","21.38","21.38","20.90","443.63K","-1.78%"
"06/20/2023","21.38","21.00","21.58","20.91","275.26K","1.57%"
"06/19/2023","21.05","21.00","21.74","20.85","866.33K","-0.09%"
"06/18/2023","21.07","20.39","21.41","20.02","296.96K","5.35%"
"06/15/2023","20.00","19.50","20.00","19.25","1.17M","3.90%"
"06/14/2023","19.25","19.00","19.49","18.75","1.64M","1.48%"
"06/13/2023","18.97","18.85","19.00","18.75","1.88M","0.21%"
"06/12/2023","18.93","18.80","19.00","18.75","617.42K","0.96%"
"06/11/2023","18.75","18.90","18.90","18.71","390.90K","-0.42%"
"06/08/2023","18.83","18.64","19.00","18.36","1.61M","1.02%"
"06/07/2023","18.64","19.00","19.00","18.25","917.88K","-1.89%"
"06/06/2023","19.00","18.32","19.10","18.32","3.62M","4.68%"
"06/05/2023","18.15","18.80","18.80","18.15","672.84K","-1.25%"
"06/04/2023","18.38","19.40","19.40","18.25","77.13K","-3.26%"
"06/01/2023","19.00","19.72","19.72","18.33","477.73K","-0.37%"
"05/31/2023","19.07","19.00","19.80","19.00","2.39M","-0.21%"
"05/30/2023","19.11","18.35","19.25","18.31","373.41K","3.41%"
"05/29/2023","18.48","17.95","18.49","17.56","494.54K","2.67%"
"05/28/2023","18.00","17.60","18.10","17.30","146.66K","1.93%"
"05/25/2023","17.66","17.01","18.30","17.01","278.87K","-1.89%"
"05/24/2023","18.00","16.90","18.00","16.61","568.78K","6.51%"
"05/23/2023","16.90","16.95","17.05","16.70","73.57K","0.84%"
"05/22/2023","16.76","17.20","17.20","16.45","161.59K","-3.07%"
"05/21/2023","17.29","16.20","17.39","16.20","453.30K","6.73%"
"05/18/2023","16.20","15.80","16.20","15.40","1.28M","3.32%"
"05/17/2023","15.68","15.85","16.20","15.25","560.62K","-1.38%"
"05/16/2023","15.90","16.00","16.20","15.80","668.02K","-0.63%"
