"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2023","46.05","44.85","46.55","44.85","132.50K","2.40%"
"05/23/2023","44.97","45.00","45.40","44.60","44.63K","-0.09%"
"05/22/2023","45.01","45.01","45.20","44.20","59.92K","0.02%"
"05/21/2023","45.00","44.21","45.00","44.06","51.19K","2.27%"
"05/18/2023","44.00","44.20","44.20","43.00","93.60K","0.00%"
"05/17/2023","44.00","44.90","45.88","44.00","142.82K","-2.22%"
"05/16/2023","45.00","45.65","45.71","44.00","112.71K","-2.13%"
"05/15/2023","45.98","47.65","47.65","45.88","48.95K","-1.29%"
"05/14/2023","46.58","47.31","47.88","46.20","85.47K","-1.25%"
"05/11/2023","47.17","46.41","47.89","46.00","171.81K","2.92%"
"05/10/2023","45.83","46.77","47.21","44.90","171.33K","-1.40%"
"05/09/2023","46.48","48.47","48.48","46.27","272.35K","-2.74%"
"05/08/2023","47.79","48.00","48.50","47.72","178.47K","-0.04%"
"05/07/2023","47.81","47.50","48.24","46.51","62.73K","1.64%"
"05/03/2023","47.04","47.56","48.00","46.90","70.28K","-0.78%"
"05/02/2023","47.41","48.00","48.47","47.00","98.42K","-1.21%"
"05/01/2023","47.99","49.98","49.98","47.75","104.77K","-2.85%"
"04/30/2023","49.40","50.00","50.96","49.05","224.94K","-1.14%"
"04/27/2023","49.97","51.25","51.30","49.70","250.61K","-1.58%"
"04/26/2023","50.77","52.00","52.51","50.02","73.64K","-2.25%"
"04/19/2023","51.94","52.51","52.97","51.80","47.15K","-1.39%"
"04/18/2023","52.67","52.00","53.99","51.60","35.88K","1.96%"
"04/13/2023","51.66","51.79","51.93","49.50","85.29K","-4.79%"
"04/12/2023","54.26","54.00","55.99","53.52","170.14K","2.15%"
"04/11/2023","53.12","53.09","53.50","52.53","63.91K","1.12%"
"04/10/2023","52.53","53.57","53.57","52.50","66.44K","-0.28%"
"04/09/2023","52.68","53.30","53.57","51.50","53.03K","0.06%"
"04/06/2023","52.65","53.70","54.36","52.50","56.09K","-1.07%"
"04/05/2023","53.22","54.25","55.44","53.02","84.38K","-1.32%"
"04/04/2023","53.93","51.50","54.20","51.50","160.47K","5.23%"
"04/03/2023","51.25","50.60","52.00","50.25","95.69K","2.42%"
"04/02/2023","50.04","50.00","51.00","49.65","42.21K","-0.64%"
"03/30/2023","50.36","51.50","51.50","50.00","51.25K","-0.32%"
"03/29/2023","50.52","51.00","51.51","50.31","100.37K","-0.75%"
"03/28/2023","50.90","51.94","51.94","49.00","90.22K","-0.04%"
"03/27/2023","50.92","52.75","52.75","50.25","74.50K","-0.49%"
"03/26/2023","51.17","51.84","53.00","50.00","111.91K","0.02%"
"03/23/2023","51.16","51.78","51.93","50.21","19.62K","0.51%"
"03/22/2023","50.90","53.20","54.90","50.20","133.91K","-3.12%"
"03/21/2023","52.54","52.00","53.28","52.00","45.46K","3.61%"
"03/20/2023","50.71","49.00","52.50","49.00","163.31K","3.36%"
"03/19/2023","49.06","50.24","50.24","46.00","47.58K","-0.89%"
"03/16/2023","49.50","47.99","49.50","45.30","138.33K","1.91%"
"03/15/2023","48.57","54.00","54.98","44.00","137.96K","-8.69%"
"03/14/2023","53.19","50.00","54.80","49.00","187.86K","5.79%"
"03/13/2023","50.28","56.95","57.50","49.01","131.52K","-10.49%"
"03/12/2023","56.17","56.01","61.60","55.20","415.52K","0.36%"
"03/09/2023","55.97","50.70","56.00","50.24","332.00K","12.68%"
"03/08/2023","49.67","49.50","51.85","49.00","419.65K","0.02%"
"03/07/2023","49.66","54.93","55.00","48.65","525.53K","-7.64%"
"03/06/2023","53.77","58.00","58.80","53.21","263.33K","-6.03%"
"03/05/2023","57.22","59.05","60.94","56.30","190.77K","-2.19%"
"03/02/2023","58.50","58.20","59.00","57.00","95.68K","1.07%"
"03/01/2023","57.88","55.50","58.20","55.00","104.75K","4.34%"
"02/28/2023","55.47","57.34","58.23","55.01","84.14K","-3.29%"
"02/27/2023","57.36","58.73","59.99","56.51","106.30K","-1.68%"
"02/26/2023","58.34","56.00","59.45","51.60","240.13K","6.54%"
"02/23/2023","54.76","46.98","54.76","45.75","530.04K","19.98%"
"02/22/2023","45.64","48.50","48.99","45.10","62.45K","-4.92%"
"02/21/2023","48.00","45.01","48.00","43.40","247.14K","5.70%"
"02/20/2023","45.41","47.50","47.50","45.12","278.78K","-3.38%"
"02/19/2023","47.00","46.00","47.75","45.61","185.45K","8.22%"
"02/16/2023","43.43","42.50","44.93","41.90","100.82K","3.53%"
"02/15/2023","41.95","42.00","42.30","41.30","31.14K","0.41%"
"02/14/2023","41.78","42.48","42.48","41.45","45.36K","0.05%"
"02/13/2023","41.76","42.33","43.66","41.65","26.85K","-0.83%"
"02/12/2023","42.11","42.00","42.47","41.90","17.95K","-0.31%"
"02/09/2023","42.24","42.00","42.50","41.50","48.04K","1.59%"
"02/08/2023","41.58","41.35","42.70","41.10","38.83K","-0.74%"
