"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2023","19.85","19.50","20.19","19.50","200.81K","1.79%"
"08/03/2023","19.50","19.22","19.55","19.00","282.18K","1.46%"
"08/02/2023","19.22","19.00","19.50","18.75","224.37K","1.16%"
"08/01/2023","19.00","18.90","19.05","18.64","80.36K","0.58%"
"07/31/2023","18.89","18.80","18.91","18.55","177.61K","0.48%"
"07/30/2023","18.80","18.70","18.98","18.40","364.29K","0.00%"
"07/27/2023","18.80","18.80","18.80","18.30","13.50K","0.00%"
"07/26/2023","18.80","18.85","18.99","18.75","13.61K","0.00%"
"07/25/2023","18.80","18.61","18.97","18.55","1.72M","1.08%"
"07/24/2023","18.60","18.60","18.69","18.42","38.27K","0.05%"
"07/19/2023","18.59","18.46","18.65","18.38","797.41K","0.70%"
"07/18/2023","18.46","18.50","18.60","18.35","494.08K","0.27%"
"07/17/2023","18.41","18.50","18.57","18.35","32.53K","0.00%"
"07/16/2023","18.41","18.49","18.88","18.31","22.72K","-0.49%"
"07/13/2023","18.50","18.52","19.00","18.15","300.64K","-0.43%"
"07/12/2023","18.58","18.53","18.69","18.44","30.58K","0.32%"
"07/11/2023","18.52","18.45","18.70","18.01","75.44K","0.54%"
"07/10/2023","18.42","18.00","18.45","17.50","14.23K","0.00%"
"07/09/2023","18.42","18.68","18.68","18.04","392.23K","-1.18%"
"07/06/2023","18.64","18.50","18.70","18.50","34.45K","1.30%"
"07/05/2023","18.40","18.38","18.60","18.35","14.75K","0.00%"
"07/04/2023","18.40","18.45","18.48","18.29","194.22K","0.55%"
"06/26/2023","18.30","18.47","18.48","18.04","92.84K","-1.35%"
"06/25/2023","18.55","18.55","18.60","18.12","11.03K","0.00%"
"06/22/2023","18.55","18.50","18.65","18.20","364.25K","0.82%"
"06/21/2023","18.40","18.45","18.50","18.21","170.82K","0.38%"
"06/20/2023","18.33","18.35","18.50","18.11","470.72K","1.16%"
"06/19/2023","18.12","17.85","18.33","17.75","1.02M","1.34%"
"06/18/2023","17.88","17.88","18.00","17.61","17.35K","0.39%"
"06/15/2023","17.81","17.66","18.00","17.50","88.34K","1.19%"
"06/14/2023","17.60","17.70","17.93","17.41","1.92M","1.21%"
"06/13/2023","17.39","17.50","17.95","17.20","1.34M","-1.36%"
"06/12/2023","17.63","17.40","17.75","17.16","16.60K","2.98%"
"06/11/2023","17.12","17.50","18.00","17.05","95.12K","-2.00%"
"06/08/2023","17.47","17.60","18.00","17.20","196.29K","-1.85%"
"06/07/2023","17.80","18.00","18.00","17.55","2.17M","-0.78%"
"06/06/2023","17.94","17.57","18.40","17.56","47.67K","0.62%"
"06/05/2023","17.83","18.44","18.44","17.50","29.20K","-3.15%"
"06/04/2023","18.41","18.50","18.67","18.35","51.37K","0.22%"
"06/01/2023","18.37","18.50","18.85","18.02","327.42K","-2.44%"
"05/31/2023","18.83","19.00","19.10","18.40","2.27M","-0.32%"
"05/30/2023","18.89","18.61","19.28","18.61","1.10M","1.50%"
"05/29/2023","18.61","18.00","18.90","18.00","467.33K","0.70%"
"05/28/2023","18.48","16.60","19.00","16.60","530.90K","11.33%"
"05/25/2023","16.60","16.06","16.95","16.05","88.18K","3.88%"
"05/24/2023","15.98","15.80","16.06","15.60","911.81K","0.82%"
"05/23/2023","15.85","15.84","15.90","15.65","52.27K","0.06%"
"05/22/2023","15.84","15.63","15.95","15.60","202.25K","1.86%"
"05/21/2023","15.55","15.35","15.63","15.10","64.64K","2.10%"
"05/18/2023","15.23","15.23","15.48","15.06","44.51K","-0.46%"
"05/17/2023","15.30","15.20","15.55","15.05","233.04K","0.00%"
"05/16/2023","15.30","15.39","15.40","15.10","199.25K","-0.58%"
"05/15/2023","15.39","15.07","15.48","15.01","152.37K","-1.91%"
"05/14/2023","15.69","15.60","15.74","15.40","123.97K","1.75%"
"05/11/2023","15.42","15.73","15.87","15.39","295.46K","-0.52%"
"05/10/2023","15.50","15.70","15.90","15.40","231.57K","-0.13%"
"05/09/2023","15.52","15.80","15.99","15.50","218.81K","-1.08%"
"05/08/2023","15.69","15.90","15.99","15.52","623.79K","0.32%"
"05/07/2023","15.64","15.50","15.80","15.01","116.13K","0.90%"
"05/03/2023","15.50","15.70","15.80","15.48","102.89K","-0.58%"
"05/02/2023","15.59","15.88","16.00","15.00","96.60K","0.00%"
"05/01/2023","15.59","15.99","16.45","15.50","51.61K","-2.38%"
"04/30/2023","15.97","16.50","16.95","15.55","127.25K","-3.80%"
"04/27/2023","16.60","16.00","17.20","16.00","218.15K","3.23%"
"04/26/2023","16.08","16.00","16.20","15.55","1.07M","0.50%"
"04/19/2023","16.00","15.45","16.00","15.12","1.25M","4.30%"
"04/18/2023","15.34","14.80","15.75","14.80","576.88K","3.65%"
"04/13/2023","14.80","14.74","14.85","14.57","409.02K","1.58%"
"04/12/2023","14.57","14.80","14.89","14.51","41.78K","0.48%"
"04/11/2023","14.50","14.90","14.90","14.48","471.79K","-2.23%"
"04/10/2023","14.83","14.70","14.90","14.60","57.93K","2.13%"
"04/09/2023","14.52","14.94","15.00","14.50","76.01K","-0.14%"
"04/06/2023","14.54","15.10","15.10","14.46","378.72K","-2.48%"
"04/05/2023","14.91","14.85","15.10","14.56","46.35K","0.68%"
"04/04/2023","14.81","15.00","15.09","14.54","40.48K","-1.27%"
"04/03/2023","15.00","15.00","15.23","14.85","1.01M","0.07%"
"04/02/2023","14.99","14.85","15.20","14.53","76.18K","3.17%"
"03/30/2023","14.53","14.67","14.84","14.51","24.77K","-0.07%"
"03/29/2023","14.54","14.80","15.00","14.50","92.91K","-1.36%"
"03/28/2023","14.74","14.90","14.98","14.70","419.61K","-1.40%"
"03/27/2023","14.95","15.50","15.50","14.50","95.90K","0.13%"
"03/26/2023","14.93","15.60","15.93","14.51","258.07K","-0.60%"
"03/23/2023","15.02","14.95","15.95","14.45","38.78K","2.88%"
"03/22/2023","14.60","14.90","17.50","14.02","441.59K","-1.28%"
"03/21/2023","14.79","14.86","15.00","14.50","1.02M","1.51%"
"03/20/2023","14.57","14.50","14.89","14.26","29.50K","2.32%"
"03/19/2023","14.24","13.80","15.00","13.80","104.21K","3.19%"
"03/16/2023","13.80","13.80","14.00","13.05","13.51M","-0.43%"
"03/15/2023","13.86","14.30","14.30","13.50","1.41M","-1.07%"
"03/14/2023","14.01","14.10","14.69","13.91","1.33M","-0.28%"
"03/13/2023","14.05","13.81","14.40","13.80","191.06K","0.43%"
"03/12/2023","13.99","14.76","15.00","13.11","70.33K","-2.64%"
"03/09/2023","14.37","14.80","14.80","14.00","489.22K","-2.71%"
"03/08/2023","14.77","15.39","15.39","14.51","178.81K","-3.84%"
"03/07/2023","15.36","16.00","16.15","15.00","42.38K","-3.94%"
"03/06/2023","15.99","16.23","16.23","15.50","14.92K","0.00%"
"03/05/2023","15.99","16.15","16.35","14.22","12.20K","0.00%"
"03/02/2023","15.99","16.40","16.50","15.52","37.60K","-2.20%"
"03/01/2023","16.35","16.67","16.70","16.01","925.83K","-0.61%"
"02/28/2023","16.45","16.50","16.75","16.05","8.17K","0.00%"
"02/27/2023","16.45","16.40","16.80","16.21","18.23K","0.30%"
"02/26/2023","16.40","16.70","16.75","16.13","7.00K","0.00%"
"02/23/2023","16.40","16.80","16.80","16.10","6.74K","0.00%"
"02/22/2023","16.40","16.50","17.00","16.40","9.56K","0.00%"
"02/21/2023","16.40","16.70","16.75","16.00","835.32K","-1.68%"
"02/20/2023","16.68","17.29","17.50","15.80","24.05K","-1.18%"
"02/19/2023","16.88","17.60","17.79","16.80","39.94K","-3.82%"
"02/16/2023","17.55","17.90","17.90","17.50","815.26K","-1.40%"
"02/15/2023","17.80","17.60","17.80","17.52","193.89K","1.60%"
"02/14/2023","17.52","17.50","17.70","17.47","303.71K","0.34%"
"02/13/2023","17.46","17.10","17.50","17.00","963.64K","0.87%"
"02/12/2023","17.31","17.20","17.50","17.01","32.77K","0.17%"
"02/09/2023","17.28","16.99","17.50","16.65","1.96M","1.71%"
"02/08/2023","16.99","17.00","17.20","16.50","839.15K","-0.18%"
"02/07/2023","17.02","16.35","17.13","16.00","474.36K","2.47%"
"02/06/2023","16.61","16.65","16.70","15.23","14.72K","0.00%"
"02/05/2023","16.61","16.70","16.70","16.16","159.72K","-0.89%"
"02/02/2023","16.76","15.10","16.98","14.75","442.21K","10.99%"
"02/01/2023","15.10","15.00","15.10","14.70","707.79K","0.94%"
