"Date","Price","Open","High","Low","Vol.","Change %"
"07/27/2023","43.11","43.01","43.76","43.01","16.15K","-0.87%"
"07/26/2023","43.49","42.30","43.50","42.00","135.41K","2.93%"
"07/25/2023","42.25","42.72","43.28","41.50","24.77K","-1.05%"
"07/24/2023","42.70","43.46","43.69","42.66","34.02K","-1.39%"
"07/19/2023","43.30","42.94","43.60","42.51","145.46K","1.83%"
"07/18/2023","42.52","42.00","42.95","42.00","37.28K","1.43%"
"07/17/2023","41.92","42.41","42.74","41.52","59.82K","-0.57%"
"07/16/2023","42.16","42.72","43.10","42.10","82.86K","-0.40%"
"07/13/2023","42.33","41.28","42.88","41.01","177.00K","2.47%"
"07/12/2023","41.31","41.35","41.48","40.75","31.21K","0.71%"
"07/11/2023","41.02","42.50","42.50","40.05","89.06K","-2.31%"
"07/10/2023","41.99","39.01","42.00","37.77","156.72K","7.67%"
"07/09/2023","39.00","41.70","41.70","38.00","229.23K","-6.47%"
"07/06/2023","41.70","42.10","42.75","41.50","72.40K","-0.88%"
"07/05/2023","42.07","42.50","42.50","42.03","38.14K","-0.07%"
"07/04/2023","42.10","42.80","42.90","42.01","41.70K","-1.57%"
"06/26/2023","42.77","42.60","43.25","42.50","39.43K","0.47%"
"06/25/2023","42.57","43.39","43.39","42.10","94.88K","-1.00%"
"06/22/2023","43.00","43.37","43.37","42.80","55.41K","0.05%"
"06/21/2023","42.98","44.41","44.69","42.73","79.80K","-2.63%"
"06/20/2023","44.14","43.60","44.89","43.50","261.41K","1.24%"
"06/19/2023","43.60","43.20","45.00","43.01","226.21K","1.16%"
"06/18/2023","43.10","43.01","43.50","43.00","40.24K","0.23%"
"06/15/2023","43.00","43.00","43.46","42.20","105.31K","-0.94%"
"06/14/2023","43.41","43.11","43.84","43.11","38.93K","0.25%"
"06/13/2023","43.30","43.60","43.99","43.10","64.20K","-0.80%"
"06/12/2023","43.65","43.50","44.00","43.42","42.83K","0.53%"
