"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2023","30.00","30.10","30.25","29.95","133.98K","-0.23%"
"08/01/2023","30.07","30.19","30.49","30.00","111.43K","-0.23%"
"07/31/2023","30.14","30.10","30.31","30.00","84.61K","0.23%"
"07/30/2023","30.07","30.30","30.59","30.00","88.76K","-0.96%"
"07/27/2023","30.36","30.40","30.70","30.30","60.58K","0.16%"
"07/26/2023","30.31","30.51","30.90","30.30","54.68K","-0.62%"
"07/25/2023","30.50","31.08","31.08","30.45","62.35K","-1.04%"
"07/24/2023","30.82","31.10","31.19","30.80","40.01K","-1.06%"
"07/19/2023","31.15","31.13","31.59","30.90","121.72K","0.48%"
"07/18/2023","31.00","30.92","31.40","30.70","175.24K","0.23%"
"07/17/2023","30.93","30.89","31.39","30.88","43.72K","0.13%"
"07/16/2023","30.89","31.12","31.50","30.51","81.46K","0.10%"
"07/13/2023","30.86","31.00","31.12","30.70","99.89K","0.16%"
"07/12/2023","30.81","31.00","31.49","30.61","37.18K","-0.55%"
"07/11/2023","30.98","31.00","31.40","30.70","75.62K","0.26%"
"07/10/2023","30.90","30.29","30.95","30.20","55.91K","2.49%"
"07/09/2023","30.15","31.15","31.28","30.11","77.52K","-2.96%"
"07/06/2023","31.07","31.74","31.88","31.01","109.08K","-1.71%"
"07/05/2023","31.61","32.03","32.03","31.60","55.14K","-0.57%"
"07/04/2023","31.79","32.05","32.40","31.72","53.89K","-0.69%"
"06/26/2023","32.01","31.70","32.10","31.40","122.88K","0.88%"
"06/25/2023","31.73","32.23","32.25","31.62","43.52K","0.09%"
"06/22/2023","31.70","32.00","32.20","31.51","147.62K","-0.72%"
"06/21/2023","31.93","32.49","32.60","31.90","152.25K","-1.78%"
"06/20/2023","32.51","32.55","32.73","32.50","65.13K","-0.03%"
"06/19/2023","32.52","33.00","33.24","32.40","128.67K","-1.09%"
"06/18/2023","32.88","33.00","33.58","32.76","545.32K","0.61%"
"06/15/2023","32.68","31.99","33.30","31.90","683.00K","2.51%"
"06/14/2023","31.88","31.90","32.15","31.81","86.63K","0.06%"
"06/13/2023","31.86","31.81","32.50","31.81","108.87K","0.09%"
"06/12/2023","31.83","32.27","32.27","31.83","35.13K","-0.41%"
"06/11/2023","31.96","31.81","32.35","31.81","129.47K","0.09%"
"06/08/2023","31.93","32.02","32.45","31.80","176.56K","-0.28%"
"06/07/2023","32.02","32.95","32.95","32.00","153.27K","-1.99%"
"06/06/2023","32.67","32.60","33.00","32.50","132.24K","0.49%"
"06/05/2023","32.51","32.54","33.10","32.00","389.78K","0.46%"
"06/04/2023","32.36","32.70","32.97","32.31","123.29K","-0.34%"
"06/01/2023","32.47","32.64","33.00","32.45","200.65K","-0.73%"
"05/31/2023","32.71","33.00","33.30","32.60","224.71K","-0.37%"
"05/30/2023","32.83","32.39","33.30","32.30","417.32K","1.39%"
"05/29/2023","32.38","32.66","32.85","32.21","103.40K","-0.40%"
"05/28/2023","32.51","32.18","33.38","31.86","285.80K","1.75%"
"05/25/2023","31.95","32.70","32.95","31.90","259.09K","-1.63%"
"05/24/2023","32.48","31.10","32.69","31.10","532.64K","4.54%"
"05/23/2023","31.07","31.12","31.29","30.50","149.39K","-0.19%"
"05/22/2023","31.13","31.25","31.47","31.06","63.31K","-0.26%"
"05/21/2023","31.21","31.44","31.44","31.05","54.95K","0.16%"
"05/18/2023","31.16","31.11","31.57","30.90","182.55K","0.32%"
"05/17/2023","31.06","31.63","31.94","31.02","164.76K","-1.58%"
"05/16/2023","31.56","32.11","32.11","31.35","161.36K","-1.59%"
"05/15/2023","32.07","32.65","33.00","32.01","181.54K","-1.32%"
"05/14/2023","32.50","32.00","32.60","32.00","144.00K","1.56%"
