"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2023","8.22","8.45","8.56","8.13","3.01M","-3.18%"
"08/01/2023","8.49","8.76","8.81","8.46","3.31M","-2.53%"
"07/31/2023","8.71","8.78","8.88","8.68","2.64M","-0.80%"
"07/30/2023","8.78","8.70","8.84","8.65","1.62M","1.15%"
"07/27/2023","8.68","8.70","8.76","8.63","1.11M","-0.69%"
"07/26/2023","8.74","8.82","8.84","8.68","1.06M","-0.23%"
"07/25/2023","8.76","8.89","9.00","8.75","3.06M","-1.46%"
"07/24/2023","8.89","8.91","8.99","8.80","1.09M","0.00%"
"07/19/2023","8.89","9.09","9.12","8.87","3.25M","-2.31%"
"07/18/2023","9.10","8.77","9.10","8.75","5.24M","4.36%"
"07/17/2023","8.72","8.88","8.88","8.71","1.67M","-1.25%"
"07/16/2023","8.83","8.87","9.05","8.81","4.84M","0.00%"
"07/13/2023","8.83","8.60","8.84","8.60","2.94M","2.44%"
"07/12/2023","8.62","8.80","8.80","8.60","2.21M","-1.03%"
"07/11/2023","8.71","8.70","8.91","8.53","4.16M","1.16%"
"07/10/2023","8.61","8.40","8.65","8.13","2.62M","3.11%"
"07/09/2023","8.35","8.83","8.89","8.32","3.16M","-5.44%"
"07/06/2023","8.83","9.11","9.20","8.75","3.86M","-2.54%"
"07/05/2023","9.06","9.22","9.30","9.05","4.60M","-0.98%"
"07/04/2023","9.15","9.18","9.26","9.03","6.55M","1.33%"
"06/26/2023","9.03","8.77","9.10","8.77","12.92M","3.20%"
"06/25/2023","8.75","8.62","8.84","8.62","8.17M","3.18%"
"06/22/2023","8.48","8.42","8.48","8.33","1.66M","0.83%"
"06/21/2023","8.41","8.56","8.63","8.35","2.39M","-1.87%"
"06/20/2023","8.57","8.68","8.80","8.57","2.57M","-0.46%"
"06/19/2023","8.61","8.86","8.95","8.56","2.98M","-2.71%"
"06/18/2023","8.85","8.59","8.88","8.43","4.20M","3.87%"
"06/15/2023","8.52","8.74","8.74","8.48","2.62M","-1.39%"
"06/14/2023","8.64","8.84","8.88","8.62","3.27M","-1.37%"
"06/13/2023","8.76","8.78","9.03","8.74","9.78M","0.00%"
"06/12/2023","8.76","8.70","8.83","8.57","3.83M","1.15%"
"06/11/2023","8.66","8.63","9.12","8.53","11.86M","2.36%"
"06/08/2023","8.46","8.36","8.66","8.35","7.08M","1.44%"
"06/07/2023","8.34","8.76","8.82","8.25","11.94M","-3.92%"
"06/06/2023","8.68","7.94","8.70","7.86","22.80M","12.00%"
"06/05/2023","7.75","7.78","7.94","7.73","2.48M","0.00%"
"06/04/2023","7.75","7.81","7.86","7.74","2.21M","-0.26%"
"06/01/2023","7.77","7.83","7.87","7.71","2.18M","0.00%"
"05/31/2023","7.77","7.95","8.00","7.77","3.85M","-1.27%"
"05/30/2023","7.87","7.76","8.04","7.71","7.38M","1.81%"
"05/29/2023","7.73","7.68","7.76","7.65","2.60M","0.78%"
"05/28/2023","7.67","7.71","7.75","7.66","2.19M","-0.13%"
"05/25/2023","7.68","7.80","7.84","7.66","3.28M","-1.41%"
"05/24/2023","7.79","7.72","7.80","7.67","3.97M","1.17%"
"05/23/2023","7.70","7.70","7.70","7.52","3.99M","0.26%"
"05/22/2023","7.68","7.85","7.88","7.67","3.88M","-1.54%"
"05/21/2023","7.80","7.94","7.98","7.79","5.72M","-1.27%"
"05/18/2023","7.90","7.78","7.90","7.66","5.12M","1.28%"
"05/17/2023","7.80","8.07","8.12","7.74","9.36M","-1.52%"
"05/16/2023","7.92","7.79","7.93","6.25","4.07M","1.93%"
"05/15/2023","7.77","7.98","8.10","7.75","6.50M","-2.26%"
"05/14/2023","7.95","7.76","7.96","7.63","5.13M","2.45%"
"05/11/2023","7.76","7.95","7.97","7.73","4.04M","-1.65%"
"05/10/2023","7.89","7.78","7.95","7.57","8.25M","2.20%"
"05/09/2023","7.72","8.05","8.15","7.71","11.81M","-2.53%"
"05/08/2023","7.92","7.61","7.92","7.61","8.03M","4.76%"
"05/07/2023","7.56","7.56","7.65","7.43","4.96M","0.00%"
"05/03/2023","7.56","7.80","7.87","7.46","8.06M","-2.20%"
"05/02/2023","7.73","7.85","7.96","7.64","7.35M","-1.78%"
"05/01/2023","7.87","8.10","8.20","7.81","10.50M","-2.36%"
"04/30/2023","8.06","8.11","8.42","8.02","15.65M","1.13%"
"04/27/2023","7.97","7.80","7.98","7.76","7.55M","3.10%"
"04/26/2023","7.73","7.75","7.89","7.60","6.23M","0.78%"
"04/19/2023","7.67","7.60","7.81","7.54","6.25M","1.99%"
"04/18/2023","7.52","7.25","7.71","7.15","11.53M","5.17%"
"04/13/2023","7.15","7.02","7.18","7.01","5.65M","2.00%"
"04/12/2023","7.01","7.08","7.20","6.98","7.94M","-0.57%"
"04/11/2023","7.05","6.78","7.11","6.75","6.14M","5.38%"
"04/10/2023","6.69","6.70","6.76","6.62","1.34M","0.45%"
"04/09/2023","6.66","6.78","6.80","6.62","1.93M","-1.62%"
"04/06/2023","6.77","6.91","6.96","6.70","3.29M","-1.88%"
"04/05/2023","6.90","7.14","7.15","6.88","3.84M","-3.36%"
"04/04/2023","7.14","7.14","7.25","7.00","4.99M","0.14%"
"04/03/2023","7.13","6.80","7.13","6.80","6.88M","5.47%"
"04/02/2023","6.76","6.75","6.80","6.65","1.64M","1.81%"
"03/30/2023","6.64","6.88","6.95","6.54","4.88M","-2.35%"
"03/29/2023","6.80","6.64","6.99","6.56","6.47M","3.82%"
"03/28/2023","6.55","6.34","6.64","6.16","3.35M","3.64%"
"03/27/2023","6.32","6.49","6.63","6.17","4.51M","-1.56%"
"03/26/2023","6.42","6.06","6.46","6.06","4.65M","7.90%"
"03/23/2023","5.95","5.84","5.99","5.79","1.11M","1.71%"
"03/22/2023","5.85","6.00","6.10","5.82","3.16M","-2.01%"
"03/21/2023","5.97","5.84","6.05","5.84","3.32M","5.29%"
"03/20/2023","5.67","5.37","5.79","5.32","3.08M","6.58%"
"03/19/2023","5.32","5.39","5.40","5.03","2.12M","-0.19%"
"03/16/2023","5.33","5.23","5.40","4.86","2.40M","2.30%"
"03/15/2023","5.21","5.87","6.06","4.82","4.30M","-10.17%"
"03/14/2023","5.80","5.79","5.84","5.35","2.64M","0.00%"
"03/13/2023","5.80","6.40","6.46","5.70","3.40M","-8.66%"
"03/12/2023","6.35","6.65","6.68","6.30","2.85M","-4.37%"
"03/09/2023","6.64","6.33","6.68","6.32","4.38M","4.90%"
"03/08/2023","6.33","6.36","6.54","6.20","2.62M","-2.47%"
"03/07/2023","6.49","6.70","6.72","6.45","1.87M","-2.84%"
"03/06/2023","6.68","6.87","6.90","6.67","1.99M","-1.04%"
"03/05/2023","6.75","6.90","6.90","6.70","1.63M","-1.46%"
"03/02/2023","6.85","6.85","6.98","6.81","2.96M","0.74%"
"03/01/2023","6.80","6.85","6.90","6.77","1.35M","0.15%"
"02/28/2023","6.79","6.85","6.89","6.73","1.50M","-0.59%"
"02/27/2023","6.83","6.88","6.98","6.81","2.67M","0.29%"
"02/26/2023","6.81","6.87","6.93","6.76","2.25M","0.44%"
"02/23/2023","6.78","6.75","6.81","6.55","2.63M","1.80%"
"02/22/2023","6.66","6.85","6.99","6.66","3.51M","-1.91%"
"02/21/2023","6.79","6.70","6.85","6.54","2.92M","1.34%"
"02/20/2023","6.70","7.04","7.13","6.66","3.41M","-4.56%"
"02/19/2023","7.02","7.23","7.29","7.01","3.07M","-2.09%"
"02/16/2023","7.17","7.18","7.29","7.14","7.71M","0.84%"
"02/15/2023","7.11","6.99","7.18","6.96","5.34M","2.30%"
"02/14/2023","6.95","7.05","7.11","6.88","3.18M","-0.14%"
"02/13/2023","6.96","6.95","7.14","6.79","4.57M","2.65%"
"02/12/2023","6.78","6.82","6.95","6.78","3.12M","0.00%"
"02/09/2023","6.78","6.55","6.86","6.55","5.55M","3.83%"
"02/08/2023","6.53","6.53","6.70","6.36","3.25M","0.15%"
"02/07/2023","6.52","6.50","6.64","6.47","3.01M","1.87%"
"02/06/2023","6.40","6.40","6.56","6.27","3.67M","2.24%"
"02/05/2023","6.26","6.75","6.85","6.14","5.15M","-6.98%"
"02/02/2023","6.73","6.92","7.04","6.71","1.23M","-2.32%"
"02/01/2023","6.89","6.90","7.00","6.72","1.89M","0.58%"
"01/31/2023","6.85","7.11","7.14","6.82","2.62M","-3.25%"
"01/30/2023","7.08","7.46","7.51","7.02","5.01M","-4.71%"
"01/29/2023","7.43","7.51","7.55","7.40","2.61M","-0.13%"
"01/25/2023","7.44","7.47","7.58","7.40","4.52M","0.81%"
"01/24/2023","7.38","7.48","7.57","7.36","4.30M","-0.40%"
"01/23/2023","7.41","7.49","7.57","7.37","4.64M","-0.27%"
"01/22/2023","7.43","7.47","7.64","7.40","7.62M","1.50%"
"01/19/2023","7.32","7.33","7.49","7.27","6.70M","0.00%"
"01/18/2023","7.32","7.69","7.78","7.27","9.00M","-4.06%"
"01/17/2023","7.63","7.84","7.92","7.59","6.96M","-1.29%"
"01/16/2023","7.73","7.80","8.08","7.68","11.10M","0.00%"
"01/15/2023","7.73","7.34","7.88","7.34","14.40M","7.06%"
"01/12/2023","7.22","7.01","7.25","6.84","9.93M","4.34%"
"01/11/2023","6.92","6.90","7.37","6.87","10.77M","1.02%"
"01/10/2023","6.85","6.98","7.13","6.80","8.27M","-1.44%"
"01/09/2023","6.95","6.80","7.14","6.79","13.37M","5.30%"
"01/05/2023","6.60","6.43","6.69","6.42","13.20M","3.12%"
"01/04/2023","6.40","6.21","6.44","5.90","9.51M","3.56%"
"01/03/2023","6.18","6.13","6.30","6.10","5.42M","1.81%"
"01/02/2023","6.07","5.95","6.09","5.93","3.14M","2.88%"
"12/29/2022","5.90","5.96","5.97","5.87","2.03M","0.00%"
"12/28/2022","5.90","5.87","5.99","5.87","2.79M","0.51%"
"12/27/2022","5.87","5.94","6.01","5.86","3.33M","-0.34%"
"12/26/2022","5.89","5.82","5.94","5.80","2.77M","2.61%"
"12/25/2022","5.74","5.90","5.93","5.70","2.48M","-2.88%"
"12/22/2022","5.91","6.10","6.15","5.89","4.03M","-1.83%"
"12/21/2022","6.02","5.87","6.06","5.80","5.04M","2.91%"
"12/20/2022","5.85","6.02","6.15","5.85","6.12M","-1.68%"
"12/19/2022","5.95","5.90","6.03","5.81","4.83M","1.36%"
"12/18/2022","5.87","6.10","6.13","5.87","7.36M","-3.45%"
"12/15/2022","6.08","6.41","6.51","6.00","10.38M","-4.25%"
"12/14/2022","6.35","6.50","6.65","6.33","8.51M","-1.24%"
"12/13/2022","6.43","6.30","6.59","6.30","6.72M","2.55%"
"12/12/2022","6.27","6.35","6.36","6.07","8.79M","-0.32%"
"12/11/2022","6.29","6.44","6.69","6.22","13.89M","1.13%"
"12/08/2022","6.22","6.02","6.32","5.98","11.47M","2.98%"
"12/07/2022","6.04","6.24","6.25","6.00","5.94M","-1.79%"
"12/06/2022","6.15","5.97","6.27","5.85","10.41M","3.02%"
"12/05/2022","5.97","6.16","6.30","5.85","10.37M","-1.97%"
"12/04/2022","6.09","5.91","6.15","5.85","15.03M","5.55%"
"12/01/2022","5.77","5.68","5.86","5.46","15.53M","1.23%"
"11/30/2022","5.70","6.18","6.20","5.57","23.52M","-7.01%"
"11/29/2022","6.13","6.13","6.40","6.01","16.99M","0.49%"
"11/28/2022","6.10","6.25","6.36","6.01","13.74M","-1.29%"
"11/27/2022","6.18","5.69","6.49","5.64","15.69M","11.35%"
"11/24/2022","5.55","5.18","5.65","5.12","13.11M","7.35%"
"11/23/2022","5.17","4.76","5.17","4.76","14.14M","9.77%"
"11/22/2022","4.71","4.82","4.89","4.69","5.96M","4.90%"
"11/21/2022","4.49","4.60","4.61","4.46","1.20M","-2.39%"
"11/20/2022","4.60","4.56","4.65","4.55","2.09M","1.10%"
"11/17/2022","4.55","4.62","4.65","4.53","1.57M","-1.09%"
"11/16/2022","4.60","4.56","4.67","4.53","3.09M","1.77%"
"11/15/2022","4.52","4.51","4.66","4.50","1.96M","0.22%"
"11/14/2022","4.51","4.47","4.58","4.47","1.66M","-0.44%"
"11/13/2022","4.53","4.58","4.59","4.48","2.13M","0.67%"
"11/10/2022","4.50","4.30","4.57","4.30","4.44M","4.41%"
"11/09/2022","4.31","4.40","4.45","4.26","1.81M","-2.05%"
"11/08/2022","4.40","4.58","4.59","4.38","2.50M","-3.08%"
"11/07/2022","4.54","4.63","4.65","4.47","3.04M","-1.09%"
"11/06/2022","4.59","4.72","4.72","4.55","1.94M","-1.50%"
"11/03/2022","4.66","4.50","4.76","4.45","6.15M","3.33%"
"11/02/2022","4.51","4.60","4.68","4.42","3.35M","-1.74%"
"11/01/2022","4.59","4.51","4.66","4.49","5.30M","2.00%"
"10/31/2022","4.50","4.38","4.56","4.29","3.78M","3.69%"
"10/30/2022","4.34","4.32","4.49","4.30","3.31M","0.46%"
"10/27/2022","4.32","4.31","4.45","4.25","5.14M","2.37%"
"10/26/2022","4.22","4.30","4.35","4.20","2.07M","-1.40%"
