"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2023","41.50","40.10","41.68","39.71","1.40M","3.75%"
"08/03/2023","40.00","39.60","40.18","39.51","343.90K","0.55%"
"08/02/2023","39.78","39.38","39.94","39.00","609.30K","1.43%"
"08/01/2023","39.22","40.00","40.40","39.00","827.70K","-1.95%"
"07/31/2023","40.00","39.50","40.00","39.13","724.46K","2.38%"
"07/30/2023","39.07","38.50","39.68","38.50","805.63K","1.74%"
"07/27/2023","38.40","39.50","39.65","38.15","1.32M","-2.46%"
"07/26/2023","39.37","40.79","40.90","39.35","910.60K","-3.27%"
"07/25/2023","40.70","38.88","41.13","38.88","1.35M","5.74%"
"07/24/2023","38.49","40.45","40.45","36.42","440.33K","-4.28%"
"07/19/2023","40.21","40.90","41.05","40.16","216.41K","-1.08%"
"07/18/2023","40.65","40.80","41.23","40.50","465.51K","-0.81%"
"07/17/2023","40.98","40.70","41.13","40.00","996.16K","0.94%"
"07/16/2023","40.60","40.35","41.30","40.35","492.28K","1.25%"
"07/13/2023","40.10","40.70","41.55","40.10","717.16K","-1.13%"
"07/12/2023","40.56","41.55","41.95","40.40","746.62K","-1.43%"
"07/11/2023","41.15","39.75","42.00","39.75","3.81M","5.51%"
"07/10/2023","39.00","36.00","40.00","36.00","1.24M","8.33%"
"07/09/2023","36.00","36.60","37.48","35.92","804.02K","-1.64%"
"07/06/2023","36.60","37.42","38.18","36.22","256.92K","-2.30%"
"07/05/2023","37.46","36.42","37.50","36.15","326.66K","2.91%"
"07/04/2023","36.40","36.20","36.60","35.90","278.82K","1.11%"
"06/26/2023","36.00","35.90","36.29","35.50","272.93K","1.15%"
"06/25/2023","35.59","36.00","37.00","35.52","632.95K","-1.06%"
"06/22/2023","35.97","35.99","36.40","35.00","545.57K","0.76%"
"06/21/2023","35.70","37.00","37.10","35.70","860.73K","-2.22%"
"06/20/2023","36.51","38.04","38.40","36.51","726.90K","-4.75%"
"06/19/2023","38.33","38.80","38.80","37.00","1.16M","-0.44%"
"06/18/2023","38.50","36.28","39.50","36.28","3.84M","6.89%"
"06/15/2023","36.02","35.97","36.15","35.26","939.60K","0.33%"
"06/14/2023","35.90","35.88","36.40","35.60","913.53K","1.41%"
"06/13/2023","35.40","35.50","36.09","34.80","1.08M","-0.23%"
"06/12/2023","35.48","35.85","35.99","35.40","135.52K","-0.28%"
"06/11/2023","35.58","35.00","35.93","34.76","564.72K","2.95%"
"06/08/2023","34.56","34.50","35.19","33.81","1.34M","0.73%"
"06/07/2023","34.31","36.39","36.40","33.60","2.64M","-4.83%"
