"Date","Price","Open","High","Low","Vol.","Change %"
"07/27/2023","24.71","24.95","25.00","24.70","89.21K","-0.48%"
"07/26/2023","24.83","25.05","25.09","24.60","132.73K","-0.68%"
"07/25/2023","25.00","25.27","25.44","24.91","202.03K","-1.15%"
"07/24/2023","25.29","25.50","25.65","25.10","490.54K","-1.02%"
"07/19/2023","25.55","25.46","25.60","25.35","547.24K","0.35%"
"07/18/2023","25.46","25.01","25.59","25.01","999.30K","1.43%"
"07/17/2023","25.10","24.99","25.30","24.73","1.24M","0.80%"
"07/16/2023","24.90","25.00","25.10","24.81","546.90K","0.36%"
"07/13/2023","24.81","24.50","24.90","24.45","723.26K","1.56%"
"07/12/2023","24.43","25.00","25.40","24.31","818.74K","-2.90%"
"07/11/2023","25.16","25.27","25.75","24.90","1.84M","1.21%"
"07/10/2023","24.86","24.28","25.38","24.03","1.38M","2.39%"
"07/09/2023","24.28","24.45","24.85","23.50","406.02K","-0.82%"
"07/06/2023","24.48","24.65","24.90","24.15","350.49K","-0.08%"
"07/05/2023","24.50","25.40","25.54","24.47","544.56K","-2.97%"
"07/04/2023","25.25","25.90","26.07","25.22","692.30K","-2.43%"
"06/26/2023","25.88","25.70","25.90","25.40","894.67K","0.31%"
"06/25/2023","25.80","25.16","25.90","25.16","645.33K","2.22%"
"06/22/2023","25.24","25.50","25.50","24.90","1.41M","-0.86%"
"06/21/2023","25.46","26.00","26.24","25.45","1.02M","-2.08%"
"06/20/2023","26.00","26.40","26.45","25.96","1.22M","-1.22%"
"06/19/2023","26.32","26.87","27.00","26.10","1.05M","-1.72%"
"06/18/2023","26.78","26.60","27.01","26.35","410.34K","0.64%"
"06/15/2023","26.61","27.46","27.46","26.30","1.31M","-3.10%"
"06/14/2023","27.46","27.75","27.90","26.90","1.42M","-0.87%"
"06/13/2023","27.70","26.39","27.70","26.35","2.53M","4.61%"
"06/12/2023","26.48","26.95","27.00","26.30","473.85K","-1.93%"
"06/11/2023","27.00","26.90","27.28","26.68","1.67M","0.56%"
"06/08/2023","26.85","25.90","27.13","25.85","3.55M","3.95%"
"06/07/2023","25.83","25.44","26.49","25.44","3.45M","1.53%"
"06/06/2023","25.44","25.09","26.00","25.00","2.79M","1.96%"
"06/05/2023","24.95","24.70","25.51","24.70","2.75M","1.84%"
"06/04/2023","24.50","24.20","24.55","24.10","757.99K","1.24%"
"06/01/2023","24.20","24.15","24.31","24.00","1.07M","-0.12%"
"05/31/2023","24.23","24.52","24.75","24.10","3.83M","-1.10%"
"05/30/2023","24.50","24.20","24.80","24.20","5.53M","2.13%"
"05/29/2023","23.99","24.30","24.30","23.73","1.01M","-1.03%"
"05/28/2023","24.24","23.77","24.33","23.77","4.38M","3.59%"
"05/25/2023","23.40","23.59","23.61","23.23","545.04K","-0.85%"
"05/24/2023","23.60","23.19","23.62","23.00","5.02M","2.61%"
"05/23/2023","23.00","22.90","23.19","22.73","1.42M","0.70%"
"05/22/2023","22.84","22.90","23.14","22.80","647.69K","-0.26%"
"05/21/2023","22.90","23.00","23.08","22.76","879.62K","0.44%"
"05/18/2023","22.80","22.99","23.10","22.72","1.16M","-0.61%"
"05/17/2023","22.94","22.75","23.30","22.74","2.15M","1.15%"
"05/16/2023","22.68","23.30","23.30","22.55","2.12M","-2.24%"
"05/15/2023","23.20","23.92","24.00","23.08","2.67M","-2.52%"
"05/14/2023","23.80","23.96","23.99","23.19","2.58M","2.99%"
"05/11/2023","23.11","23.20","23.69","23.00","4.42M","-0.13%"
"05/10/2023","23.14","23.20","23.38","22.90","1.80M","0.00%"
"05/09/2023","23.14","23.53","23.99","23.00","3.37M","-1.07%"
"05/08/2023","23.39","23.00","23.46","23.00","1.76M","1.83%"
"05/07/2023","22.97","23.35","23.35","22.90","723.49K","-1.50%"
"05/03/2023","23.32","23.33","23.60","23.26","431.16K","0.26%"
"05/02/2023","23.26","23.30","23.50","23.00","451.41K","0.13%"
"05/01/2023","23.23","24.25","24.48","23.10","1.28M","-4.09%"
"04/30/2023","24.22","24.51","25.00","24.22","1.64M","-1.30%"
"04/27/2023","24.54","24.60","24.72","24.40","1.89M","0.16%"
"04/26/2023","24.50","24.75","24.79","24.25","1.26M","-1.25%"
"04/19/2023","24.81","25.04","25.19","24.75","782.36K","-0.04%"
"04/18/2023","24.82","24.72","25.39","24.55","2.03M","-3.80%"
"04/13/2023","25.80","24.87","25.80","24.80","2.22M","3.95%"
"04/12/2023","24.82","24.91","25.15","24.70","1.20M","-0.16%"
"04/11/2023","24.86","24.65","24.93","24.54","394.49K","1.30%"
"04/10/2023","24.54","23.90","24.63","23.90","1.01M","3.33%"
"04/09/2023","23.75","24.01","24.19","23.62","540.06K","-1.04%"
"04/06/2023","24.00","24.51","24.65","23.92","940.70K","-2.04%"
"04/05/2023","24.50","24.96","24.96","24.15","914.20K","-1.69%"
"04/04/2023","24.92","25.48","25.49","24.75","944.35K","-1.27%"
"04/03/2023","25.24","25.00","25.39","25.00","887.16K","1.61%"
"04/02/2023","24.84","24.75","25.20","24.33","945.78K","0.57%"
"03/30/2023","24.70","24.93","25.40","23.53","2.96M","0.82%"
"03/29/2023","24.50","22.80","25.00","22.78","3.72M","7.41%"
"03/28/2023","22.81","22.90","23.12","22.50","2.36M","-0.04%"
"03/27/2023","22.82","22.81","22.95","22.69","1.50M","0.57%"
"03/26/2023","22.69","22.70","23.00","22.49","1.30M","1.29%"
"03/23/2023","22.40","22.00","22.75","21.85","1.39M","1.68%"
