"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2023","6.60","6.40","6.62","6.40","1.40M","3.61%"
"08/03/2023","6.37","6.40","6.50","6.33","1.90M","-0.31%"
"08/02/2023","6.39","6.79","6.80","6.30","4.40M","-5.89%"
"08/01/2023","6.79","6.71","6.80","6.68","3.28M","1.34%"
"07/31/2023","6.70","6.48","6.70","6.48","2.70M","3.24%"
"07/30/2023","6.49","6.36","6.66","6.36","2.54M","2.04%"
"07/27/2023","6.36","6.46","6.50","6.33","417.42K","-1.09%"
"07/26/2023","6.43","6.45","6.49","6.36","679.44K","0.00%"
"07/25/2023","6.43","6.50","6.55","6.42","1.01M","-0.92%"
"07/24/2023","6.49","6.54","6.62","6.48","1.84M","-0.15%"
"07/19/2023","6.50","6.59","6.64","6.46","2.77M","-0.61%"
"07/18/2023","6.54","6.43","6.67","6.43","6.42M","1.71%"
"07/17/2023","6.43","6.28","6.49","6.21","2.11M","2.72%"
"07/16/2023","6.26","6.35","6.40","6.19","1.23M","-0.95%"
"07/13/2023","6.32","6.15","6.41","6.15","2.44M","3.27%"
"07/12/2023","6.12","6.20","6.25","6.10","802.68K","-0.65%"
"07/11/2023","6.16","6.20","6.29","6.12","1.88M","0.16%"
"07/10/2023","6.15","5.95","6.16","5.90","1.73M","3.19%"
"07/09/2023","5.96","6.35","6.39","5.96","1.34M","-5.99%"
"07/06/2023","6.34","6.27","6.53","6.27","2.07M","1.12%"
"07/05/2023","6.27","6.37","6.48","6.20","2.84M","-1.42%"
"07/04/2023","6.36","6.53","6.65","6.33","4.06M","-1.85%"
"06/26/2023","6.48","6.37","6.53","6.37","2.04M","1.73%"
"06/25/2023","6.37","6.62","6.70","6.37","3.76M","-3.78%"
"06/22/2023","6.62","6.43","6.79","6.30","11.87M","3.28%"
"06/21/2023","6.41","6.36","6.55","6.35","7.05M","0.94%"
"06/20/2023","6.35","6.09","6.50","6.07","19.09M","4.61%"
"06/19/2023","6.07","6.12","6.27","5.98","13.45M","1.17%"
"06/18/2023","6.00","6.07","6.09","5.98","2.80M","0.50%"
"06/15/2023","5.97","6.00","6.12","5.88","6.97M","0.34%"
"06/14/2023","5.95","6.15","6.19","5.86","10.98M","-2.62%"
"06/13/2023","6.11","5.77","6.24","5.72","31.49M","6.26%"
"06/12/2023","5.75","5.65","5.80","5.64","8.86M","2.50%"
"06/11/2023","5.61","5.47","5.65","5.43","7.56M","4.66%"
"06/08/2023","5.36","5.40","5.44","5.30","2.03M","0.75%"
"06/07/2023","5.32","5.41","5.51","5.31","2.88M","-1.30%"
"06/06/2023","5.39","5.42","5.48","5.38","2.11M","-0.37%"
"06/05/2023","5.41","5.56","5.57","5.41","2.71M","-5.09%"
"05/30/2023","5.70","5.65","5.78","5.61","6.30M","1.24%"
"05/29/2023","5.63","5.68","5.68","5.59","4.28M","0.36%"
