"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2023","12.58","12.84","12.85","12.52","495.75K","-1.72%"
"05/23/2023","12.80","12.59","12.96","12.50","1.48M","1.27%"
"05/22/2023","12.64","12.49","12.74","12.39","373.78K","2.93%"
"05/21/2023","12.28","12.00","12.75","12.00","195.47K","2.76%"
"05/18/2023","11.95","12.20","12.20","11.85","133.72K","-1.40%"
"05/17/2023","12.12","12.20","12.39","12.11","163.32K","-0.33%"
"05/16/2023","12.16","12.48","12.50","12.10","129.94K","-2.56%"
"05/15/2023","12.48","12.80","12.90","12.45","460.66K","-1.73%"
"05/14/2023","12.70","13.44","13.44","12.51","872.39K","-4.15%"
"05/11/2023","13.25","13.40","13.45","13.01","3.30M","-1.41%"
"05/10/2023","13.44","13.55","13.55","13.21","639.63K","-0.67%"
"05/09/2023","13.53","13.65","13.69","13.40","425.61K","-0.37%"
"05/08/2023","13.58","13.65","13.75","13.57","578.57K","-0.66%"
"05/07/2023","13.67","13.45","13.70","13.41","248.75K","0.81%"
"05/03/2023","13.56","13.41","13.60","13.20","698.52K","1.19%"
"05/02/2023","13.40","13.42","13.50","13.20","1.29M","-0.07%"
"05/01/2023","13.41","13.50","13.58","13.21","1.52M","-0.52%"
"04/30/2023","13.48","13.23","13.60","13.20","2.11M","2.28%"
"04/27/2023","13.18","13.37","13.45","13.12","300.91K","-0.75%"
"04/26/2023","13.28","13.35","13.48","13.20","88.72K","0.45%"
"04/19/2023","13.22","13.10","13.40","12.75","224.45K","-0.30%"
"04/18/2023","13.26","12.60","13.49","12.50","264.85K","4.16%"
"04/13/2023","12.73","12.62","12.99","12.60","425.29K","0.87%"
"04/12/2023","12.62","12.80","12.94","12.50","471.06K","-1.56%"
"04/11/2023","12.82","12.20","13.00","12.13","1.55M","4.82%"
"04/10/2023","12.23","12.20","12.30","12.05","429.70K","0.58%"
"04/09/2023","12.16","12.02","12.55","12.01","1.40M","1.25%"
"04/06/2023","12.01","11.71","12.14","11.71","1.36M","2.74%"
"04/05/2023","11.69","11.20","11.69","11.01","3.94M","3.63%"
"04/04/2023","11.28","11.15","11.35","10.90","1.55M","1.17%"
"04/03/2023","11.15","11.12","11.23","10.97","830.20K","-0.36%"
"04/02/2023","11.19","10.99","11.19","10.86","1.05M","2.10%"
"03/30/2023","10.96","11.00","11.29","10.77","1.09M","-0.36%"
"03/29/2023","11.00","10.50","11.20","10.48","2.14M","5.16%"
"03/28/2023","10.46","10.20","10.75","9.98","820.61K","2.55%"
"03/27/2023","10.20","9.65","10.29","9.50","3.62M","6.25%"
"03/26/2023","9.60","9.49","9.69","9.32","739.24K","2.35%"
"03/23/2023","9.38","9.20","9.48","9.00","106.60K","2.63%"
"03/22/2023","9.14","9.40","9.59","8.50","268.14K","-2.14%"
"03/21/2023","9.34","9.20","9.41","9.06","172.71K","2.86%"
"03/20/2023","9.08","8.91","9.20","8.85","299.67K","1.91%"
"03/19/2023","8.91","8.57","9.07","8.10","475.07K","4.21%"
"03/16/2023","8.55","8.70","8.90","7.99","219.71K","4.78%"
"03/15/2023","8.16","9.16","9.45","7.30","405.66K","-10.53%"
"03/14/2023","9.12","9.20","9.39","8.91","218.12K","1.00%"
"03/13/2023","9.03","9.40","9.75","8.96","283.10K","-3.53%"
"03/12/2023","9.36","10.15","10.17","9.25","381.96K","-6.59%"
"03/09/2023","10.02","10.30","10.35","9.75","462.05K","-2.72%"
"03/08/2023","10.30","10.25","10.45","10.15","287.95K","-0.10%"
"03/07/2023","10.31","10.60","10.62","10.20","277.94K","-2.18%"
"03/06/2023","10.54","10.68","10.75","10.25","496.29K","1.54%"
"03/05/2023","10.38","10.64","10.68","10.10","254.51K","-1.14%"
"03/02/2023","10.50","10.60","10.70","10.47","205.16K","-0.57%"
"03/01/2023","10.56","10.82","10.82","10.50","400.12K","-1.03%"
"02/28/2023","10.67","10.91","11.09","10.61","104.80K","-2.82%"
"02/27/2023","10.98","11.00","11.15","10.90","244.88K","0.46%"
"02/26/2023","10.93","10.78","11.00","10.70","164.21K","3.02%"
"02/23/2023","10.61","10.60","10.70","10.43","313.73K","0.57%"
"02/22/2023","10.55","11.00","11.15","10.50","421.22K","-4.09%"
"02/21/2023","11.00","11.00","11.16","10.80","539.41K","-1.43%"
"02/20/2023","11.16","11.15","11.48","10.90","1.15M","0.09%"
"02/19/2023","11.15","11.60","11.73","11.01","633.13K","-3.46%"
"02/16/2023","11.55","11.76","11.80","11.42","337.09K","-1.79%"
"02/15/2023","11.76","11.23","11.80","11.17","2.07M","5.09%"
"02/14/2023","11.19","10.40","11.34","10.40","1.76M","7.70%"
"02/13/2023","10.39","10.60","10.70","10.34","748.33K","-1.42%"
"02/12/2023","10.54","10.78","10.88","10.50","884.70K","-0.57%"
"02/09/2023","10.60","10.51","10.75","10.45","1.18M","2.61%"
"02/08/2023","10.33","10.87","11.07","10.30","1.11M","-5.14%"
"02/07/2023","10.89","10.74","11.40","10.71","1.68M","1.11%"
"02/06/2023","10.77","10.48","10.99","10.21","1.41M","4.36%"
"02/05/2023","10.32","10.61","10.69","10.00","958.40K","-1.71%"
"02/02/2023","10.50","10.30","10.74","10.21","2.29M","2.74%"
"02/01/2023","10.22","10.15","10.40","10.05","1.32M","1.39%"
"01/31/2023","10.08","10.12","10.65","10.01","2.33M","-1.56%"
"01/30/2023","10.24","10.61","10.70","9.92","3.06M","-4.21%"
"01/29/2023","10.69","9.73","10.75","9.73","6.66M","10.09%"
"01/25/2023","9.71","9.25","9.80","9.09","3.49M","5.77%"
"01/24/2023","9.18","9.20","9.23","9.02","1.06M","1.32%"
"01/23/2023","9.06","9.49","9.67","9.04","1.78M","-3.31%"
"01/22/2023","9.37","9.50","10.29","9.35","11.30M","6.00%"
"01/19/2023","8.84","8.62","8.90","8.52","1.01M","2.55%"
"01/18/2023","8.62","8.77","8.89","8.60","940.33K","-1.15%"
"01/17/2023","8.72","8.41","8.93","8.40","1.68M","3.93%"
"01/16/2023","8.39","8.43","8.65","8.27","1.36M","-0.12%"
"01/15/2023","8.40","7.85","8.40","7.80","1.74M","7.28%"
"01/12/2023","7.83","8.17","8.20","7.77","1.13M","-2.37%"
"01/11/2023","8.02","8.15","8.50","7.93","2.02M","-1.60%"
"01/10/2023","8.15","8.70","8.70","8.03","1.72M","-5.12%"
"01/09/2023","8.59","8.88","9.00","8.52","984.34K","-3.16%"
"01/05/2023","8.87","9.20","9.47","8.80","1.91M","-2.42%"
"01/04/2023","9.09","9.45","9.49","8.60","819.14K","-3.30%"
"01/03/2023","9.40","9.59","9.69","9.40","891.12K","-1.98%"
"01/02/2023","9.59","9.70","9.75","9.55","330.37K","-2.04%"
"12/29/2022","9.79","9.37","9.80","9.31","2.15M","4.71%"
"12/28/2022","9.35","9.40","9.40","9.10","3.33M","0.75%"
"12/27/2022","9.28","9.40","9.60","9.20","2.29M","-0.75%"
"12/26/2022","9.35","9.10","9.46","9.10","1.15M","2.86%"
"12/25/2022","9.09","8.90","9.21","8.52","1.51M","2.02%"
"12/22/2022","8.91","9.00","9.30","8.85","4.68M","0.11%"
"12/21/2022","8.90","8.16","8.99","8.15","6.58M","7.75%"
"12/20/2022","8.26","8.20","8.36","8.08","1.27M","2.99%"
"12/19/2022","8.02","8.26","8.48","7.91","1.81M","-3.02%"
"12/18/2022","8.27","8.10","8.80","8.01","7.64M","2.10%"
"12/15/2022","8.10","7.36","8.25","7.34","14.10M","10.20%"
"12/14/2022","7.35","7.26","7.39","7.19","3.02M","2.08%"
"12/13/2022","7.20","7.10","7.20","6.98","6.28M","2.13%"
"12/12/2022","7.05","7.15","7.15","6.92","843.63K","-1.40%"
"12/11/2022","7.15","7.34","7.37","7.10","591.52K","-1.92%"
"12/08/2022","7.29","7.23","7.40","7.13","1.98M","0.83%"
"12/07/2022","7.23","7.15","7.60","7.15","9.40M","1.12%"
"12/06/2022","7.15","7.10","7.23","7.03","4.87M","0.70%"
"12/05/2022","7.10","7.00","7.27","7.00","3.44M","1.87%"
"12/04/2022","6.97","6.78","7.04","6.70","3.03M","4.81%"
"12/01/2022","6.65","6.75","6.90","6.60","1.95M","0.76%"
"11/30/2022","6.60","6.80","6.81","6.50","9.37M","-1.49%"
"11/29/2022","6.70","6.89","6.90","6.68","3.44M","-1.47%"
"11/28/2022","6.80","6.98","7.04","6.79","417.44K","-2.30%"
"11/27/2022","6.96","6.94","7.00","6.81","266.62K","0.14%"
"11/24/2022","6.95","7.00","7.08","6.92","180.14K","-0.57%"
"11/23/2022","6.99","7.12","7.12","6.98","216.29K","-0.43%"
"11/22/2022","7.02","7.15","7.18","6.95","181.46K","-1.82%"
"11/21/2022","7.15","7.12","7.20","7.09","34.36K","0.00%"
"11/20/2022","7.15","7.25","7.25","7.15","43.30K","-0.69%"
"11/17/2022","7.20","7.26","7.35","7.10","62.80K","-0.14%"
"11/16/2022","7.21","7.13","7.40","7.10","226.37K","1.12%"
"11/15/2022","7.13","7.11","7.14","7.10","16.62K","0.00%"
"11/14/2022","7.13","7.10","7.14","7.10","30.38K","0.00%"
"11/13/2022","7.13","7.05","7.15","7.03","48.59K","0.71%"
"11/10/2022","7.08","7.05","7.15","6.99","87.77K","1.00%"
"11/09/2022","7.01","7.05","7.09","7.00","16.41K","0.00%"
"11/08/2022","7.01","7.10","7.10","7.00","65.92K","0.00%"
"11/07/2022","7.01","7.10","7.14","6.99","173.83K","-0.28%"
"11/06/2022","7.03","7.15","7.28","7.00","90.93K","-0.99%"
"11/03/2022","7.10","7.36","7.36","7.01","148.03K","-3.53%"
"11/02/2022","7.36","7.47","7.47","7.35","507.28K","-0.27%"
"11/01/2022","7.38","7.57","7.57","7.31","110.46K","-4.65%"
"10/31/2022","7.74","7.80","7.87","7.65","183.99K","0.52%"
"10/30/2022","7.70","7.45","7.99","7.45","148.38K","4.05%"
"10/27/2022","7.40","7.15","7.45","7.14","152.41K","3.50%"
"10/26/2022","7.15","7.19","7.20","7.15","5.17K","0.00%"
"10/25/2022","7.15","7.19","7.20","7.13","13.92K","0.00%"
"10/24/2022","7.15","7.25","7.25","7.15","20.43K","0.00%"
"10/23/2022","7.15","7.20","7.20","7.14","104.59K","-0.69%"
"10/20/2022","7.20","7.20","7.20","7.12","1.72M","0.00%"
"10/19/2022","7.20","7.30","7.35","7.10","46.69K","-0.96%"
"10/18/2022","7.27","7.21","7.30","7.16","248.07K","0.83%"
"10/17/2022","7.21","7.18","7.23","7.12","1.75M","0.56%"
"10/16/2022","7.17","7.17","7.20","7.10","7.64K","0.00%"
"10/13/2022","7.17","7.30","7.30","6.90","57.24K","-0.69%"
"10/12/2022","7.22","7.22","7.22","6.80","31.00K","0.00%"
"10/11/2022","7.22","7.19","7.19","7.16","5.63K","0.00%"
"10/10/2022","7.22","7.28","7.28","7.16","7.10K","0.00%"
"10/09/2022","7.22","7.38","7.38","7.15","42.47K","-0.82%"
"10/05/2022","7.28","7.30","7.39","7.28","27.05K","0.00%"
"10/04/2022","7.28","7.37","7.40","7.18","9.21K","0.00%"
"10/03/2022","7.28","7.28","7.50","7.00","16.89K","0.00%"
"10/02/2022","7.28","7.27","7.38","6.80","65.14K","0.41%"
"09/29/2022","7.25","7.40","7.50","6.21","71.04K","-1.36%"
"09/28/2022","7.35","7.38","7.40","7.32","16.38K","0.00%"
"09/27/2022","7.35","7.33","7.39","7.30","12.37K","0.00%"
"09/26/2022","7.35","7.25","7.37","7.25","18.93K","0.00%"
"09/25/2022","7.35","7.29","7.37","7.20","21.91K","0.00%"
"09/22/2022","7.35","7.35","7.43","7.30","31.36K","0.00%"
"09/21/2022","7.35","7.47","7.50","7.35","38.39K","0.00%"
"09/20/2022","7.35","7.37","7.59","7.25","52.46K","1.38%"
"09/19/2022","7.25","7.37","7.37","7.06","24.04K","0.00%"
"09/18/2022","7.25","7.40","7.40","7.03","75.22K","-0.14%"
"09/15/2022","7.26","7.54","7.55","7.00","96.50K","-2.02%"
