"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2023","3.24","3.22","3.27","3.22","5.87M","0.93%"
"05/23/2023","3.21","3.20","3.22","3.16","3.37M","0.63%"
"05/22/2023","3.19","3.22","3.27","3.18","6.64M","-0.31%"
"05/21/2023","3.20","3.22","3.24","3.19","2.87M","0.00%"
"05/18/2023","3.20","3.15","3.20","3.10","7.31M","1.59%"
"05/17/2023","3.15","3.29","3.33","3.11","10.86M","-3.96%"
"05/16/2023","3.28","3.29","3.30","3.25","5.36M","-0.30%"
"05/15/2023","3.29","3.39","3.41","3.25","9.86M","-2.66%"
"05/14/2023","3.38","3.37","3.39","3.34","4.76M","0.30%"
"05/11/2023","3.37","3.41","3.44","3.35","7.23M","-1.46%"
"05/10/2023","3.42","3.39","3.43","3.35","10.40M","1.18%"
"05/09/2023","3.38","3.50","3.54","3.34","16.70M","-2.31%"
"05/08/2023","3.46","3.39","3.49","3.38","9.12M","2.37%"
"05/07/2023","3.38","3.40","3.40","3.34","5.18M","-0.29%"
"05/03/2023","3.39","3.43","3.47","3.36","6.17M","-0.88%"
"05/02/2023","3.42","3.44","3.48","3.39","5.10M","-0.29%"
"05/01/2023","3.43","3.57","3.58","3.43","9.84M","-3.65%"
"04/30/2023","3.56","3.63","3.71","3.53","23.46M","-1.66%"
"04/27/2023","3.62","3.59","3.63","3.56","22.25M","1.40%"
"04/26/2023","3.57","3.58","3.58","3.49","8.16M","0.28%"
"04/19/2023","3.56","3.57","3.64","3.55","24.11M","0.85%"
"04/18/2023","3.53","3.45","3.53","3.43","13.86M","2.32%"
"04/13/2023","3.45","3.42","3.48","3.40","8.94M","0.58%"
"04/12/2023","3.43","3.45","3.48","3.37","15.26M","-0.29%"
"04/11/2023","3.44","3.38","3.46","3.38","16.48M","2.69%"
"04/10/2023","3.35","3.30","3.35","3.30","6.59M","1.52%"
"04/09/2023","3.30","3.35","3.38","3.28","7.18M","-0.60%"
"04/06/2023","3.32","3.40","3.41","3.28","8.26M","-2.06%"
"04/05/2023","3.39","3.44","3.51","3.38","12.63M","-1.45%"
"04/04/2023","3.44","3.26","3.44","3.25","26.38M","6.50%"
"04/03/2023","3.23","3.20","3.26","3.15","12.45M","1.89%"
"04/02/2023","3.17","3.10","3.17","3.07","7.31M","3.59%"
"03/30/2023","3.06","3.16","3.17","3.05","5.49M","-1.92%"
