"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2023","10.72","10.74","10.89","10.65","960.28K","0.66%"
"05/23/2023","10.65","10.18","10.79","9.90","1.65M","5.55%"
"05/22/2023","10.09","10.11","10.36","10.06","893.33K","1.10%"
"05/21/2023","9.98","10.06","10.20","9.94","675.65K","-0.20%"
"05/18/2023","10.00","10.09","10.30","9.66","639.20K","-0.89%"
"05/17/2023","10.09","10.37","10.56","10.00","1.10M","-1.37%"
"05/16/2023","10.23","10.39","10.44","10.10","1.01M","-1.54%"
"05/15/2023","10.39","10.25","10.62","10.24","1.55M","1.46%"
"05/14/2023","10.24","9.90","10.36","9.80","1.53M","4.38%"
"05/11/2023","9.81","10.00","10.08","9.80","504.19K","-1.01%"
"05/10/2023","9.91","9.90","10.04","9.70","302.57K","0.10%"
"05/09/2023","9.90","10.11","10.29","9.87","688.37K","-1.79%"
"05/08/2023","10.08","9.77","10.10","9.77","557.95K","3.81%"
"05/07/2023","9.71","10.07","10.08","9.51","430.11K","-3.09%"
"05/03/2023","10.02","10.44","10.44","9.93","701.34K","-2.05%"
"05/02/2023","10.23","10.53","10.69","10.20","619.78K","-2.76%"
"05/01/2023","10.52","11.08","11.11","10.45","848.25K","-4.45%"
"04/30/2023","11.01","11.38","11.48","10.92","1.04M","-2.48%"
"04/27/2023","11.29","11.00","11.38","10.97","1.32M","3.01%"
"04/26/2023","10.96","11.00","11.20","10.90","668.57K","0.27%"
"04/19/2023","10.93","11.05","11.45","10.70","1.24M","0.46%"
"04/18/2023","10.88","10.61","10.99","10.61","460.23K","1.59%"
"04/13/2023","10.71","10.67","10.82","10.60","442.80K","0.28%"
"04/12/2023","10.68","10.81","10.97","10.60","419.87K","-1.66%"
"04/11/2023","10.86","10.69","10.99","10.60","503.63K","2.84%"
"04/10/2023","10.56","10.85","11.00","10.51","481.23K","-1.68%"
"04/09/2023","10.74","10.79","11.06","10.70","343.69K","-1.74%"
"04/06/2023","10.93","11.39","11.48","10.70","1.12M","-2.58%"
"04/05/2023","11.22","11.35","11.60","11.11","1.49M","0.36%"
"04/04/2023","11.18","10.75","11.29","10.72","1.35M","4.29%"
"04/03/2023","10.72","10.85","10.95","10.55","1.07M","1.80%"
"04/02/2023","10.53","10.29","10.70","10.29","253.50K","2.83%"
"03/30/2023","10.24","10.52","10.85","10.10","748.82K","-2.20%"
"03/29/2023","10.47","10.59","10.79","10.40","649.09K","0.00%"
"03/28/2023","10.47","10.43","10.66","10.06","800.37K","0.10%"
"03/27/2023","10.46","10.79","10.90","10.10","1.22M","-0.76%"
"03/26/2023","10.54","9.92","10.65","9.86","1.38M","7.33%"
"03/23/2023","9.82","9.90","10.10","9.60","533.92K","0.31%"
"03/22/2023","9.79","10.10","10.35","9.72","1.29M","-2.10%"
"03/21/2023","10.00","9.60","10.11","9.51","1.33M","4.82%"
"03/20/2023","9.54","9.03","9.88","9.00","1.16M","8.04%"
"03/19/2023","8.83","8.80","8.98","8.15","567.36K","3.76%"
"03/16/2023","8.51","8.53","8.97","7.98","675.24K","-2.63%"
"03/15/2023","8.74","10.07","10.33","8.10","915.25K","-12.25%"
"03/14/2023","9.96","9.70","10.09","9.51","799.07K","2.57%"
"03/13/2023","9.71","11.45","11.65","9.50","1.03M","-14.90%"
"03/12/2023","11.41","12.01","12.23","11.21","700.51K","-5.78%"
"03/09/2023","12.11","12.08","12.30","12.00","678.11K","0.83%"
"03/08/2023","12.01","12.25","12.40","11.90","1.05M","-2.04%"
"03/07/2023","12.26","12.67","12.81","12.20","1.25M","-1.61%"
"03/06/2023","12.46","12.40","12.89","12.40","1.05M","0.73%"
"03/05/2023","12.37","12.60","12.65","12.30","686.78K","-1.67%"
"03/02/2023","12.58","12.89","12.98","12.45","1.01M","-1.10%"
"03/01/2023","12.72","12.41","12.94","12.41","1.67M","2.66%"
"02/28/2023","12.39","12.50","12.70","12.30","1.40M","-0.48%"
"02/27/2023","12.45","12.99","13.09","12.39","1.60M","-2.12%"
"02/26/2023","12.72","12.59","12.85","12.40","1.11M","2.25%"
"02/23/2023","12.44","12.57","12.70","12.21","1.04M","0.40%"
"02/22/2023","12.39","12.46","13.05","12.22","3.39M","1.23%"
"02/21/2023","12.24","12.02","12.40","11.80","1.21M","2.86%"
"02/20/2023","11.90","12.50","12.67","11.80","868.78K","-4.80%"
"02/19/2023","12.50","12.95","13.10","12.34","1.29M","-3.18%"
"02/16/2023","12.91","13.21","13.49","12.88","1.95M","-2.27%"
"02/15/2023","13.21","14.03","14.20","13.12","4.31M","-5.84%"
"02/14/2023","14.03","13.70","14.40","13.70","2.41M","4.39%"
"02/13/2023","13.44","12.30","13.58","12.06","5.27M","10.98%"
"02/12/2023","12.11","12.29","12.68","11.90","1.42M","-1.30%"
"02/09/2023","12.27","12.38","12.64","12.10","2.09M","0.08%"
"02/08/2023","12.26","13.00","13.07","12.20","1.68M","-5.55%"
"02/07/2023","12.98","13.15","13.50","12.82","2.36M","-0.15%"
"02/06/2023","13.00","13.56","14.00","12.67","2.68M","-3.99%"
"02/05/2023","13.54","15.53","15.60","13.16","4.88M","-10.09%"
"02/02/2023","15.06","14.89","15.39","14.70","3.25M","2.45%"
"02/01/2023","14.70","14.70","15.08","14.50","2.12M","1.73%"
"01/31/2023","14.45","14.50","15.17","14.26","1.90M","-0.34%"
"01/30/2023","14.50","15.51","15.80","14.27","2.74M","-6.21%"
"01/29/2023","15.46","14.79","15.70","14.50","3.16M","7.36%"
"01/25/2023","14.40","14.20","14.69","14.12","3.17M","4.58%"
"01/24/2023","13.77","13.10","13.99","12.85","3.65M","6.09%"
"01/23/2023","12.98","13.30","13.66","12.90","1.90M","0.15%"
"01/22/2023","12.96","13.50","13.88","12.88","1.51M","-1.44%"
"01/19/2023","13.15","12.94","14.55","12.86","3.58M","1.62%"
"01/18/2023","12.94","14.40","14.73","12.80","4.38M","-7.70%"
"01/17/2023","14.02","12.75","14.99","12.13","4.81M","11.71%"
"01/16/2023","12.55","11.55","13.19","11.55","3.32M","13.37%"
"01/15/2023","11.07","9.40","11.07","9.40","3.21M","19.93%"
"01/12/2023","9.23","8.60","9.33","8.45","2.63M","7.83%"
"01/11/2023","8.56","8.65","9.12","8.44","1.52M","-1.04%"
"01/10/2023","8.65","8.23","8.90","8.12","2.52M","5.23%"
"01/09/2023","8.22","8.10","8.46","8.09","898.36K","2.62%"
"01/05/2023","8.01","7.84","8.09","7.84","677.79K","3.49%"
"01/04/2023","7.74","7.79","7.84","7.45","460.22K","0.91%"
"01/03/2023","7.67","7.52","7.76","7.52","464.54K","1.99%"
"01/02/2023","7.52","7.41","7.55","7.40","269.35K","2.31%"
"12/29/2022","7.35","7.48","7.54","7.33","277.98K","-1.47%"
"12/28/2022","7.46","7.35","7.49","7.30","296.08K","0.95%"
"12/27/2022","7.39","7.45","7.64","7.35","387.06K","0.14%"
"12/26/2022","7.38","7.37","7.48","7.26","235.08K","1.37%"
"12/25/2022","7.28","7.25","7.54","7.17","272.59K","-1.36%"
"12/22/2022","7.38","7.80","7.90","7.25","403.33K","-5.38%"
"12/21/2022","7.80","8.07","8.07","7.70","466.01K","-3.35%"
"12/20/2022","8.07","8.00","8.34","8.00","486.95K","-0.49%"
"12/19/2022","8.11","8.16","8.36","8.00","330.59K","-1.34%"
"12/18/2022","8.22","8.40","8.46","8.16","539.43K","-0.24%"
"12/15/2022","8.24","8.25","8.60","8.16","1.20M","0.73%"
"12/14/2022","8.18","8.25","8.51","8.15","1.03M","-0.37%"
"12/13/2022","8.21","8.09","8.30","8.09","682.30K","3.79%"
"12/12/2022","7.91","8.19","8.22","7.79","1.29M","-3.77%"
"12/11/2022","8.22","8.27","8.59","8.10","951.09K","-0.36%"
"12/08/2022","8.25","8.30","8.45","8.17","306.32K","0.49%"
"12/07/2022","8.21","8.30","8.65","8.16","974.79K","-0.24%"
"12/06/2022","8.23","7.75","8.40","7.75","1.32M","4.31%"
"12/05/2022","7.89","7.99","8.08","7.58","598.45K","-1.00%"
"12/04/2022","7.97","7.69","8.08","7.60","899.45K","5.56%"
"12/01/2022","7.55","7.48","7.80","7.30","896.71K","2.58%"
"11/30/2022","7.36","7.28","7.39","7.00","1.37M","0.55%"
"11/29/2022","7.32","7.30","7.56","7.27","646.69K","-0.41%"
"11/28/2022","7.35","7.12","7.55","7.04","1.95M","4.55%"
"11/27/2022","7.03","6.71","7.13","6.66","2.67M","5.24%"
"11/24/2022","6.68","6.60","6.70","6.50","1.12M","1.21%"
"11/23/2022","6.60","6.70","6.75","6.54","1.31M","-0.45%"
