"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2023","6.12","5.95","6.15","5.95","543.64K","2.17%"
"08/03/2023","5.99","5.92","6.05","5.85","800.68K","1.35%"
"08/02/2023","5.91","6.18","6.18","5.90","1.63M","-2.96%"
"08/01/2023","6.09","6.21","6.37","6.07","2.93M","-0.65%"
"07/31/2023","6.13","6.22","6.25","6.09","2.61M","-1.13%"
"07/30/2023","6.20","6.19","6.30","6.12","634.58K","0.00%"
"07/27/2023","6.20","6.19","6.27","6.10","1.32M","1.47%"
"07/26/2023","6.11","6.40","6.45","6.05","2.29M","-4.53%"
"07/25/2023","6.40","6.49","6.59","6.35","1.61M","-1.39%"
"07/24/2023","6.49","6.80","6.80","6.45","1.36M","-3.99%"
"07/19/2023","6.76","6.73","6.79","6.60","4.72M","0.90%"
"07/18/2023","6.70","6.51","7.00","6.50","6.90M","4.69%"
"07/17/2023","6.40","6.46","6.50","6.37","585.18K","-0.93%"
"07/16/2023","6.46","6.60","6.72","6.45","671.30K","-1.82%"
"07/13/2023","6.58","6.10","6.60","6.10","3.29M","6.13%"
"07/12/2023","6.20","6.15","6.27","6.12","623.02K","0.65%"
"07/11/2023","6.16","6.20","6.25","6.07","727.34K","0.16%"
"07/10/2023","6.15","5.75","6.19","5.55","954.40K","10.22%"
"07/09/2023","5.58","5.86","5.88","5.55","764.57K","-3.13%"
"07/06/2023","5.76","6.11","6.11","5.72","1.31M","-4.79%"
"07/05/2023","6.05","6.22","6.31","6.00","508.51K","-3.51%"
"07/04/2023","6.27","6.32","6.38","6.20","1.02M","-0.32%"
"06/26/2023","6.29","6.31","6.41","6.21","959.99K","-0.32%"
"06/25/2023","6.31","6.40","6.50","6.30","1.16M","-0.94%"
"06/22/2023","6.37","6.32","6.47","6.20","269.78K","0.79%"
"06/21/2023","6.32","6.52","6.58","6.30","416.85K","-2.92%"
"06/20/2023","6.51","6.49","6.65","6.46","1.66M","1.24%"
"06/19/2023","6.43","6.52","6.65","6.41","696.64K","-1.38%"
"06/18/2023","6.52","6.62","6.70","6.50","583.92K","0.31%"
"06/15/2023","6.50","6.73","6.83","6.50","860.48K","-2.99%"
"06/14/2023","6.70","6.86","7.05","6.67","2.54M","-2.19%"
"06/13/2023","6.85","6.69","6.86","6.59","2.00M","2.54%"
"06/12/2023","6.68","6.76","6.87","6.68","927.30K","-0.74%"
"06/11/2023","6.73","6.47","6.73","6.35","2.78M","5.98%"
"06/08/2023","6.35","6.50","6.50","6.33","1.00M","-0.78%"
"06/07/2023","6.40","6.56","6.88","6.37","2.81M","-1.54%"
"06/06/2023","6.50","6.91","6.91","6.48","1.85M","-4.69%"
"06/05/2023","6.82","7.01","7.12","6.73","1.37M","-2.01%"
"06/04/2023","6.96","7.28","7.28","6.96","2.17M","-0.29%"
"06/01/2023","6.98","7.10","7.20","6.97","2.03M","-0.29%"
"05/31/2023","7.00","7.31","7.59","6.96","5.16M","-3.18%"
"05/30/2023","7.23","7.00","7.40","7.00","3.93M","4.03%"
"05/29/2023","6.95","7.17","7.26","6.86","2.38M","-2.39%"
"05/28/2023","7.12","6.89","7.44","6.81","5.79M","4.71%"
"05/25/2023","6.80","6.35","6.85","6.20","5.38M","7.26%"
"05/24/2023","6.34","6.45","6.45","6.29","753.07K","-0.94%"
"05/23/2023","6.40","6.20","6.40","6.10","1.77M","4.40%"
"05/22/2023","6.13","6.04","6.40","5.94","4.84M","2.51%"
"05/21/2023","5.98","5.90","6.10","5.75","1.28M","4.00%"
"05/18/2023","5.75","5.82","5.89","5.60","1.00M","0.70%"
"05/17/2023","5.71","6.10","6.19","5.70","1.28M","-6.09%"
"05/16/2023","6.08","6.16","6.20","6.00","1.77M","-1.30%"
"05/15/2023","6.16","6.30","6.49","6.15","1.59M","-2.38%"
"05/14/2023","6.31","6.40","6.44","6.23","1.80M","-0.63%"
"05/11/2023","6.35","6.50","6.58","6.32","2.47M","-1.55%"
"05/10/2023","6.45","6.50","6.69","6.31","5.88M","0.78%"
"05/09/2023","6.40","6.30","6.75","6.28","10.19M","2.40%"
"05/08/2023","6.25","6.17","6.31","6.15","3.38M","2.63%"
"05/07/2023","6.09","6.18","6.20","6.01","1.08M","-0.65%"
"05/03/2023","6.13","6.20","6.38","6.06","2.56M","-0.49%"
"05/02/2023","6.16","6.10","6.29","6.03","1.99M","0.82%"
"05/01/2023","6.11","6.21","6.38","5.92","4.91M","-0.81%"
"04/30/2023","6.16","6.43","6.49","6.06","3.39M","-3.75%"
"04/27/2023","6.40","6.40","6.57","6.22","4.20M","1.11%"
"04/26/2023","6.33","5.86","6.96","5.70","13.52M","9.14%"
"04/19/2023","5.80","5.83","5.93","5.72","4.14M","0.00%"
"04/18/2023","5.80","5.63","5.98","5.51","3.52M","3.57%"
"04/13/2023","5.60","5.20","6.00","5.20","8.34M","6.67%"
"04/12/2023","5.25","5.27","5.28","5.15","1.23M","-0.19%"
"04/11/2023","5.26","5.22","5.29","5.13","2.89M","0.77%"
"04/10/2023","5.22","4.74","5.29","4.74","11.21M","11.54%"
"04/09/2023","4.68","4.70","4.74","4.54","600.89K","-0.21%"
"04/06/2023","4.69","4.78","4.86","4.66","986.40K","-1.88%"
"04/05/2023","4.78","5.00","5.00","4.73","3.64M","-3.63%"
"04/04/2023","4.96","4.66","5.00","4.50","11.29M","6.67%"
"04/03/2023","4.65","4.11","4.65","4.07","9.37M","13.69%"
"04/02/2023","4.09","3.94","4.20","3.90","4.42M","4.87%"
"03/30/2023","3.90","3.88","4.10","3.75","4.96M","2.36%"
"03/29/2023","3.81","3.80","3.88","3.77","1.65M","0.26%"
"03/28/2023","3.80","3.86","3.90","3.75","455.08K","-1.55%"
"03/27/2023","3.86","3.97","4.01","3.82","738.16K","-3.02%"
"03/26/2023","3.98","3.89","4.03","3.85","1.00M","3.65%"
"03/23/2023","3.84","3.80","3.88","3.77","407.01K","1.32%"
"03/22/2023","3.79","3.98","4.00","3.75","1.16M","-3.81%"
"03/21/2023","3.94","3.92","3.99","3.85","1.07M","3.14%"
"03/20/2023","3.82","3.67","4.00","3.64","2.00M","4.09%"
"03/19/2023","3.67","3.47","3.90","3.30","930.98K","6.38%"
"03/16/2023","3.45","3.40","3.50","3.20","990.59K","2.68%"
"03/15/2023","3.36","3.95","4.00","3.18","1.31M","-14.50%"
"03/14/2023","3.93","3.78","3.99","3.65","1.51M","5.36%"
"03/13/2023","3.73","4.00","4.06","3.70","2.32M","-6.05%"
"03/12/2023","3.97","4.13","4.13","3.91","1.64M","-3.64%"
"03/09/2023","4.12","3.89","4.14","3.89","2.82M","5.91%"
"03/08/2023","3.89","3.93","3.94","3.83","1.12M","-0.77%"
"03/07/2023","3.92","4.06","4.08","3.91","1.69M","-2.97%"
"03/06/2023","4.04","4.11","4.14","4.02","2.62M","-0.49%"
"03/05/2023","4.06","4.03","4.11","4.00","5.12M","1.75%"
"03/02/2023","3.99","4.15","4.19","3.97","5.93M","-4.32%"
"03/01/2023","4.17","4.35","4.39","4.11","7.58M","-3.02%"
"02/28/2023","4.30","4.54","4.54","4.27","11.01M","-4.87%"
"02/27/2023","4.52","4.59","4.67","4.49","4.74M","-1.53%"
"02/26/2023","4.59","4.63","4.66","4.57","3.25M","-0.65%"
"02/23/2023","4.62","4.74","4.77","4.45","6.45M","-0.65%"
"02/22/2023","4.65","4.85","4.88","4.61","432.39K","-3.13%"
"02/21/2023","4.80","4.81","4.84","4.70","645.35K","-0.41%"
"02/20/2023","4.82","4.95","5.00","4.80","727.96K","-3.60%"
"02/19/2023","5.00","4.94","5.00","4.85","2.41M","0.00%"
"02/16/2023","5.00","5.00","5.03","4.85","1.43M","-0.20%"
"02/15/2023","5.01","5.03","5.09","4.98","1.34M","1.21%"
"02/14/2023","4.95","4.92","5.01","4.92","914.58K","0.81%"
"02/13/2023","4.91","4.91","5.10","4.84","2.33M","0.20%"
"02/12/2023","4.90","4.82","4.90","4.72","1.26M","1.66%"
"02/09/2023","4.82","4.74","4.89","4.73","2.09M","2.55%"
"02/08/2023","4.70","4.70","4.74","4.64","955.07K","0.43%"
"02/07/2023","4.68","4.65","4.72","4.63","622.19K","1.52%"
"02/06/2023","4.61","4.50","4.72","4.46","607.26K","2.90%"
"02/05/2023","4.48","4.69","4.69","4.30","841.28K","-2.40%"
"02/02/2023","4.59","4.70","4.70","4.50","2.59M","-0.43%"
"02/01/2023","4.61","4.67","4.70","4.47","1.65M","-0.43%"
