"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2023","25.80","26.23","26.24","25.77","229.60K","-0.73%"
"08/01/2023","25.99","26.44","26.44","25.97","222.03K","-1.55%"
"07/31/2023","26.40","26.34","26.40","26.11","151.82K","0.80%"
"07/30/2023","26.19","26.42","26.42","26.05","155.58K","0.04%"
"07/27/2023","26.18","26.53","26.61","26.14","167.38K","-1.47%"
"07/26/2023","26.57","26.57","26.73","26.36","126.40K","0.00%"
"07/25/2023","26.57","26.75","26.94","26.50","132.42K","-0.60%"
"07/24/2023","26.73","26.83","27.20","26.70","112.54K","-0.48%"
"07/19/2023","26.86","26.70","26.91","26.61","77.75K","0.49%"
"07/18/2023","26.73","26.94","26.94","26.60","101.54K","0.22%"
"07/17/2023","26.67","26.69","26.98","26.51","158.03K","-0.07%"
"07/16/2023","26.69","27.00","27.10","26.65","161.56K","-1.15%"
"07/13/2023","27.00","26.70","27.20","26.70","214.36K","0.93%"
"07/12/2023","26.75","27.20","27.40","26.70","153.93K","-0.96%"
"07/11/2023","27.01","27.20","27.20","26.56","276.45K","-0.70%"
"07/10/2023","27.20","26.03","27.29","25.80","421.71K","4.62%"
"07/09/2023","26.00","27.78","27.78","26.00","466.66K","-6.47%"
"07/06/2023","27.80","28.15","28.17","27.66","787.54K","-1.28%"
"07/05/2023","28.16","28.24","28.46","27.90","659.00K","-0.14%"
"07/04/2023","28.20","27.10","28.48","27.10","1.86M","4.44%"
"06/26/2023","27.00","26.05","27.20","25.90","508.81K","3.65%"
"06/25/2023","26.05","26.00","26.25","25.95","520.86K","0.85%"
"06/22/2023","25.83","26.00","26.00","25.75","682.68K","-0.54%"
"06/21/2023","25.97","26.70","26.70","25.90","405.17K","-2.73%"
"06/20/2023","26.70","26.60","26.71","26.30","656.24K","1.06%"
"06/19/2023","26.42","26.89","26.90","26.29","471.71K","-1.16%"
"06/18/2023","26.73","26.78","26.95","26.52","649.51K","0.53%"
"06/15/2023","26.59","26.82","26.93","26.45","1.05M","-0.71%"
"06/14/2023","26.78","27.20","27.26","26.50","1.09M","-0.81%"
"06/13/2023","27.00","27.50","27.60","26.91","3.85M","0.71%"
"06/12/2023","26.81","27.25","27.60","26.70","1.17M","-1.43%"
"06/11/2023","27.20","26.00","27.40","25.80","1.92M","5.75%"
"06/08/2023","25.72","26.00","26.20","25.50","1.17M","-0.85%"
"06/07/2023","25.94","27.00","27.10","25.80","1.69M","-2.74%"
"06/06/2023","26.67","26.72","27.55","26.66","1.92M","0.04%"
"06/05/2023","26.66","26.51","26.97","26.31","1.35M","0.30%"
"06/04/2023","26.58","26.35","26.77","26.10","874.30K","1.80%"
"06/01/2023","26.11","26.30","26.60","25.97","640.01K","-0.53%"
"05/31/2023","26.25","26.65","26.90","26.16","650.63K","-1.39%"
"05/30/2023","26.62","26.80","27.10","26.00","790.05K","-1.04%"
"05/29/2023","26.90","25.80","26.92","25.71","621.32K","4.71%"
"05/28/2023","25.69","24.98","25.77","24.71","526.91K","4.01%"
