"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2023","1.960","1.970","1.980","1.930","11.09M","0.00%"
"08/02/2023","1.960","2.020","2.040","1.940","9.06M","-2.97%"
"08/01/2023","2.020","2.040","2.050","2.000","7.57M","-0.98%"
"07/31/2023","2.040","2.030","2.040","2.010","4.91M","0.99%"
"07/30/2023","2.020","2.010","2.040","1.990","8.82M","1.00%"
"07/27/2023","2.000","2.010","2.020","1.990","9.04M","0.00%"
"07/26/2023","2.000","2.020","2.030","1.990","11.78M","-0.50%"
"07/25/2023","2.010","2.080","2.080","2.000","12.05M","-1.95%"
"07/24/2023","2.050","2.110","2.120","2.050","10.94M","-1.91%"
"07/19/2023","2.090","2.120","2.140","2.090","14.38M","-0.95%"
"07/18/2023","2.110","2.090","2.130","2.080","13.70M","1.93%"
"07/17/2023","2.070","2.070","2.120","2.060","27.47M","0.98%"
"07/16/2023","2.050","2.080","2.090","2.030","8.54M","-0.49%"
"07/13/2023","2.060","2.100","2.120","2.060","8.91M","-1.44%"
"07/12/2023","2.090","2.120","2.130","2.070","10.40M","-1.42%"
"07/11/2023","2.120","2.080","2.150","2.030","16.23M","2.42%"
"07/10/2023","2.070","2.020","2.080","1.990","6.75M","2.48%"
"07/09/2023","2.020","2.090","2.100","2.000","10.53M","-2.88%"
"07/06/2023","2.080","2.120","2.130","2.070","9.36M","-0.95%"
"07/05/2023","2.100","2.120","2.130","2.090","8.73M","0.00%"
"07/04/2023","2.100","2.130","2.160","2.100","15.49M","-0.94%"
"06/26/2023","2.120","2.030","2.120","2.020","11.12M","4.95%"
"06/25/2023","2.020","2.100","2.110","2.020","7.82M","-2.88%"
"06/22/2023","2.080","2.080","2.090","2.050","8.90M","0.48%"
"06/21/2023","2.070","2.110","2.130","2.060","20.00M","-1.90%"
"06/20/2023","2.110","2.140","2.160","2.100","15.38M","-0.47%"
"06/19/2023","2.120","2.180","2.190","2.100","13.03M","-2.75%"
"06/18/2023","2.180","2.150","2.200","2.150","9.00M","1.87%"
"06/15/2023","2.140","2.180","2.200","2.140","18.18M","-1.38%"
"06/14/2023","2.170","2.230","2.260","2.170","26.54M","-1.81%"
"06/13/2023","2.210","2.200","2.270","2.180","45.76M","0.00%"
"06/12/2023","2.210","2.250","2.270","2.190","16.62M","-1.78%"
"06/11/2023","2.250","2.140","2.250","2.130","51.26M","7.14%"
"06/08/2023","2.100","2.110","2.140","2.080","21.73M","0.00%"
"06/07/2023","2.100","2.170","2.210","2.100","30.27M","-2.78%"
"06/06/2023","2.160","2.140","2.210","2.140","67.47M","2.86%"
"06/05/2023","2.100","2.130","2.170","2.080","31.48M","-0.94%"
"06/04/2023","2.120","2.100","2.170","2.090","68.61M","2.42%"
"06/01/2023","2.070","1.998","2.088","1.995","38.14M","3.66%"
"05/31/2023","1.997","2.013","2.046","1.990","26.31M","-0.65%"
"05/30/2023","2.010","1.981","2.029","1.976","32.06M","2.03%"
"05/29/2023","1.970","1.911","1.974","1.890","20.69M","3.68%"
"05/28/2023","1.900","1.880","1.914","1.880","8.00M","1.60%"
"05/25/2023","1.870","1.890","1.917","1.867","9.49M","-0.53%"
"05/24/2023","1.880","1.850","1.897","1.850","7.16M","1.84%"
"05/23/2023","1.846","1.840","1.850","1.823","3.94M","0.16%"
"05/22/2023","1.843","1.850","1.888","1.840","4.25M","0.05%"
"05/21/2023","1.842","1.860","1.870","1.841","4.80M","-0.70%"
"05/18/2023","1.855","1.861","1.870","1.804","9.49M","-0.27%"
"05/17/2023","1.860","1.937","1.937","1.860","8.46M","-3.48%"
"05/16/2023","1.927","1.940","1.940","1.900","7.30M","-0.41%"
"05/15/2023","1.935","1.970","2.010","1.926","10.99M","-1.53%"
"05/14/2023","1.965","1.971","1.983","1.950","4.93M","-0.10%"
"05/11/2023","1.967","2.002","2.018","1.965","9.17M","-1.45%"
"05/10/2023","1.996","1.970","1.998","1.931","8.52M","1.32%"
"05/09/2023","1.970","2.028","2.038","1.970","16.48M","-1.99%"
"05/08/2023","2.010","1.943","2.012","1.943","16.12M","4.09%"
"05/07/2023","1.931","1.940","1.948","1.901","7.41M","-0.46%"
"05/03/2023","1.940","1.960","1.980","1.920","8.28M","-0.51%"
