"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2023","9.30","9.07","9.35","9.07","1.15M","1.53%"
"08/03/2023","9.16","9.10","9.19","9.02","241.49K","0.66%"
"08/02/2023","9.10","9.05","9.17","9.05","879.57K","0.55%"
"08/01/2023","9.05","9.37","9.45","9.00","2.95M","-3.52%"
"07/31/2023","9.38","9.30","9.38","9.22","638.46K","0.86%"
"07/30/2023","9.30","8.95","9.40","8.95","1.28M","3.33%"
"07/27/2023","9.00","8.99","9.05","8.92","1.41M","0.90%"
"07/26/2023","8.92","9.04","9.10","8.91","388.96K","-1.33%"
"07/25/2023","9.04","9.13","9.25","9.02","638.81K","-0.99%"
"07/24/2023","9.13","9.31","9.40","9.12","610.78K","-2.04%"
"07/19/2023","9.32","9.32","9.46","9.28","1.93M","0.11%"
"07/18/2023","9.31","9.25","9.32","9.20","1.11M","0.65%"
"07/17/2023","9.25","9.10","9.27","9.10","1.54M","1.65%"
"07/16/2023","9.10","9.10","9.11","9.01","1.01M","1.00%"
"07/13/2023","9.01","9.16","9.25","9.01","867.24K","-1.64%"
"07/12/2023","9.16","8.88","9.36","8.88","5.47M","5.77%"
"07/11/2023","8.66","8.60","8.70","8.47","2.20M","1.88%"
"07/10/2023","8.50","8.50","8.60","8.42","1.92M","0.71%"
"07/09/2023","8.44","8.75","8.85","8.31","527.95K","-3.65%"
"07/06/2023","8.76","8.90","8.94","8.73","1.67M","-1.46%"
"07/05/2023","8.89","8.93","9.03","8.85","3.41M","-0.34%"
"07/04/2023","8.92","9.05","9.11","8.92","1.83M","-0.89%"
"06/26/2023","9.00","8.93","9.08","8.87","7.75M","0.78%"
"06/25/2023","8.93","9.03","9.08","8.88","1.28M","-0.78%"
"06/22/2023","9.00","9.09","9.09","8.90","1.92M","-0.99%"
"06/21/2023","9.09","9.11","9.11","8.88","3.18M","-0.22%"
"06/20/2023","9.11","9.24","9.30","9.05","2.29M","-0.76%"
"06/19/2023","9.18","9.28","9.28","8.30","3.95M","-0.33%"
"06/18/2023","9.21","9.35","9.35","9.13","2.81M","0.00%"
"06/15/2023","9.21","9.25","9.45","9.21","1.84M","0.11%"
"06/14/2023","9.20","9.26","9.45","9.20","1.39M","0.44%"
"06/13/2023","9.16","9.42","9.49","9.11","2.50M","-2.86%"
"06/12/2023","9.43","9.47","9.59","9.35","591.40K","0.53%"
"06/11/2023","9.38","9.40","9.48","9.25","561.77K","0.32%"
